S,E,I,R,Beta
6201,123,231,3445,5.584911245288604e-06
6193,119,232,3456,3.4800135859730394e-06
6188,115,217,3480,1.117072139029309e-05
6173,121,211,3495,1.5355051005640679e-06
6171,109,213,3507,1.5215801914604355e-06
6169,103,199,3529,8.145770186644032e-06
6159,106,189,3546,6.872551116746603e-06
6151,101,189,3559,6.881489567231723e-06
6143,94,194,3569,7.5519701411882775e-06
6134,94,187,3585,6.102568483895321e-06
6127,91,178,3604,1.008613559800698e-05
6116,91,173,3620,4.725594196214232e-06
6111,87,168,3634,9.74043683911136e-06
6101,90,161,3648,6.108356129379055e-06
6095,82,159,3664,0.0
6095,79,149,3677,5.50566808529381e-06
6090,76,143,3691,3.4448310310379276e-06
6087,74,135,3704,7.301535147764817e-06
6081,71,131,3717,1.1297860561804946e-05
6072,74,131,3723,1.2571784891731789e-06
6071,66,131,3732,7.544313410897258e-06
6065,65,126,3744,7.851450555490127e-06
6059,64,123,3754,2.6836379933365267e-06
6057,57,123,3763,1.2080358545041618e-05
6048,62,118,3772,4.203658864675814e-06
6045,56,119,3780,5.5605368698347825e-06
6041,57,114,3788,4.356197562271844e-06
6038,55,112,3795,2.957459896843799e-06
6036,54,106,3804,9.377696087625192e-06
6030,53,107,3810,1.0849180886843043e-05
6023,54,100,3823,6.641208699983397e-06
6019,53,99,3829,1.3425499386622496e-05
6011,56,98,3835,3.3951361279830514e-06
6009,55,94,3842,1.0622364325851649e-05
6003,56,96,3845,6.940973957465712e-06
5999,52,100,3849,1.6669444907484581e-06
5998,50,98,3854,5.103742063681091e-06
5995,48,97,3860,1.2037522677832901e-05
5988,50,98,3864,5.112265347020572e-06
5985,48,94,3873,3.5549867576743276e-06
5983,47,89,3881,9.389900598512264e-06
5978,47,85,3890,1.9680003148800504e-06
5977,45,85,3893,1.9683295771043904e-06
5976,41,81,3902,6.197630026277951e-06
5973,40,78,3909,8.585643944759967e-06
5969,42,76,3913,6.6131151299256685e-06
5966,39,74,3921,9.060350997997663e-06
5962,38,76,3924,2.2069598686417485e-06
5961,37,73,3929,6.894126893299598e-06
5958,35,72,3935,1.6317929208160828e-05
5951,36,76,3937,8.844157107606859e-06
5947,39,69,3945,7.310956931152719e-06
5944,36,72,3948,4.673246597876477e-06
5942,34,71,3953,1.1851655202165535e-05
5937,38,68,3957,2.476988774286875e-06
5936,35,70,3959,9.626492106276473e-06
5932,37,64,3967,2.6340188806473364e-06
5931,35,66,3968,1.532778467528088e-05
5925,36,66,3973,0.0
5925,34,66,3975,1.022887098836466e-05
5921,38,55,3986,3.0707343661236584e-06
5920,34,55,3991,9.213759213759214e-06
5917,29,60,3994,8.450228156160216e-06
5914,27,54,4005,1.8787810468567992e-05
5908,31,51,4010,9.956589270779402e-06
5905,30,51,4014,6.641098437681592e-06
5903,28,53,4016,3.1963280583265944e-06
5902,26,50,4022,6.777363605557438e-06
5900,27,47,4026,0.0
5900,24,49,4027,3.459010722933241e-06
5899,19,49,4033,0.0
5899,18,47,4036,0.0
5899,18,44,4039,3.852733128881629e-06
5898,16,44,4042,1.1560159067788773e-05
5895,18,41,4046,4.137445954612218e-06
5894,19,40,4047,1.2724804886325076e-05
5891,19,41,4049,1.24207658644232e-05
5888,20,41,4051,8.2847295864263e-06
5886,20,40,4054,8.494733265375467e-06
5884,20,38,4058,1.3417295788758094e-05
5881,18,42,4059,8.097100428336612e-06
