S,E,I,R,Beta
9950,0,50,0,6.030150753768844e-06
9947,3,46,4,1.3112977039177205e-05
9941,9,41,9,9.814000161931003e-06
9937,12,38,13,1.059305201718193e-05
9933,16,37,14,1.6325597720946557e-05
9927,18,39,16,1.8080707110625515e-05
9920,24,40,16,3.276209677419355e-05
9907,34,38,21,2.3906541360972836e-05
9898,38,40,24,2.2731865023237017e-05
9889,42,40,29,3.033673778946304e-05
9877,52,40,31,2.5311329351017516e-05
9867,54,44,35,2.533698185872099e-05
9856,56,52,36,2.3414085914085914e-05
9844,64,51,41,3.386157388595422e-05
9827,75,51,47,2.394363667925703e-05
9815,83,49,53,1.6634264505598468e-05
9807,85,55,53,2.410152303085922e-05
9794,90,57,59,3.761701578839891e-05
9773,103,62,62,2.3105131649739406e-05
9759,106,67,68,2.5999727767556315e-05
9742,109,75,74,3.147882022856361e-05
9719,115,87,79,1.6557211670941975e-05
9705,118,89,88,2.199723297964098e-05
9686,129,90,95,2.5236882556725628e-05
9664,135,100,101,2.2764900662251656e-05
9642,141,107,110,1.4539194761237344e-05
9627,140,113,120,2.390033193884089e-05
9601,148,123,128,1.862949574189003e-05
9579,153,135,133,1.7785820061631733e-05
9556,160,142,142,1.1791131889705752e-05
9540,160,147,153,1.782683723384532e-05
9515,166,153,166,1.5798927733643817e-05
9492,176,154,178,1.4366164808642685e-05
9471,179,153,197,1.6562426892412545e-05
9447,192,149,212,1.0656413775759217e-05
9432,182,156,230,1.0874056675583393e-05
9416,183,154,247,1.1723620474682497e-05
9399,183,155,263,1.8533200168858045e-05
9372,192,159,277,1.946115419408005e-05
9343,196,168,293,1.083061930755391e-05
9326,187,170,317,1.829168296098195e-05
9297,194,181,328,1.1885257348506053e-05
9277,188,188,347,1.7201085273806876e-05
9247,202,190,361,1.4798540636223413e-05
9221,199,207,373,6.810750717617369e-06
9208,197,209,386,1.4029822205779039e-05
9181,205,208,406,1.2567761179023568e-05
9157,211,211,421,1.6044493969599305e-05
9126,215,224,435,1.663222817068971e-05
9092,226,228,454,1.1577558061453678e-05
9068,227,231,474,1.3367018219245832e-05
