S,E,I,R,Beta
9950,0,50,0,8.040201005025125e-06
9946,4,49,1,1.0259482839989002e-05
9941,9,45,5,4.47082229599079e-06
9939,10,41,10,0.0
9939,9,41,11,7.361981256395721e-06
9936,10,42,12,2.396288628172686e-06
9935,10,40,15,1.509813789632612e-05
9929,15,39,17,5.164875746001741e-06
9927,15,38,20,5.30186148356688e-06
9925,15,37,23,2.723126148818844e-06
9924,15,34,27,8.89110178533324e-06
9921,18,29,32,6.9514683238967155e-06
9919,19,29,33,1.3905739941804478e-05
9915,21,29,35,1.0433512441963586e-05
9912,23,29,36,3.478890094904122e-06
9911,20,31,38,9.764321819028059e-06
9908,22,27,43,1.1214282510204998e-05
9905,23,29,43,1.740674337238246e-05
9900,27,29,44,3.8314176245210727e-05
9889,34,31,46,1.9572088896427767e-05
9883,36,33,48,9.198531914306477e-06
9880,37,35,48,1.4459224985540775e-05
9875,36,38,51,1.0659560293137907e-05
9871,36,39,54,1.2988058778758809e-05
9866,38,39,57,1.559356921205695e-05
9860,41,38,61,2.135155332550443e-05
9852,41,44,63,1.845495146347765e-05
9844,45,44,67,1.616120571829633e-05
9837,43,50,70,2.033140185015757e-05
9827,52,47,74,2.1651160826987737e-06
9826,45,55,74,1.1102270414299723e-05
9820,48,56,76,5.455338958393948e-06
9817,48,55,80,7.408299147119561e-06
9813,47,53,87,5.768243512168109e-06
9810,45,52,93,1.7642907551164433e-05
9801,51,50,98,1.4284256708499133e-05
9794,50,55,101,2.0420665713702267e-05
9783,54,54,109,1.514342718472331e-05
9775,59,57,109,1.615291425494683e-05
9766,64,59,111,2.776842521789536e-05
9750,72,60,118,2.0512820512820512e-05
9738,76,66,120,9.335499169140573e-06
9732,75,68,125,3.3243877082275575e-05
9710,91,67,132,2.6130931337135128e-05
9693,99,67,141,1.0778666247838492e-05
9686,101,68,145,1.670087816253902e-05
9675,107,70,148,1.03359173126615e-05
9668,102,80,150,1.810095159288374e-05
9654,103,84,159,1.8497144040960077e-05
9639,107,87,167,2.1464524507120855e-05
9621,117,90,172,2.540738430978531e-05
9599,131,95,175,2.4125320071717997e-05
9577,136,103,184,2.635764691093447e-05
9551,146,104,199,2.5168528466612437e-05
9526,154,115,205,2.373367169029384e-05
9500,164,118,218,1.784121320249777e-05
9480,171,120,229,1.4943741209563994e-05
9463,172,125,240,1.9444150903518968e-05
9440,179,136,245,1.2462612163509471e-05
9424,179,141,256,1.6556490746426808e-05
9402,188,147,263,1.2300176399000357e-05
9385,188,145,282,2.4249995407197838e-05
9352,201,156,291,1.7821499857428003e-05
9326,206,162,306,1.919497594670945e-05
9297,219,171,313,2.3273558030100887e-05
9260,237,179,324,2.1718932876431337e-05
