,last_value,last_value,rolling_mean_last_value,rolling_mean_last_value,expanding_mean_last_value,expanding_mean_last_value,biexponential_decay,biexponential_decay,median_beta,median_beta,regression_day,regression_day,median_beta_shifted_forecast,median_beta_shifted_forecast,regression_day_shifted_forecast,regression_day_shifted_forecast,regression_day_incremental_learning,regression_day_incremental_learning,regression_day_SEIR_previous_I,regression_day_SEIR_previous_I,lstm_day_E_previous_I,lstm_day_E_previous_I
rmse_I,209.0172467074466,129.93073577430187,299.6302440699761,96.32213680063614,351.7490359019504,51.75034650747503,132.7154285832789,45.957993535741295,50.8458484377408,21.42931117318276,111.97060396622499,23.492325297694524,68.98942168032552,62.54236997936047,100.39666007268912,85.61053143341886,119.91575561783185,14.978710883638268,40.99319530951611,41.20836235590118,34.81434788246996,45.79906567890451
rmse_Beta,6.358614541791305e-06,2.8079138757196285e-06,8.156245432562599e-06,2.015030023625039e-06,9.172756641633932e-06,1.4890278074286518e-06,6.12261031084965e-06,1.0807694031132745e-06,3.6538435272495208e-06,4.415047502013727e-07,4.116112252846495e-06,4.796141514760194e-07,3.8104756212178024e-06,7.484178582630924e-07,4.041660671150553e-06,1.1533768190809392e-06,5.669635314615113e-06,6.532213568834331e-07,3.5544535264947958e-06,4.2444132389313313e-07,4.061898061414939e-06,8.975577229337563e-07
time_predict,0.012997746467590249,0.0014608529105119155,0.0049991607666015,0.0012455686378135635,0.00299918651580805,0.0009380264920361785,0.00399959087371825,0.0018903040663937553,0.00499951839447015,0.000985395682678792,0.00499880313873285,0.0008583323440210613,0.00599622726440425,0.0006587726799497,0.0050108432769775,0.0008094308561281804,0.0060274600982665495,0.0020038555116300757,0.07549858093261716,0.00546551802991038,20.525972723960876,1.4956059035336113
60,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0
pt_diff,164.34969400949495,343.23308713493174,380.12904301482683,240.10678555944642,513.6695363841916,137.21701818497306,-72.1533880836015,180.51319355650665,11.353404004489846,74.91734836065024,92.57415709656141,68.26468828792454,1.302127448105466,130.28088472821176,92.26245966625333,166.15506629316747,68.40140208858836,68.65982422969475,-69.8759098788816,82.59819523057878,-55.593339609601486,78.1376490716465
ph_fraq,0.7330002889877005,0.602468856177272,0.5391578402023279,0.20716471524545033,0.47815730803284945,0.08786080435393769,1.1838005891843157,0.4038976407330327,0.9741953656261229,0.2029526864829792,0.8432182989851974,0.12947012619939793,0.9971124562211149,0.34084664894402295,0.8450948403647398,0.26359260133885637,0.8811659453263379,0.13790904237166696,1.1855605577981088,0.37769385105514097,1.1286435768219434,0.3412089837731237
