,0,1,2,3
0,475,558.420216123059,102,96
1,480,436.75073642247105,118,104
2,403,364.67037181523153,88,86
3,494,382.5207491373345,94,86
4,444,294.9173190814194,128,116
5,523,789.2316352432947,94,97
6,451,754.7330721072246,101,109
7,509,1523.2251051601547,104,117
8,412,943.5882210183913,103,117
9,431,275.4447364735855,115,92
10,431,242.82352253653764,87,55
11,455,936.256321541782,93,107
12,444,301.0483747352236,109,97
13,392,262.6247182590552,93,83
14,472,608.3937553770405,93,105
15,460,319.6282341286908,101,70
16,481,280.3301894393681,105,79
17,424,887.7477117168331,104,102
18,516,598.7042335133715,101,91
19,460,332.7030944271564,89,78
20,422,350.57586992153387,93,67
21,507,385.0990787240999,91,70
22,494,2386.0195887743444,106,100
23,553,258.1748767379447,97,70
24,348,288.58145092964816,110,70
25,509,547.1287968707506,108,97
26,446,347.5056851870792,116,110
27,457,222.28084391601084,97,78
28,388,347.76773360879963,106,88
29,389,568.5299142024562,111,108
