,0,1,2,3
0,475,987.9870754749854,102,125
1,480,800.8479924115708,118,142
2,403,1083.0065286745216,88,125
3,494,1006.2130797270477,94,125
4,444,532.2797219645844,128,177
5,523,1234.2517510001642,94,116
6,451,906.5299099165973,101,135
7,509,913.2445200811361,104,146
8,412,799.7572868901341,103,144
9,431,716.900686505895,115,148
10,431,1128.9892550423253,87,118
11,455,984.1557593836146,93,128
12,444,812.8317469602873,109,146
13,392,918.970267984632,93,135
14,472,898.234710062934,93,134
15,460,1219.2885782060905,101,115
16,481,1097.9771104412798,105,126
17,424,1212.3847917883415,104,120
18,516,1223.7699054541295,101,115
19,460,1254.8864548014637,89,118
20,422,1266.1320304259962,93,110
21,507,1139.19424125589,91,112
22,494,1007.3749027346793,106,128
23,553,1071.5197637525646,97,123
24,348,1168.2325783488807,110,118
25,509,1090.187100542827,108,125
26,446,558.5620599537264,116,166
27,457,863.699783465489,97,138
28,388,1034.2516694193023,106,129
29,389,752.2447154244588,111,141
