,0,1,2,3
0,475,675.6436358194386,102,112
1,480,605.0870712996461,118,123
2,403,617.1674024262383,88,113
3,494,704.9446046967372,94,112
4,444,279.6862747951852,128,128
5,523,1007.6997647679366,94,110
6,451,577.9698732301582,101,118
7,509,926.9399577565847,104,130
8,412,574.8283819586972,103,124
9,431,332.06127296178767,115,110
10,431,356.5809363032483,87,86
11,455,874.1890759708508,93,116
12,444,438.74150967937504,109,123
13,392,401.43385313733063,93,110
14,472,607.0444361746914,93,117
15,460,466.84589948917187,101,94
16,481,386.97399619805844,105,103
17,424,1212.5963390870118,104,111
18,516,953.4048501847087,101,109
19,460,731.6668939328065,89,112
20,422,635.4876390135216,93,99
21,507,660.6718489907412,91,98
22,494,1207.5159013337923,106,114
23,553,473.84457362396364,97,104
24,348,448.29290810914296,110,98
25,509,888.6689268413862,108,116
26,446,533.6773386969053,116,133
27,457,316.3954919719525,97,103
28,388,473.1951816024364,106,111
29,389,598.6868538764112,111,119
