,0,1,2,3
0,475,572.5403681563577,102,111
1,480,469.16028202673743,118,122
2,403,549.8881875812214,88,113
3,494,575.8352578636426,94,111
4,444,347.0416224341411,128,144
5,523,629.6764854815931,94,108
6,451,502.86299806079427,101,119
7,509,410.4438343634845,104,133
8,412,461.88952720695494,103,124
9,431,460.17215523714975,115,124
10,431,592.9464896062001,87,107
11,455,550.0785069795152,93,114
12,444,437.9688618047341,109,127
13,392,496.73434528001457,93,119
14,472,521.6760428006198,93,117
15,460,636.2522411048808,101,105
16,481,534.6065972269263,105,115
17,424,580.0486393286814,104,112
18,516,626.1586393310721,101,107
19,460,591.9717903087084,89,110
20,422,679.2662662626573,93,102
21,507,693.3595166310589,91,100
22,494,542.1573012376969,106,115
23,553,573.584901241615,97,111
24,348,604.2496602991517,110,108
25,509,558.7442821670938,108,113
26,446,393.99969778215944,116,134
27,457,479.14266756271655,97,120
28,388,526.0959151148309,106,116
29,389,496.4500813454636,111,119
