last value,rolling mean last value,expanding mean last value,biexponential decay,median beta,regression (day),"median beta;
shifted forecast","regression (day);
shifted forecast","regression (day);
incremental learning","regression (day, SEIR, previous I)","lstm (day, E, previous I)"
1.1590727698350785e-05,9.381728435741312e-06,9.208909254386915e-06,5.806103256130908e-06,3.897758275111057e-06,4.3805086698632534e-06,3.6995522267027983e-06,5.018247043932112e-06,6.043478821571296e-06,3.6830031738315925e-06,4.284225717138813e-06
9.752854772004377e-06,1.280919683037238e-05,7.885269925303263e-06,4.792404397823206e-06,3.675863344541222e-06,4.101795105631845e-06,3.5637247688196953e-06,4.909825221665968e-06,6.301847328016834e-06,3.728007805854912e-06,3.640093406880589e-06
6.179772973973922e-06,7.89280094470369e-06,1.0155148624731281e-05,6.027066616413932e-06,3.3802627938198564e-06,3.998373764738595e-06,3.040405278385838e-06,4.508430177735167e-06,5.3932975526861984e-06,3.1324963091307066e-06,3.5459583674303515e-06
1.0419919337199581e-05,9.636673628128547e-06,9.019375260818147e-06,6.418665355655267e-06,3.5030618331799525e-06,3.9416372285775024e-06,3.3905751588108385e-06,4.7608531326875835e-06,5.274309424401273e-06,3.53026928334036e-06,3.820578201849006e-06
1.1896261592612107e-05,1.1555417971656443e-05,6.256178066495479e-06,4.829890131922303e-06,4.358558141165738e-06,4.394424847771551e-06,4.932212838376106e-06,4.1778010770121495e-06,6.834277597826465e-06,4.933326842747921e-06,7.331446687454843e-06
1.0316479507406941e-05,1.1270758379917645e-05,1.1718668639969412e-05,5.110281779199256e-06,3.800830745753906e-06,4.430490102116891e-06,4.961114592296786e-06,7.479750732999318e-06,6.1041981178341654e-06,3.4472057631423994e-06,3.575415588593944e-06
6.424977061959665e-06,1.1065925297950558e-05,8.057021632180879e-06,5.00920139799775e-06,3.222765685598087e-06,3.623264762041365e-06,3.1076731745147074e-06,4.068160150876571e-06,5.779254931349973e-06,3.401697444406064e-06,3.6532180067952122e-06
1.820767052105362e-05,1.0209461807057762e-05,8.879470770626215e-06,7.963778740335752e-06,4.0998044332593424e-06,4.5619425556639855e-06,5.209815523280784e-06,7.584244519083716e-06,6.86370647432535e-06,4.731896329543215e-06,5.7866284983596625e-06
1.3198639092165053e-05,9.449343627276416e-06,7.2398069933654185e-06,5.219003641509701e-06,3.1907094122362375e-06,3.649669896172104e-06,3.155983236276874e-06,4.26224530248974e-06,5.464227403246252e-06,4.035071707326053e-06,4.183052539198761e-06
5.9154795387136046e-06,6.5827154062441546e-06,6.916412873980641e-06,6.044301840931166e-06,3.3569407101948477e-06,3.8046591153776037e-06,4.29987911115298e-06,3.3217169524386737e-06,5.548735565592525e-06,3.826537887784316e-06,4.371701889315765e-06
6.2569529421347335e-06,6.138079524675464e-06,1.0851079756835295e-05,8.715490218144639e-06,3.879400019658775e-06,4.37548163574352e-06,5.399704083617685e-06,3.685337209036286e-06,4.856842048230494e-06,3.5885350859818943e-06,4.502445379888213e-06
1.636356637997331e-05,1.3612994242775293e-05,9.642959808275252e-06,4.852101990460079e-06,3.940926744482473e-06,4.554254893286827e-06,4.532131632807427e-06,6.843441316004698e-06,7.0864409213434584e-06,3.6209195548839876e-06,3.453632719320008e-06
7.4865964370974835e-06,1.0599958888669033e-05,6.98311042887426e-06,6.0185603311746095e-06,3.091330319038973e-06,3.2911080954910614e-06,3.4420930996841863e-06,3.28314089671985e-06,5.060990760658989e-06,3.923903679320663e-06,4.394334151871557e-06
8.495393054395447e-06,9.505537560111875e-06,8.350036897241601e-06,6.728904400886971e-06,3.2267389523297366e-06,3.731981998164131e-06,3.722713913173599e-06,3.250644004497236e-06,5.021488018513338e-06,3.552644066719608e-06,3.747189431940216e-06
7.89933465453441e-06,1.2740975637848309e-05,8.40536005074879e-06,5.354497501633223e-06,3.719013756016571e-06,4.26498438753616e-06,3.613290570071353e-06,4.711247128067965e-06,5.852813856709772e-06,3.97235650210666e-06,4.2356058991117966e-06
4.981676772500215e-06,6.964362034499967e-06,1.1902860414963589e-05,6.895272252058332e-06,3.93169726874635e-06,4.580237123285013e-06,3.82597667116707e-06,3.429950613259392e-06,5.458634821985651e-06,3.429478503118224e-06,3.861366182661343e-06
4.810540112463225e-06,1.1564791200695936e-05,1.055390810149195e-05,6.6557286722526355e-06,3.9478271226197686e-06,4.48040481889576e-06,4.215264965083805e-06,3.6860576916871742e-06,6.020672866161671e-06,3.556621234863194e-06,3.6220845229161034e-06
1.0254751248611542e-05,1.1284630870814868e-05,1.0931747482771555e-05,5.748310603594708e-06,3.499272146936259e-06,3.949316717784993e-06,6.355366900106465e-06,9.048923447202563e-06,5.579969207883398e-06,3.2721473825755065e-06,3.8165768355738885e-06
1.0455179159452301e-05,1.368567885971506e-05,1.2268239879579245e-05,6.0729860203716076e-06,4.870353287676117e-06,5.459190977507723e-06,5.5842611134282505e-06,7.821845116960163e-06,6.660384426557831e-06,4.546314960640496e-06,4.9643109594810754e-06
1.1176350478357964e-05,1.2224746087608937e-05,1.1617294232864741e-05,7.1242422421488695e-06,3.7683444096467317e-06,4.327853675783533e-06,3.663717196289267e-06,5.309934991350674e-06,5.04729955095575e-06,3.7025136661304595e-06,4.332983837912315e-06
8.374781879061433e-06,7.90756442447189e-06,1.205368266026536e-05,7.265947362813947e-06,3.7807674470206655e-06,4.333873888686745e-06,3.3434962620655375e-06,4.049026821928972e-06,5.0303145165351195e-06,3.5347468229872923e-06,4.127952114474351e-06
8.993693354469003e-06,9.635105193277398e-06,1.0986199942708468e-05,7.162487433378681e-06,4.344753788891976e-06,4.843315680359994e-06,3.91078627829469e-06,4.616926603249538e-06,5.7076354880395795e-06,4.251096632754285e-06,4.58778783824524e-06
8.998027433353204e-06,1.523485083647374e-05,8.669366749706828e-06,2.7844600811914485e-05,3.738426360482558e-06,4.066880917812205e-06,6.07045958921151e-06,8.673846380771002e-06,5.575096424553143e-06,3.947932750669904e-06,4.7518037050381395e-06
