expanding mean last value,expanding mean,biexponential decay,polynom (day),"polynom (day);
shifted forecast",regression (day),"regression (day);
shifted forecast","regression (day, previous I)","regression (day);
incremental learning",median beta,"median beta;
shifted forecast",lstm
336.4775232980202,231.67515323947498,71.57564579234946,147.81527728122802,128.17109480476307,120.3007541660928,154.4916840519606,56.428755747888694,117.3420925071726,54.49059387259768,13.359458060704382,22.29836591744263
266.97344954073117,200.13879905551988,82.1377158094403,113.48241665665034,70.4301996091816,75.07329888148405,122.67629373143996,58.86749313362245,98.53636761389113,31.466148434782447,50.692381587087645,58.587747172181444
399.6458266425852,272.7112407170477,106.51569366753458,167.0070533028205,134.0182564201235,138.7051931820963,157.32361262669895,68.91280164699253,132.33811434588537,73.19760774709398,19.69938006139783,30.047385868396447
350.34673535104605,258.0664135522761,116.67404253508974,153.31809969296472,87.8435181671831,127.27542911480052,176.52949797789822,63.218422007381584,120.8288425173995,61.668920625127036,33.42457820852838,35.62382690742766
202.96564933263076,171.21142918604707,122.72179062228905,115.6463415399458,131.35439167885667,65.14989415111702,89.97935701935604,89.64962778051182,128.25967942091626,86.8620020301618,190.8201773293726,139.74979055506842
399.1831182366462,281.22060514159625,129.63970018798454,148.1324964114,35.475810530106436,123.16188610999154,286.5677032450592,57.938496560442566,118.45881848259305,58.71496376733778,155.42660886708342,29.820796261715667
304.7527724900933,204.1138484743643,150.97990397785273,123.66058699339963,159.73195856205916,89.49944803605243,107.89778404025618,41.73526205680262,99.82117587812836,22.4357272762981,49.47515181761251,30.72349652148902
333.14418331590196,262.4297917027103,477.1051723382422,137.26934217578543,408.86391303601334,96.56727545695199,287.40907675318397,97.7291475936518,142.14772596430333,69.30823352597093,145.0464840273911,105.0286664544275
316.7667945948908,237.4954522380362,287.6497773459778,154.1939380539978,264.12891135838447,118.51750765693669,159.35264067616544,66.25845447283143,126.89183589961291,43.39737925217724,20.977842521311707,33.2812719691276
260.6426370959406,198.52163114501926,141.33677373263117,129.42613884244753,183.17101539411786,90.93678690427129,43.428094916933425,50.678515124739285,105.3102300059958,22.384834804998984,144.98157257149415,49.56647953011322
