last value,rolling mean last value,expanding mean last value,biexponential decay,median beta,regression (day),"median beta;
shifted forecast","regression (day);
shifted forecast","regression (day);
incremental learning","regression (day, SEIR, previous I)","lstm (day, E, previous I)"
645.0039086940675,469.44843142997877,314.3171544101247,354.6588808623689,77.3717822388602,117.82278816362312,75.47344508148565,325.8109424110984,112.34249931385429,39.47555726863515,33.85325497436987
201.42833167943178,403.0192759887912,236.34716546067375,209.98102016048276,29.679521741442016,72.12802840206949,244.78080963600485,156.3311022596277,97.33579644806527,132.88293201135488,78.23267146647574
524.3145496431808,536.6696062898617,389.97760207545207,84.85958903461159,95.76043676980014,137.58345579327613,73.51436212122893,192.1122836998942,128.6026309839134,33.080540688093784,54.50783786130428
418.45944225081837,482.21724124880876,335.943508372265,130.56730389337227,70.59508722437627,117.94023444826405,113.453761325823,144.2707394389467,112.44051711501389,60.76865961962769,35.59070655047216
274.5818021534445,376.13846169131335,180.33277232105812,242.7527024354213,66.84226077258984,58.39304770510396,257.09206922587066,206.59942091348995,119.28603839121328,191.1192069431443,211.37861810343878
656.2891875095763,580.0255987955946,383.4047467728246,617.6838435168381,61.443448593804845,111.54735576788691,306.7973561719195,480.2178790617116,110.5189801270894,53.42771069368838,42.72021638547513
369.9722261835778,464.09283769872127,264.6136942001745,241.41219941384935,28.276080267197717,81.43209604099441,160.15583278056116,90.96862256080824,100.05582050314699,113.24868782269357,56.84589430498553
557.7253329681138,570.947200973915,308.4949333776112,959.80756125747,58.64085516334288,96.34383507436334,171.69945732703385,404.45115230282903,146.60989111566366,170.198015718439,156.98129881081516
433.78471716796855,541.3467895048377,281.9016225839298,768.872247534837,49.027532123738254,111.58611852469791,66.2565034371347,228.36583630785145,121.96678670314422,96.55856336004067,47.40452397547887
466.4450568342975,394.56393126872285,240.62206837914925,74.25312802042559,43.3570610382946,91.26589702756158,165.61437046323084,64.48013117557161,100.17422100692103,100.94526256099687,47.54692792431134
380.5151044306273,226.13269069435322,429.59920344482174,218.9580805757607,127.44396620334452,151.3872303635528,191.00486933387228,100.02811428730575,139.94465984182025,25.057719198022028,55.62611406142349
385.12198259325834,569.2564405529059,323.42600286909226,448.8584611651736,69.0817866750495,128.33287110766466,94.54281516785336,179.94150459440664,136.69125300561268,68.29283024511729,31.71547873633598
659.1343734712747,249.25674992436262,235.30845760856627,237.61417700862117,27.2618071836455,61.45194007081412,220.89853042548287,86.53012864231556,93.53590419908136,152.45189489596436,154.19543494898318
400.7843823835525,527.1176692332342,322.7695421335903,151.8850334952349,65.0318798816221,107.04017870265773,152.88723698003972,62.047874124052335,103.45776810644179,78.76061629119677,21.70420200759873
564.8668054802155,416.9111914875419,304.6163178073967,42.88796508948019,55.29065790275273,119.65996656583117,185.16081341180896,69.80740920771022,133.76797604586298,102.71414871421621,57.326708916810645
217.33078591673842,473.59190841229315,445.668075284923,140.76672412538292,140.34910783550106,161.2883162697066,78.18434285463213,188.2798487892934,149.5046077685141,48.53681832475094,120.75665505236279
153.921315224529,204.22931031137995,355.24938250475856,196.59042393726125,47.182452734172564,87.73115546962401,203.47610355431402,39.057439672528794,88.11197453543312,97.66032744525944,55.57153565554761
673.5894172353916,677.1078793258254,407.2815421271739,575.7650651891913,90.29303491812188,141.83523054247152,208.37994854221176,435.83917425250314,139.59573901730909,41.52796684085108,60.40964263734434
483.8967470244761,512.0280987798046,381.38976919308277,95.77290631331168,78.26059401330778,124.61190855556731,12.389849216436295,264.7682722547738,121.20396799876329,41.6412920673553,44.23872562718175
312.6101113689254,569.1392532701664,434.309773534988,166.81098449915052,89.85624000166389,133.9724796290897,29.07208653976557,244.29723300333754,127.75036456100199,33.564334276691376,53.80598000508532
604.0881748478791,470.88418396951874,460.1976606570372,164.96510348237248,160.91347627829705,177.84325300322806,75.27256862938715,195.1996878856546,165.2797700118737,71.62813452340419,138.51540751985593
396.2437284126883,412.48764442377063,368.89121509512273,195.15849064514322,119.887192877087,144.02391967353466,136.47174044465052,76.0048732557288,130.6326741395674,38.086626901642965,94.46476100896533
619.0820133762088,582.7419167944965,282.67393144318504,924.8912722707424,35.08308088238915,98.42712747839704,116.67661722724634,368.09859967168114,125.96129298702499,126.79298109477664,68.32179868749337
330.57881069501815,288.57144653903305,348.13401238571527,238.10604471811862,54.37545429372046,107.07975316277064,192.88660512817998,56.32657586290037,110.96933615015237,84.19558565475111,51.74919299109744
293.63370808659744,484.3229164155808,451.17255350822694,152.47284719052158,156.69486673041843,178.71557577232937,78.59848378754283,216.81191415979637,164.49407797085692,59.50059346577327,107.32153838514992
363.03212311051914,442.6477763303039,334.57463126135457,114.53874475774998,36.17464924592898,96.04385446458706,117.72034946261216,161.14054065845892,105.53654335462382,108.13794978420891,48.45306943893872
438.9449658436835,327.33122078762096,185.52038076868553,216.57591358914834,35.42389212488353,70.64120419133198,254.95365400656263,220.525545579094,128.5993045157033,168.63828612888636,171.32014383929777
416.7929602426406,278.40556867067227,315.1181040051358,147.50074073660525,63.36069986155154,111.28006097192066,141.73942588523332,95.04502298488104,113.0227098236003,72.74769800749061,35.101418099957776
262.7580135657903,531.1907718610288,366.49190549630487,160.4851279992108,90.77908039775154,121.72540628437629,56.701462323216994,249.79614449554873,112.41218016010777,56.30586954972727,38.64818068802176
305.4636369994464,433.69106364659206,238.69367546803107,174.58064626029986,71.87521463265827,115.83323350839036,173.8025351915418,20.25274560358978,115.42414643337011,67.83176887660716,17.262768646077152
