rmse_I,rmse_Beta,time_predict,35,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2177.7068722030526,1.0615677415180368e-06,0.002991199493408203,35,4324,1636.1507685382994,105,65
1777.0855208205412,9.354791585128452e-07,0.002992391586303711,35,4219,2202.282245169179,99,69
1292.6076292982782,7.267638882674971e-07,0.003988981246948242,35,4649,3398.8815223706742,98,76
1399.760700062301,7.471674533588946e-07,0.002991914749145508,35,4693,3004.8225512883087,95,76
1788.3454580648852,8.851858160616383e-07,0.0029916763305664062,35,4172,2175.6506459673597,110,72
1597.4681889257627,9.078292625197024e-07,0.0039882659912109375,35,4296,2719.89862635675,92,70
1305.84818536862,6.666318897333474e-07,0.002991914749145508,35,4675,3022.888802945827,99,82
1857.5617701561619,9.953986645101913e-07,0.003988742828369141,35,4179,2108.088409415159,93,67
1686.382682327015,8.689065477235512e-07,0.0029916763305664062,35,4475,2583.6797678857074,95,70
893.7767495589546,6.444191525883195e-07,0.0029909610748291016,35,4293,3821.55420988688,102,83
1564.8599502738407,9.759260030181024e-07,0.003989219665527344,35,4310,3038.4584222543795,89,64
1888.6812364083507,9.742274097479332e-07,0.003988981246948242,35,4385,2135.3538744025223,102,67
1349.6406170271525,7.965892498237392e-07,0.0039882659912109375,35,4555,3242.8467351567933,91,74
1043.5971032214657,7.345642941689294e-07,0.0029926300048828125,35,4594,4004.8101310872335,85,75
1659.052637521411,9.040817904117446e-07,0.0029909610748291016,35,4611,2879.501968047705,95,68
1544.5686500240968,8.301800553799862e-07,0.0039882659912109375,35,4611,2790.497835347918,90,73
931.2706286681457,6.957043194009563e-07,0.0029916763305664062,35,4380,3784.3265344042084,88,78
1619.782015759273,9.263587295096227e-07,0.00399017333984375,35,4712,3072.9749667319115,84,66
1064.589524343111,7.38762325106283e-07,0.003989458084106445,35,4402,3755.4897639073183,96,76
1596.4728509940765,8.324859271822924e-07,0.003989219665527344,35,4609,2661.9794167764608,94,73
1536.035283612733,9.426865760266171e-07,0.002991914749145508,35,4205,2875.842723927473,93,67
1664.2649507697279,8.86324587701745e-07,0.003989458084106445,35,4501,2937.143168104068,89,68
1451.3316795071846,8.744346010013029e-07,0.003989696502685547,35,4437,3123.4052437226596,89,69
1716.7386297624666,9.262645547163426e-07,0.003989458084106445,35,4329,2535.969694690613,92,68
1845.171522434124,9.97435477352355e-07,0.002992391586303711,35,4278,2268.0907866630405,96,65
1391.4664219350514,9.113886444810589e-07,0.003989219665527344,35,4261,3225.36197287741,93,67
1572.9445832937297,8.746848557391345e-07,0.003987312316894531,35,4367,2827.3891176065426,95,70
1352.0575183048013,7.993310789202964e-07,0.0029921531677246094,35,4389,3326.7255474591025,100,73
970.8105626751477,7.170613120300169e-07,0.002991914749145508,35,4603,3991.754304300198,82,75
1612.9710064263274,9.078620680987521e-07,0.0029916763305664062,35,4370,2863.5357066297897,93,68
1450.443238309035,8.569685482064946e-07,0.0029921531677246094,35,4643,3311.7576934229487,92,69
1357.2367806212076,8.289221506738231e-07,0.003989219665527344,35,4330,3295.955753557576,96,70
1257.854628164817,8.754215081840933e-07,0.0029926300048828125,35,4490,3768.4418005490143,78,67
1187.435980768602,8.680247007816008e-07,0.0039899349212646484,35,4592,4113.644966505272,83,67
1449.197177975023,8.809018813134225e-07,0.0039904117584228516,35,4848,3406.6967678358887,85,68
1082.8084213999098,7.688180126608198e-07,0.003989219665527344,35,4211,3686.277730957622,87,74
1581.7898370595058,9.345778602696295e-07,0.0039899349212646484,35,4590,3137.0787583745964,88,66
1389.7735640752994,8.660732979797103e-07,0.003989696502685547,35,4464,3104.5546024996984,85,71
1686.4162925839823,1.0380015903467038e-06,0.003988981246948242,35,4534,3044.0474002464607,86,62
1482.397068730785,8.500334902700127e-07,0.003989458084106445,35,4541,3137.9492272409116,96,69
1768.9878385227446,1.0656669800258782e-06,0.0029914379119873047,35,4520,2725.7061868995056,88,62
1088.5370147264175,7.813546989349632e-07,0.003988742828369141,35,4578,3945.7059037385648,90,72
1364.6237196831723,8.379056866381622e-07,0.00399017333984375,35,4620,3563.5910083983845,82,69
1410.5621914954618,8.786772728562659e-07,0.0029926300048828125,35,4666,3398.4717078787567,88,67
1303.5059840734518,8.622311600441173e-07,0.0029914379119873047,35,4574,3703.643660737342,86,68
