rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
182.30167883702893,1.2671131190158967e-07,0.12137293815612793,45,4324,4664.838239849603,105,102
448.2147104462244,1.4019125999176504e-07,0.1174173355102539,39,4219,5037.114723971818,99,100
764.987006312336,1.7087162232619088e-07,0.11459732055664062,33,4649,6194.506816230183,98,95
577.5690455958471,1.4799580366136507e-07,0.10113048553466797,47,4693,5677.536267225814,95,97
216.58863297167994,1.1916564202512897e-07,0.11594200134277344,40,4172,4545.849692271334,110,102
1020.9966242435071,1.8359277476181825e-07,0.10137534141540527,32,4296,6362.501533134834,92,94
339.6959936394283,1.2410251571351374e-07,0.11329841613769531,49,4675,5216.390551276594,99,100
503.1325627702583,1.3686546001737156e-07,0.11888813972473145,39,4179,5154.474521648753,93,100
739.0137618140695,1.5507398601892865e-07,0.11095118522644043,34,4475,5910.314133312312,95,96
736.2738540456369,1.5556458741231834e-07,0.14316606521606445,36,4293,5673.593829747496,102,98
1299.6588576436118,2.2988901356005744e-07,0.11591219902038574,37,4310,7012.6054200013305,89,90
357.0735169144253,1.247821573604849e-07,0.10137796401977539,42,4385,5003.5194634866275,102,100
737.7880127928738,1.5358660369361532e-07,0.09941911697387695,40,4555,5958.555196764448,91,96
1298.2387131666128,2.0535435879540118e-07,0.11771249771118164,29,4594,7321.805435124605,85,89
917.994614236882,1.8510327735600777e-07,0.11525821685791016,36,4611,6423.201317429758,95,93
636.0321729982351,1.4663343075022477e-07,0.09891438484191895,37,4611,5795.309080906233,90,97
744.4281094168684,1.5616869576422955e-07,0.11454200744628906,47,4380,5684.111470854904,88,96
929.372900217129,1.9032865311320772e-07,0.1165013313293457,43,4712,6505.2830387042,84,92
1157.5633242896067,1.9051799366252303e-07,0.11724185943603516,32,4402,6830.730625713443,96,92
571.7781252066436,1.4931905288108695e-07,0.10133576393127441,37,4609,5619.079609650085,94,97
1096.8608000824856,2.025983948768191e-07,0.11602187156677246,36,4205,6475.992449828108,93,92
785.8662470225174,1.6798325163465668e-07,0.10236072540283203,42,4501,6098.332786896761,89,94
1294.271192488557,2.2591157175103057e-07,0.11228036880493164,29,4437,7125.143632312483,89,90
745.549147711999,1.4948663421298042e-07,0.10587644577026367,44,4329,5846.30320370288,92,96
816.9571227291415,1.6012869708576715e-07,0.11302518844604492,33,4278,5909.343612312629,96,96
1536.6826464170294,2.4273039115122767e-07,0.10962891578674316,29,4261,7534.712763609861,93,88
881.8583631453637,1.739114873785417e-07,0.10757875442504883,34,4367,6171.496549848782,95,94
807.1325851582407,1.6293922175150746e-07,0.11265945434570312,44,4389,6044.13718835322,100,94
1232.9110391945549,2.1237029070927964e-07,0.10771608352661133,31,4603,7124.615347118884,82,90
761.9354622850998,1.5500971930739206e-07,0.09253978729248047,44,4370,5871.564395702014,93,95
1155.547666060818,2.0820487958452575e-07,0.16841411590576172,33,4643,7032.013435441556,92,90
818.2855253302531,1.72608270230233e-07,0.09651756286621094,45,4330,5913.876361101905,96,94
1773.8943081296109,2.979071726126096e-07,0.13438057899475098,28,4490,8374.15900823159,78,84
1715.4039177560135,2.977241534868927e-07,0.134232759475708,33,4592,8316.550711458436,83,84
1078.4881909116405,2.2092335670473675e-07,0.11660885810852051,39,4848,6895.085774029119,85,90
1085.5094023068787,1.9598955879826572e-07,0.11278676986694336,39,4211,6463.034764366734,87,92
1239.5909417737068,2.2263953702602228e-07,0.10204696655273438,33,4590,7181.4327177647165,88,89
