rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
92.25014147387776,6.107980237006719e-06,0.015621185302734375,48,421,449.9623410765351,130,103
76.01869075888006,6.474687310512227e-06,0.0,46,429,443.32792277350114,94,104
160.06705010439904,7.008560680444387e-06,0.0009891986846923828,32,504,817.2038705809259,99,87
106.80476498978643,6.1107380430913625e-06,0.0,34,526,689.7046601779392,84,92
125.39730503914596,5.985926248061661e-06,0.0,64,400,309.91183539201404,118,109
104.05461373253418,6.3941404424419575e-06,0.0,60,417,326.034054540432,119,109
86.02994446667944,6.956345837210927e-06,0.0,44,392,507.5234551971745,106,100
88.45617122409534,6.333333394815636e-06,0.015655994415283203,43,352,455.07520453616723,110,103
252.22185879893752,7.534122685619223e-06,0.0,27,334,870.274441987386,110,85
87.61591627776274,5.871135805759247e-06,0.015620708465576172,51,401,445.7776552701171,116,103
81.34871231901066,6.569569894820645e-06,0.0,50,479,567.0461263473271,94,97
175.0283336001565,7.388640409082424e-06,0.0,27,554,922.433157832385,85,83
66.57603860256411,6.144011712002125e-06,0.0,59,491,503.97028697975765,98,100
118.41659877078284,5.920461228468017e-06,0.0029921531677246094,42,523,752.4325754321462,96,89
175.87698842340825,7.1457609367686155e-06,0.015622377395629883,31,435,751.490336801578,110,90
57.922645330709656,6.519477361408839e-06,0.015623092651367188,48,425,393.6069265966236,102,106
219.74324829002154,7.186806013464461e-06,0.0,31,403,848.3650460421189,83,86
60.44934592563423,6.248424360523473e-06,0.0,56,460,537.707174608191,97,98
93.98097174132864,5.697204973730841e-06,0.0,49,448,422.27532681128366,110,104
60.89851308332014,5.740833339044231e-06,0.0,48,541,505.08879644460956,87,100
67.85091371478067,6.271861113851318e-06,0.0,63,439,440.9830849381979,106,103
51.34504760901158,6.301067664613631e-06,0.0,59,491,483.36733167457857,101,102
77.01317263066561,5.857472711087753e-06,0.0,56,472,596.1635874127285,92,96
92.67597096280063,6.703637775830357e-06,0.015662670135498047,56,400,320.7808266238113,126,108
80.65374640488884,6.518705435589577e-06,0.003981828689575195,66,415,472.4055535354534,92,100
193.9218871866374,6.89312666947197e-06,0.01732635498046875,27,473,882.3837111379244,80,85
85.77109418281769,6.03808504486476e-06,0.003988742828369141,42,389,474.3619726385064,106,101
72.3212916343709,6.248927408661809e-06,0.0,65,439,371.7722929341958,111,106
113.71886035318396,6.784937681039859e-06,0.0,40,413,591.9626737041349,96,96
128.56805971153508,6.521349852610067e-06,0.0,34,401,624.3085697631526,100,95
268.36681775821074,7.618492560955375e-06,0.0,27,443,974.0691425940042,95,81
195.4456719835924,6.979648751075004e-06,0.0,27,468,864.2622268450464,81,85
133.2314969210218,6.718834169950555e-06,0.01562190055847168,34,439,678.0865148706056,93,92
72.70802489610053,6.54509926656193e-06,0.0,70,481,454.0969389745965,101,101
167.97190341606182,6.638378324898848e-06,0.0,39,507,849.3494716076968,79,86
83.39029893292081,5.76531455093422e-06,0.0,42,490,533.557460969016,113,98
61.97701995970194,6.041564608577658e-06,0.0,41,482,526.2412324450978,93,99
107.35849996598714,5.797148995785828e-06,0.0,47,461,366.2032893599202,124,107
220.76051761338388,6.917388069996176e-06,0.0029914379119873047,27,465,881.4409677495088,84,84
55.96520443330997,5.910844813404476e-06,0.016499757766723633,51,467,504.6101091692309,110,99
233.81742758168323,6.926520226170341e-06,0.0,27,420,880.5288661392387,97,84
213.56262491281487,6.8857225349590545e-06,0.0018830299377441406,35,524,963.2648509203794,79,81
193.3491017702761,6.566458658894511e-06,0.0,36,466,869.6861491807811,73,84
109.79721343311677,6.462271049158116e-06,0.0,34,462,661.5135790331418,111,93
158.43993703789366,7.015899719378846e-06,0.0,36,415,713.0868647739751,102,91
66.7160501092394,5.8441328967375095e-06,0.0,46,459,481.35147246632437,101,101
