rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
119.90740124726133,4.395305249814261e-06,0.22820210456848145,47,475,619.1941705025054,103,109
76.65013279874746,4.080942464738749e-06,0.008011579513549805,70,480,501.0921310926846,119,120
135.63899837262596,4.0023295558546464e-06,0.00988006591796875,49,403,579.7537735103698,89,112
120.07400419248924,3.9380147666463105e-06,0.008010625839233398,49,494,592.2188403302507,95,111
123.39196520030256,5.99557253534593e-06,0.00800013542175293,19,444,590.1641234190778,129,112
117.74980131848238,4.430490102116891e-06,0.007995128631591797,50,523,647.7963029203768,95,107
84.49830023341609,3.6457438836971726e-06,0.007986307144165039,54,451,522.5440110496853,102,119
156.1655772421748,7.1833088189027625e-06,0.007981538772583008,9,509,725.6528705330337,105,100
146.66581373836215,5.244428745661606e-06,0.008997917175292969,15,412,635.716562992392,104,107
92.97559272994549,3.839898404199504e-06,0.0079803466796875,75,431,483.6580360660583,116,123
126.1536520401649,4.435770966767942e-06,0.009011030197143555,66,431,561.613625199116,88,110
145.743935305174,4.612061408104029e-06,0.007981538772583008,64,455,603.4624219386142,94,112
65.039156151951,3.047612656858485e-06,0.008985757827758789,63,444,415.5405795094386,110,131
103.84670184979564,3.723643017601916e-06,0.007989645004272461,48,392,521.6706063032049,94,118
131.51194619527365,4.215856582112134e-06,0.007996320724487305,62,472,580.3066334185304,94,114
147.58760750356723,4.598588320427614e-06,0.008000373840332031,49,460,658.9928356168268,102,104
84.43771134068385,4.578157030820531e-06,0.005999326705932617,73,481,511.1262312363173,106,118
211.6085734606016,6.095952115811862e-06,0.015000581741333008,8,424,815.316667171237,105,93
124.78920910055037,5.4287008998426845e-06,0.016020536422729492,41,516,644.9450330200249,102,106
135.48504907623933,4.327853675783533e-06,0.01601886749267578,50,460,603.5582575459183,90,110
167.67752069686998,4.333873888686745e-06,0.010001897811889648,50,422,690.3237133085573,94,101
142.35209265201166,4.8319878721219995e-06,0.007986783981323242,48,507,713.0285685955549,92,100
106.18644034798827,4.10330250321398e-06,0.009004831314086914,59,494,563.8123538134141,107,115
108.28478333711888,4.327761110715908e-06,0.008460521697998047,45,553,585.219703766555,98,112
128.80785157254533,4.108824774417807e-06,0.007009983062744141,63,348,515.3172708299425,111,115
93.2433955987486,4.289732473908291e-06,0.007000923156738281,25,509,557.7464485377054,109,114
79.48054648464468,3.29337278040847e-06,0.00898289680480957,77,446,493.2976178246017,117,124
110.14820484843455,4.0254297740213455e-06,0.007000446319580078,60,457,522.3904488762365,98,118
114.67221631858368,3.912280645238132e-06,0.007485151290893555,44,388,555.1116480284927,107,115
96.90372701225176,3.7135183111486582e-06,0.007988929748535156,87,389,436.7410120361427,112,125
