rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
358.2683017143914,9.78022884777486e-06,0.02398204803466797,47,475,1069.0012673843971,103,122
211.8328801148211,6.83005002464039e-06,0.01900196075439453,70,480,647.1476530790565,119,141
219.2883708633628,6.258054740789383e-06,0.03600311279296875,49,403,603.9942330778405,89,138
481.1874804583367,1.290053982741591e-05,0.02301478385925293,49,494,1412.9336178053034,95,115
193.1559672040762,5.726671233411747e-06,0.025004148483276367,19,444,127.35806431091028,129,249
351.32268649190434,1.0316479507406941e-05,0.03798246383666992,50,523,1083.9395839210201,95,120
358.49653039821675,9.368609723845038e-06,0.03500032424926758,54,451,1051.6158930101112,102,131
251.6561934042266,8.363172628358698e-06,0.04578709602355957,9,509,30.0,105,9
216.2088520002419,7.4995552348666885e-06,0.030002832412719727,15,412,34.0,104,15
427.649209337154,1.0811747623819517e-05,0.024002790451049805,75,431,1109.3050837341957,116,137
69.31946034643343,4.3844111178349436e-06,0.020988941192626953,66,431,389.49267401733107,88,97
303.00965228586875,8.257700362276082e-06,0.023999452590942383,64,455,809.4394447124055,94,129
180.76608005105209,5.0090688215089934e-06,0.022004127502441406,63,444,511.37295129463973,110,160
260.46102793894204,6.803193463593942e-06,0.01999807357788086,48,392,718.983739698031,94,143
319.20209909361836,8.083177815972874e-06,0.02567291259765625,62,472,862.2952299938681,94,130
97.811231157424,4.78259483959286e-06,0.02399444580078125,49,460,371.80889411650236,102,115
336.2793988619177,9.888742993939142e-06,0.018006324768066406,73,481,928.0194795935334,106,136
183.12370820410501,6.963500779690755e-06,0.03600454330444336,8,424,270.6773527512596,105,225
525.4390363832933,1.6842299567204863e-05,0.04600048065185547,41,516,1687.129317714568,102,103
428.84158526635423,1.1176350478357964e-05,0.029984712600708008,50,460,1209.5161079956079,90,119
306.31939739539456,8.374781879061433e-06,0.027022600173950195,50,422,884.545677598144,94,117
339.23353973154315,1.01387892569189e-05,0.029999494552612305,48,507,1054.3100659851486,92,113
333.84593339298215,8.434461019596694e-06,0.02099776268005371,59,494,958.2909890510872,107,130
307.68185578876256,8.545319908156815e-06,0.04200434684753418,45,553,908.3722447960151,98,130
48.53369995555618,3.6269291810549447e-06,0.03898906707763672,63,348,280.0,111,63
335.9237785101398,8.760787901844026e-06,0.031002044677734375,25,509,969.9805503771338,109,139
62.75515121844352,3.3182172833208327e-06,0.03302454948425293,77,446,342.0127092673895,117,107
259.1435260687935,7.069534534804856e-06,0.03798794746398926,60,457,697.8795149416482,98,139
435.1601894197677,1.0761598463350488e-05,0.03600168228149414,44,388,1236.679930101433,107,122
126.39983575773851,4.567598739521649e-06,0.020003795623779297,87,389,413.17382250922026,112,133
