rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
446.2596865665697,5.742994942216843e-07,0.02117156982421875,69,4324,4573.1813136303945,105,105
577.5335145056258,5.636326608822932e-07,0.004986286163330078,63,4219,4689.732327533349,99,104
727.5104315483132,4.953479355313395e-07,0.0059833526611328125,31,4649,5820.136874420613,98,98
732.9146960092831,5.597738266563987e-07,0.005830287933349609,58,4693,5502.35041509754,95,100
472.8078265396126,5.591280297232861e-07,0.004986763000488281,61,4172,4323.306495585948,110,106
835.4411380187252,4.868565059595561e-07,0.00498652458190918,39,4296,5680.455792806215,92,98
2045.126469031499,6.06256613294616e-07,0.004986763000488281,6,4675,8741.296860540539,99,84
600.4244716082773,5.098254742750263e-07,0.004987239837646484,50,4179,4901.151399710592,93,103
721.5494550594569,5.297888584411134e-07,0.0049860477447509766,31,4475,5555.329092600412,95,99
2220.4598734876913,5.583461248723466e-07,0.004986763000488281,6,4293,8753.77695171829,102,84
1233.603485896528,5.003760866195584e-07,0.005984067916870117,38,4310,6591.863155403704,89,93
674.9694182472591,5.384361232785642e-07,0.005647897720336914,27,4385,5390.7769292878365,102,100
756.8605286802806,5.137097225436983e-07,0.005549430847167969,41,4555,5639.314884830666,91,98
855.6008234715437,5.164119505146592e-07,0.004985332489013672,56,4594,5813.052543391152,85,97
779.7751976413928,5.373308706942421e-07,0.0059833526611328125,44,4611,5737.70444697892,95,97
749.2367055700744,5.344099022606435e-07,0.00498652458190918,59,4611,5445.213262047289,90,99
819.376890610014,5.287651275566583e-07,0.0060040950775146484,49,4380,5464.7727523361145,88,99
838.8010556488114,5.410537630352417e-07,0.00498652458190918,60,4712,5735.069102378111,84,97
868.6002221667509,4.977629271666821e-07,0.004986763000488281,40,4402,5835.424521944364,96,97
662.6063161472856,5.254328593903609e-07,0.0049860477447509766,38,4609,5307.059811082187,94,100
1002.0619472816439,5.123790604893272e-07,0.004986286163330078,38,4205,5998.727324100141,93,96
663.3810195472994,5.863843557124142e-07,0.004986763000488281,55,4501,5418.63937207807,89,99
2539.0088217207644,5.762121645363024e-07,0.0049855709075927734,6,4437,9882.061458656717,89,79
594.0529132299151,5.898451947870725e-07,0.005278825759887695,75,4329,4826.727408712629,92,101
562.5990419781849,6.211247220689531e-07,0.004986286163330078,81,4278,4454.145303914703,96,103
857.3760210239465,5.31683458522425e-07,0.004986286163330078,63,4261,5318.4226568523,93,98
2692.540991688357,6.080003887368144e-07,0.005984306335449219,6,4367,10046.518802855484,95,78
810.0418089245316,5.405234163882706e-07,0.0049860477447509766,44,4389,5774.882796499758,100,97
1060.3785689579938,5.115514852644372e-07,0.004986286163330078,32,4603,6407.94894924172,82,94
683.6066139942111,5.439359404619893e-07,0.0049877166748046875,54,4370,5285.821313680319,93,99
974.955551956139,5.584900477763213e-07,0.004986286163330078,45,4643,6205.6446693707585,92,94
878.1621501040433,5.809686107850117e-07,0.004986286163330078,45,4330,5716.769794746424,96,97
1283.7126792236982,5.345019025038577e-07,0.004986763000488281,38,4490,6835.0990046915995,78,91
1326.9466921496999,5.244834593809968e-07,0.004987478256225586,41,4592,7029.237253663123,83,90
940.0541972658858,5.442578253545875e-07,0.005984306335449219,50,4848,6080.892866935652,85,95
889.3252266009889,5.698111919725375e-07,0.004987001419067383,52,4211,5606.8780300024755,87,97
992.8678209911143,5.362406272421488e-07,0.004986763000488281,38,4590,6272.827577463693,88,94
921.9628130105929,5.1490989127144e-07,0.006069660186767578,35,4464,5887.028983967279,85,96
1378.0988746255991,5.218463411752002e-07,0.007978439331054688,30,4534,7199.9807329550595,86,90
851.9475266484623,5.81116871982476e-07,0.004986763000488281,49,4541,5777.28518997991,96,96
1311.7199791268783,5.070351066658842e-07,0.005986452102661133,23,4520,7069.016307205772,88,90
946.6625161679024,5.717726348882047e-07,0.0049860477447509766,49,4578,5993.786072256504,90,95
1171.0476912363056,5.448931980478393e-07,0.00698089599609375,26,4620,6905.657814177218,82,91
780.8523070739178,5.875265342993188e-07,0.004985809326171875,67,4666,5347.743113234457,88,97
1139.2499773434479,5.471602993057908e-07,0.00498652458190918,38,4574,6633.807440845263,86,92
1059.7386578304854,5.172342906412721e-07,0.00598454475402832,45,4260,6071.286658421564,91,94
1305.7145826408066,5.020148373420977e-07,0.005984306335449219,20,4508,7053.00809228517,88,90
1175.448162894406,5.502593222980761e-07,0.005983591079711914,37,4430,6562.947898023211,85,92
1452.494579169696,4.997323696788748e-07,0.005983829498291016,28,4485,7329.846405308056,87,89
877.5464042164674,5.813738440563288e-07,0.004987001419067383,62,4748,5822.277318972561,85,95
