rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1313.6569345903933,5.696936180329215e-07,0.01171875,69,4324,3755.058076850323,105,88
1421.8507987176536,6.094273950951451e-07,0.0029916763305664062,63,4219,3321.9399628468045,99,79
1386.7236509507084,5.760158017559256e-07,0.002992391586303711,31,4649,3826.7556619899738,98,76
1023.6484588678761,5.452923342710298e-07,0.0039899349212646484,58,4693,4406.51577527992,95,83
1528.2756423394871,5.980705464754734e-07,0.0029916763305664062,61,4172,3037.8450066571345,110,82
1835.30985412935,6.890440025010652e-07,0.0029914379119873047,39,4296,2489.0748961039817,92,65
2549.002296744121,1.1684138118876394e-06,0.002991914749145508,6,4675,351.0,99,6
1737.6421892163967,6.625776281154453e-07,0.0029916763305664062,50,4179,2647.1575152555174,93,71
2049.3452010324077,6.897732901680176e-07,0.002991914749145508,31,4475,1943.7090538505527,95,62
2361.7034934736357,1.169598708063227e-06,0.002991914749145508,6,4293,320.0,102,6
1929.280541377844,7.129472497747134e-07,0.0029926300048828125,38,4310,2500.583820285258,89,56
2088.6214342027097,7.115847788529071e-07,0.003988027572631836,27,4385,1605.1461728134361,102,61
1302.2817171125334,5.893892246753776e-07,0.002991914749145508,41,4555,3712.7667720502964,91,77
1452.3627321008664,6.324254604824631e-07,0.003989219665527344,56,4594,3855.4814284929776,85,72
1809.987826407003,6.553467509737987e-07,0.002991914749145508,44,4611,2868.6729676212994,95,66
935.6773914435764,5.485584676099317e-07,0.0029916763305664062,59,4611,4438.844510788107,90,84
1434.1067134180296,6.250646279866068e-07,0.003988504409790039,49,4380,3309.0241243232995,88,73
1481.837033719541,6.36007248679067e-07,0.0029926300048828125,60,4712,3966.416996725284,84,70
1537.1168989144935,6.28015361092886e-07,0.0029921531677246094,40,4402,3233.5698990291185,96,71
1045.368305926703,5.331354111999024e-07,0.002991914749145508,38,4609,4047.079801411886,94,83
1479.1276909708304,6.362329509542173e-07,0.003989219665527344,38,4205,3155.402239928166,93,70
1425.2209914646573,5.889416474771175e-07,0.003989219665527344,55,4501,3694.82437274395,89,76
2435.912668746107,1.13817851519031e-06,0.0029916763305664062,6,4437,487.0,89,6
1075.9518154601978,5.785721401189377e-07,0.0029926300048828125,75,4329,4207.924189923555,92,83
1109.8633183538793,5.695418696032863e-07,0.003990888595581055,81,4278,4001.0542390384344,96,87
1363.308556602194,6.445395585246025e-07,0.002991199493408203,63,4261,3805.725696733272,93,71
2433.6121875400568,1.08703558749056e-06,0.003989219665527344,6,4367,490.0,95,6
1351.923570818149,5.929139720076023e-07,0.003988981246948242,44,4389,3705.139848635786,100,76
1255.8206161094245,5.78008269478217e-07,0.003988981246948242,32,4603,3915.5559293017986,82,73
1572.9595825141696,6.348637390894975e-07,0.0029921531677246094,54,4370,3270.2935441995774,93,72
1319.2907158130927,5.809255059955859e-07,0.0039899349212646484,45,4643,3893.708159550818,92,72
1462.290880111372,6.027776421481226e-07,0.003988504409790039,45,4330,3283.8461648730326,96,71
1567.3207818909987,6.476423483771905e-07,0.0029931068420410156,38,4490,3373.9503610704623,78,64
1684.8364139264136,6.714445911276669e-07,0.003989219665527344,41,4592,3406.182403902523,83,60
1526.0497727172028,6.259995903563478e-07,0.002992391586303711,50,4848,3631.952292575798,85,68
1115.3599132912987,5.82047817455393e-07,0.0029921531677246094,52,4211,3947.133536994834,87,77
1798.346794551774,6.589387593727412e-07,0.004986763000488281,38,4590,2826.533932364329,88,63
956.8088561361384,5.563147112768822e-07,0.003989458084106445,35,4464,4233.121207738047,85,79
