S,E,I,R,Beta
99400,0,600,0,3.085177733065057e-06
99216,184,558,42,3.124857304204028e-06
99043,341,525,91,3.750174887963525e-06
98848,498,511,143,4.1970783266676334e-06
98636,657,506,201,4.107408450473951e-06
98431,795,535,239,5.222122010228333e-06
98156,995,561,288,5.39357517325362e-06
97859,1195,626,320,6.98664476734424e-06
97431,1483,712,374,6.51570301725485e-06
96979,1785,817,419,6.474669534065994e-06
96466,2124,919,491,5.786654899941968e-06
95953,2424,1041,582,5.796545865349363e-06
95374,2759,1203,664,6.257902890281304e-06
94656,3220,1349,775,5.615120207741592e-06
93939,3605,1576,880,5.640067863457996e-06
93104,4082,1799,1015,5.427056963249618e-06
92195,4615,2013,1177,5.415205201118701e-06
91190,5171,2331,1308,5.010258327508026e-06
90125,5724,2651,1500,4.976532551765199e-06
88936,6368,2976,1720,4.6283433489927755e-06
87711,6966,3370,1953,4.4555550266627926e-06
86394,7579,3780,2247,4.032834437723666e-06
85077,8124,4258,2541,4.024757325766392e-06
83619,8770,4746,2865,3.97877542283157e-06
82040,9498,5235,3227,3.748724618689511e-06
80430,10169,5762,3639,3.84086178926417e-06
78650,10959,6308,4083,3.356014481857567e-06
76985,11567,6881,4567,3.4300247623435985e-06
75168,12216,7473,5143,3.252449559153694e-06
73341,12828,8072,5759,3.1317115162214753e-06
71487,13408,8734,6371,2.932567955839877e-06
69656,13881,9418,7045,2.8932035581440503e-06
67758,14419,10041,7782,2.88671519234905e-06
65794,14898,10711,8597,2.725907126621525e-06
63873,15261,11413,9453,2.8272281727830497e-06
61812,15798,12073,10317,2.6237635286567428e-06
59854,16172,12695,11279,2.6439549575886066e-06
57845,16536,13339,12280,2.483169737138663e-06
55929,16824,13906,13341,2.4802356654355415e-06
54000,17091,14486,14423,2.52350928866185e-06
52026,17301,15052,15621,2.4096682417800893e-06
50139,17426,15605,16830,2.2647709026068695e-06
48367,17481,16086,18066,2.0950306897703977e-06
46737,17394,16487,19382,2.1737637463936465e-06
45062,17332,16937,20669,2.173699148565319e-06
43403,17252,17352,21993,2.056752954902049e-06
41854,17018,17754,23374,2.017290518671581e-06
40355,16867,17973,24805,2.0226101759503338e-06
38888,16647,18213,26252,1.954064948126409e-06
37504,16368,18453,27675,1.929019838057354e-06
36169,15987,18704,29140,1.8373848590878657e-06
34926,15653,18791,30630,1.9290121516886295e-06
33660,15300,19018,32022,1.915188456731144e-06
32434,14977,19094,33495,1.8052791775760377e-06
31316,14597,19113,34974,1.7642851310119044e-06
30260,14150,19073,36517,1.7551793992601355e-06
29247,13724,18980,38049,1.7023712464200213e-06
28302,13327,18846,39525,1.706102341107633e-06
27392,12895,18699,41014,1.6204512410829106e-06
26562,12445,18506,42487,1.6661364731530731e-06
25743,11989,18289,43979,1.6142265112843662e-06
24983,11563,18070,45384,1.5904561643145894e-06
24265,11086,17804,46845,1.5439312322381359e-06
23598,10694,17442,48266,1.4844642098302941e-06
22987,10210,17196,49607,1.5356030244265716e-06
22380,9807,16831,50982,1.6167664575277044e-06
21771,9410,16488,52331,1.4569858442932656e-06
21248,8949,16110,53693,1.4402348687113445e-06
20755,8573,15694,54978,1.4766878119560566e-06
20274,8225,15238,56263,1.5440130534553634e-06
19797,7855,14873,57475,1.3177522443808488e-06
19409,7464,14485,58642,1.4121110361048159e-06
19012,7135,14054,59799,1.4895507936970355e-06
18614,6796,13669,60921,1.3598770539085843e-06
18268,6446,13222,62064,1.4241977220984183e-06
17924,6167,12727,63182,1.4071618523875118e-06
17603,5867,12388,64142,1.380316278976943e-06
17302,5595,11897,65206,1.2728215569178546e-06
17040,5275,11532,66153,1.2569636805687868e-06
16793,5003,11116,67088,1.1731871264323088e-06
16574,4753,10702,67971,1.1331927212178801e-06
16373,4480,10304,68843,1.2447587358827763e-06
16163,4237,9903,69697,1.1620483336011354e-06
15977,4030,9527,70466,1.1497056040836072e-06
15802,3797,9182,71219,1.2336832978110654e-06
15623,3624,8764,71989,1.3292436256121934e-06
15441,3431,8445,72683,1.019944555660579e-06
15308,3231,8103,73358,1.0641666361121853e-06
15176,3020,7756,74048,1.1809178358489544e-06
15037,2835,7516,74612,1.1237138917546052e-06
14910,2678,7205,75207,1.2194378391561491e-06
14779,2550,6922,75749,1.2903195787286438e-06
14647,2423,6629,76301,1.2359034525817781e-06
14527,2318,6334,76821,1.0541872000416284e-06
14430,2182,6084,77304,1.0707111298827276e-06
14336,2071,5813,77780,1.0559767516158363e-06
14248,1928,5585,78239,1.2315413317837694e-06
14150,1837,5310,78703,1.0381106386376793e-06
14072,1739,5088,79101,1.2151120383579865e-06
13985,1646,4881,79488,9.815298783921104e-07
13918,1544,4646,79892,8.350985357505992e-07
13864,1443,4423,80270,1.0436971196177355e-06
13800,1368,4217,80615,9.279211473229475e-07
13746,1287,4011,80956,1.1426455901878739e-06
13683,1241,3822,81254,8.222359210551024e-07
13640,1166,3641,81553,9.262384008775907e-07
13594,1101,3452,81853,7.032275673389408e-07
13561,1041,3248,82150,7.719180219428142e-07
13527,973,3114,82386,8.308984447907629e-07
13492,911,2975,82622,9.96544482008635e-07
13452,863,2838,82847,8.120119938886406e-07
13421,799,2714,83066,1.0707051394999763e-06
13382,753,2579,83286,8.692583817804834e-07
13352,714,2446,83488,9.798220349237968e-07
13320,679,2318,83683,1.0687996020178937e-06
13287,646,2195,83872,9.943437271397376e-07
13258,607,2070,84065,1.0566949642290535e-06
13229,579,1960,84232,9.641773407526137e-07
13204,555,1839,84402,8.236500910380445e-07
13184,525,1737,84554,7.86005332260174e-07
13166,483,1677,84674,9.058224546321088e-07
13146,469,1591,84794,1.0996741808837804e-06
13123,446,1518,84913,8.533830664904882e-07
13106,419,1438,85037,1.008148599830164e-06
13087,406,1382,85125,8.293600536186804e-07
13072,386,1308,85234,7.60315018397284e-07
13059,362,1246,85333,1.1676848263781723e-06
13040,349,1179,85432,8.455746525338621e-07
13027,328,1135,85510,6.086985045292241e-07
13018,299,1094,85589,7.723801357310634e-07
13007,290,1036,85667,4.4526068974442927e-07
13001,266,988,85745,1.5570275347863308e-06
12981,257,953,85809,7.27514173794891e-07
12972,231,909,85888,6.784520573549801e-07
12964,218,859,85959,9.877806150029866e-07
12953,199,830,86018,9.301468980996169e-07
12943,187,787,86083,1.4725890796131724e-06
12928,187,737,86148,4.198181012131064e-07
12924,165,709,86202,8.73065450661107e-07
12916,158,664,86262,1.166014320521479e-06
12906,151,633,86310,8.568457939520886e-07
12899,139,602,86360,1.287797168855192e-06
12889,134,566,86411,8.22461534159432e-07
12883,125,536,86456,1.4481655218435495e-06
12873,122,519,86486,8.980574568180298e-07
12867,117,494,86522,1.4159185110578517e-06
12858,109,472,86561,8.238622133289043e-07
12853,105,438,86604,1.4210565768807595e-06
12845,104,419,86632,9.290131743358252e-07
12840,100,407,86653,7.654213261689897e-07
12836,98,376,86690,2.071965151203729e-07
12835,90,365,86710,6.403722697461457e-07
12832,82,348,86738,4.4787456645741965e-07
12830,78,335,86757,4.653272995893487e-07
12828,67,323,86782,1.2067256127994007e-06
12823,66,300,86811,5.198991395669241e-07
12821,62,282,86835,5.531704688838846e-07
12819,53,269,86859,1.1599881797204486e-06
12815,52,251,86882,3.1089065509324387e-07
12814,48,236,86902,1.9840587493022726e-06
12808,48,221,86923,7.065719671811453e-07
12806,45,201,86948,7.769989658143765e-07
12804,43,192,86961,1.2203217744454857e-06
12801,45,177,86977,4.4134970034562093e-07
12800,45,156,86999,1.5024038461538462e-06
12797,46,147,87010,0.0
12797,45,135,87023,1.7365181075425665e-06
12794,46,127,87033,0.0
12794,40,123,87043,0.0
12794,37,116,87053,0.0
12794,34,106,87066,7.373739459239443e-07
12793,33,102,87072,3.831752352312769e-06
12788,35,98,87079,0.0
12788,31,99,87082,2.369645785348006e-06
12785,30,93,87092,1.682078712873369e-06
12783,28,93,87096,1.682341887200659e-06
12781,25,89,87105,0.0
12781,21,91,87107,0.0
12781,18,85,87116,2.761451971446587e-06
12778,19,77,87126,2.032714507280167e-06
12776,19,73,87132,0.0
12776,17,70,87137,0.0
12776,14,66,87144,0.0
12776,13,64,87147,1.2229962429555416e-06
12775,14,60,87151,1.304631441617743e-06
12774,14,56,87156,2.795857657294952e-06
12772,12,53,87163,0.0
12772,11,51,87166,1.5352210411255012e-06
12771,12,51,87166,0.0
12771,12,41,87176,0.0
12771,11,38,87180,0.0
12771,10,37,87182,0.0
12771,9,34,87186,2.3030118789352717e-06
12770,10,30,87190,0.0
12770,10,28,87192,0.0
12770,7,30,87193,0.0
12770,7,26,87197,0.0
12770,6,25,87199,3.1323414252153483e-06
12769,7,23,87201,0.0
12769,5,24,87202,0.0
12769,5,24,87202,0.0
12769,4,24,87203,0.0
12769,3,24,87204,0.0
12769,2,24,87205,0.0
12769,2,22,87207,0.0
12769,1,22,87208,0.0
12769,1,20,87210,0.0
12769,1,19,87211,0.0
12769,1,18,87212,0.0
12769,1,14,87216,0.0
12769,1,13,87217,6.024205256721507e-06
12768,2,13,87217,0.0
12768,2,13,87217,0.0
12768,2,13,87217,0.0
12768,2,13,87217,6.024677077308656e-06
12767,3,13,87217,0.0
12767,2,14,87217,0.0
12767,2,13,87218,6.025148971808328e-06
12766,3,13,87218,0.0
12766,3,13,87218,0.0
12766,3,12,87219,0.0
12766,3,10,87221,0.0
12766,3,9,87222,0.0
12766,3,9,87222,0.0
12766,3,9,87222,0.0
12766,3,5,87226,0.0
12766,3,3,87228,0.0
12766,3,2,87229,0.0
12766,3,1,87230,0.0
12766,3,1,87230,0.0
12766,3,1,87230,0.0
12766,3,1,87230,0.0
12766,3,1,87230,0.0
12766,3,1,87230,0.0
12766,3,1,87230,0.0
12766,1,3,87230,0.0
12766,1,2,87231,0.0
12766,1,2,87231,0.0
12766,1,1,87232,0.0
12766,1,1,87232,7.833307222309259e-05
12765,2,1,87232,0.0
12765,2,1,87232,0.0
12765,2,1,87232,0.0
12765,2,1,87232,0.0
12765,1,2,87232,0.0
12765,1,1,87233,0.0
12765,1,1,87233,0.0
12765,1,1,87233,0.0
12765,1,0,87234,
12765,1,0,87234,
12765,1,0,87234,
