S,E,I,R,Beta
99000,0,1000,0,4.383838383838384e-06
98566,434,935,65,3.949686634683609e-06
98202,765,902,131,3.522311199716806e-06
97890,996,920,194,4.641412055235024e-06
97472,1311,945,272,5.037398340090395e-06
97008,1630,1025,337,5.068729559141213e-06
96504,1946,1133,417,6.237479768432557e-06
95822,2416,1245,517,6.6471978372885e-06
95029,2942,1417,612,6.6762667768773005e-06
94130,3546,1608,716,6.7520677712045316e-06
93108,4173,1875,844,7.051309590296573e-06
91877,4996,2162,965,6.791245871624792e-06
90528,5851,2491,1130,6.5940815709974075e-06
89041,6770,2876,1313,6.22066573416297e-06
87448,7714,3311,1527,6.482689347509477e-06
85571,8833,3798,1798,5.7384852339913355e-06
83706,9792,4398,2104,5.47890896032995e-06
81689,10815,5040,2456,5.088501550693523e-06
79594,11879,5653,2874,4.676128308533577e-06
77490,12780,6415,3315,4.604722586586739e-06
75201,13792,7202,3805,4.252234484598032e-06
72898,14653,8102,4347,4.381839034003199e-06
70310,15724,8988,4978,4.1459220236251725e-06
67690,16805,9813,5692,4.060267375155473e-06
64993,17814,10706,6487,3.7165047957326615e-06
62407,18704,11628,7261,3.7840965078775435e-06
59661,19601,12519,8219,3.6350439492679127e-06
56946,20411,13440,9203,3.4154119274233065e-06
54332,20982,14440,10246,3.2438809062085306e-06
51787,21379,15412,11422,3.3177085132565835e-06
49139,21872,16279,12710,3.1865137596933163e-06
46590,22257,17060,14093,3.061049634297042e-06
44157,22471,17929,15443,2.927910548942518e-06
41839,22584,18630,16947,2.8096353866880012e-06
39649,22452,19516,18383,2.761731633079866e-06
37512,22426,20122,19940,2.7066182276596445e-06
35469,22193,20753,21585,2.6206100202207168e-06
33540,21920,21265,23275,2.5980468240104392e-06
31687,21582,21773,24958,2.4727466969260514e-06
29981,21151,22178,26690,2.4574435965034147e-06
28347,20703,22450,28500,2.4733255220873547e-06
26773,20125,22836,30266,2.311133802203336e-06
25360,19514,23012,32114,2.2670245835254793e-06
