S,E,I,R,Beta
99300,0,700,0,3.985038124010933e-06
99023,277,660,40,3.7487464650850934e-06
98778,497,627,98,4.278761747663304e-06
98513,714,627,146,4.355030434944013e-06
98244,900,668,188,5.942676757148948e-06
97854,1166,734,246,6.112091923189355e-06
97415,1491,780,314,6.856733746843073e-06
96894,1866,864,376,7.3940097961193175e-06
96275,2262,1016,447,6.430480272022606e-06
95646,2695,1127,532,7.46801449392253e-06
94841,3238,1299,622,7.362105073083747e-06
93934,3793,1549,724,7.4637243409905966e-06
92848,4487,1824,841,7.569908637697985e-06
91566,5298,2160,976,7.058256299240944e-06
90170,6157,2537,1136,6.583281638252696e-06
88664,7001,2979,1356,6.307498757354597e-06
86998,7928,3468,1606,6.055502528753992e-06
85171,8978,3967,1884,5.647086283870557e-06
83263,10012,4550,2175,5.577454624450289e-06
81150,11106,5185,2559,5.1691838215241246e-06
78975,12172,5865,2988,4.848999070842398e-06
76729,13239,6563,3469,4.549494525839081e-06
74438,14204,7377,3981,4.357809277812738e-06
72045,15217,8170,4568,3.98567704650118e-06
69699,16113,8956,5232,3.972931240395719e-06
67219,17006,9807,5968,3.909184750624344e-06
64642,17866,10711,6781,3.578957142785465e-06
62164,18600,11590,7646,3.426878463763557e-06
59695,19150,12616,8539,3.419145611413079e-06
57120,19869,13443,9568,3.365178549289239e-06
54536,20506,14378,10580,3.2941445001391933e-06
51953,21031,15224,11792,3.1456541336692015e-06
49465,21421,16089,13025,3.049598822259259e-06
47038,21705,16935,14322,2.9061427736098587e-06
44723,21834,17800,15643,2.860303385609345e-06
42446,21934,18582,17038,2.74871715164459e-06
40278,21853,19321,18548,2.7100610952626722e-06
38169,21812,19988,20031,2.7250493186739677e-06
36090,21691,20626,21593,2.6545141504277165e-06
34114,21501,21200,23185,2.6077934030293545e-06
32228,21233,21689,24850,2.3777059015627583e-06
30566,20796,22050,26588,2.3739566275156706e-06
28966,20328,22334,28372,2.4423170921369564e-06
27386,19930,22509,30175,2.3311593593288846e-06
25949,19318,22789,31944,2.1290204629998557e-06
24690,18664,22916,33730,2.228718320474636e-06
23429,18034,23024,35513,2.0225078765466233e-06
22338,17365,23024,37273,2.1232326071784487e-06
21246,16750,22828,39176,2.123695191365225e-06
20216,16118,22665,41001,2.066802730816033e-06
19269,15510,22364,42857,2.0861764158586946e-06
18370,14826,22187,44617,1.9750956872522096e-06
17565,14266,21763,46406,2.0352261813170186e-06
16787,13664,21422,48127,1.9076162367996226e-06
16101,12970,21096,49833,1.948969409706273e-06
15439,12333,20674,51554,1.7669954241021798e-06
14875,11661,20282,53182,1.8329785321090274e-06
14322,11070,19785,54823,1.828058273557063e-06
