S,E,I,R,Beta
9900,0,100,0,6.262626262626262e-05
9838,62,97,3,4.8203578382162164e-05
9792,102,95,11,5.267457860337117e-05
9743,139,98,20,5.76028420194928e-05
9688,182,100,30,8.773740710156896e-05
9603,249,111,37,9.287638153617534e-05
9504,322,130,44,8.903133903133904e-05
9394,400,151,55,7.613708623370984e-05
9286,469,179,66,7.760826955217021e-05
9157,546,220,77,8.289733636462915e-05
8990,639,276,95,8.463510180393675e-05
8780,784,318,118,8.273520436669962e-05
8549,932,374,145,6.630540645526918e-05
8337,1057,439,167,7.431809730370118e-05
8065,1235,495,205,6.763230569802175e-05
7795,1381,576,248,6.592545078754187e-05
7499,1545,669,287,5.999803461587604e-05
7198,1682,782,338,5.382995702841582e-05
6895,1808,908,389,5.510601118731891e-05
6550,1961,1037,452,5.079243560770573e-05
6205,2089,1174,532,4.969339723007357e-05
5843,2267,1272,618,5.1800950877091007e-05
5458,2398,1420,724,4.580432392817882e-05
5103,2530,1533,834,4.256733980586992e-05
4770,2616,1669,945,3.818553396314342e-05
4466,2649,1802,1083,4.063256579617711e-05
4139,2718,1911,1232,3.552631861747245e-05
3858,2741,1991,1410,3.4890027414708856e-05
3590,2722,2125,1563,3.14599377355399e-05
3350,2669,2268,1713,3.422043223038248e-05
3090,2680,2342,1888,3.426938500272221e-05
2842,2675,2423,2060,2.875330045775835e-05
2644,2622,2476,2258,3.314726060040229e-05
2427,2545,2576,2452,2.607185723754757e-05
2264,2459,2622,2655,2.846935282591176e-05
2095,2363,2672,2870,2.8761093564660656e-05
1934,2284,2660,3122,2.9740846428377044e-05
1781,2218,2692,3309,2.5237503681338346e-05
1660,2133,2703,3504,2.496110969961979e-05
1548,2027,2725,3700,2.6550980252708437e-05
1436,1926,2725,3913,2.632184201783752e-05
1333,1823,2740,4104,2.546257002206756e-05
1240,1723,2702,4335,2.6264893388410018e-05
1152,1642,2650,4556,2.4567610062893083e-05
1077,1562,2585,4776,2.1551375785951734e-05
1017,1466,2551,4966,2.6596082975153476e-05
948,1384,2511,5157,1.9324255974135744e-05
902,1290,2440,5368,1.6811457235287703e-05
865,1194,2366,5575,2.003332372385285e-05
824,1119,2304,5753,2.1596042340884574e-05
783,1052,2227,5938,1.720438987211977e-05
753,991,2136,6120,1.927371661916628e-05
722,922,2079,6277,2.265099218007805e-05
688,856,2019,6437,2.3036962806823547e-05
656,803,1940,6601,2.2001508674880563e-05
628,748,1867,6757,1.8763710301959272e-05
606,698,1788,6908,1.8458221661092285e-05
586,656,1704,7054,2.1030620583569678e-05
565,616,1633,7186,1.9509128646445817e-05
547,570,1585,7298,1.7301137838165157e-05
532,534,1523,7411,1.357629135214925e-05
521,490,1460,7529,1.314647805852812e-05
511,448,1406,7635,1.1134834494603782e-05
503,404,1349,7744,2.2106058976017874e-05
488,385,1273,7854,1.2877802531775978e-05
480,342,1210,7968,1.3774104683195593e-05
472,324,1148,8056,2.214610523829209e-05
460,308,1082,8150,1.2054970666238046e-05
454,287,1015,8244,1.0850458974414618e-05
449,253,974,8324,1.8292989669034085e-05
441,236,928,8395,1.2217530690437094e-05
436,207,884,8473,1.55672713686745e-05
430,192,836,8542,2.2254367419606097e-05
422,187,788,8603,2.105035244304376e-05
415,174,743,8668,9.729361591723556e-06
412,158,697,8733,3.482330654260283e-06
411,149,648,8792,1.1264305668198612e-05
408,142,600,8850,1.6339869281045753e-05
404,131,559,8906,1.3283975982571424e-05
401,111,546,8942,1.3702008714477543e-05
398,99,515,8988,4.878762745767673e-06
397,89,485,9029,0.0
397,79,460,9064,2.737925747453729e-05
392,73,439,9096,5.810980428617916e-06
391,67,422,9120,6.0605325996048535e-06
390,63,396,9151,6.475006475006475e-06
389,59,376,9176,1.3673904720231909e-05
387,53,353,9207,2.928021901603824e-05
383,51,338,9228,3.8623758246172385e-05
378,53,319,9250,0.0
378,47,294,9281,8.99830831803621e-06
377,41,279,9303,2.8521719289238757e-05
374,42,260,9324,1.0283833813245577e-05
373,38,245,9344,2.188542977512721e-05
371,37,231,9361,0.0
371,35,209,9385,2.5793471672319737e-05
369,32,198,9401,0.0
369,28,192,9411,0.0
369,26,177,9428,1.531088757215256e-05
368,26,162,9444,0.0
368,23,153,9456,1.7760727479397556e-05
367,22,143,9468,0.0
367,18,135,9480,4.036734281965889e-05
365,18,126,9491,0.0
365,16,118,9501,2.3218017181332715e-05
364,16,110,9510,2.4975024975024975e-05
363,16,104,9517,7.946598855689765e-05
360,15,104,9521,0.0
360,14,99,9527,2.8058361391694725e-05
359,14,91,9536,0.0
359,12,85,9544,0.0
359,10,80,9551,0.0
359,10,77,9554,0.0
359,9,73,9559,0.0
359,9,69,9563,0.0
359,8,65,9568,4.285408185129634e-05
358,8,63,9571,0.0
358,8,59,9575,4.734400151500805e-05
357,8,56,9579,5.0020008003201284e-05
