S,E,I,R,Beta
9920,0,80,0,3.0241935483870968e-05
9896,24,73,7,2.214814896844996e-05
9880,35,72,13,4.217273954116059e-05
9850,60,72,18,5.2171460800902426e-05
9813,91,72,24,3.538390117417938e-05
9788,104,80,28,2.681855333060891e-05
9767,116,86,31,3.095378124248478e-05
9741,134,86,39,4.536089365735336e-05
9703,162,86,49,4.314177585930029e-05
9667,189,88,56,4.466930607408522e-05
9629,208,102,61,3.1563149717255265e-05
9598,217,110,75,4.546401712477978e-05
9550,239,128,83,4.335732984293194e-05
9497,274,136,93,4.103463013087724e-05
9444,299,155,102,4.4404366657102646e-05
9379,338,165,118,4.264846998613925e-05
9313,372,184,131,4.726912824056135e-05
9232,400,218,150,4.3228181196635556e-05
9145,437,252,166,3.297838180287606e-05
9069,465,281,185,3.649364363132944e-05
8976,520,295,209,3.663252666243693e-05
8879,561,330,230,4.0954652960509475e-05
8759,629,362,250,3.532278401568332e-05
8647,679,394,280,3.6396531997541474e-05
8523,731,439,307,3.8218974411193937e-05
8380,814,466,340,3.5594661312956455e-05
8241,881,494,384,3.659985841504436e-05
8092,945,542,421,3.7848870826819984e-05
7926,1022,586,466,3.595545485157502e-05
7759,1090,640,511,3.2220646990591574e-05
7599,1145,704,552,3.383369821387982e-05
7418,1222,753,607,3.437315714225868e-05
7226,1298,819,657,3.5991317474849166e-05
7013,1376,892,719,2.8454522958324034e-05
6835,1412,955,798,3.063995373366986e-05
6635,1456,1024,885,2.9436699321778448e-05
6435,1500,1109,956,2.5783253916707478e-05
6251,1542,1159,1048,2.6777423981446835e-05
6057,1588,1222,1133,2.6615672659111058e-05
5860,1613,1287,1240,2.240838418312821e-05
5691,1608,1354,1347,2.5176449274515957e-05
5497,1649,1414,1440,2.75320549025198e-05
5283,1682,1472,1563,2.5461076957262424e-05
5085,1730,1504,1681,2.4712860101675767e-05
4896,1741,1568,1795,2.4098180939042285e-05
4711,1744,1632,1913,2.2501571207977992e-05
4538,1768,1651,2043,1.9620305708387802e-05
4391,1768,1657,2184,2.089092367707195e-05
4239,1730,1732,2299,1.784267608542038e-05
4108,1685,1783,2424,2.1571249838215627e-05
3950,1674,1794,2582,2.0320900893272934e-05
3806,1644,1827,2723,2.0277377263624023e-05
3665,1627,1824,2884,1.9895407003183263e-05
3532,1607,1827,3034,1.9215975790349986e-05
3408,1582,1836,3174,2.0776437857354733e-05
3278,1583,1813,3326,2.0191774745945407e-05
3158,1551,1812,3479,1.6426972669711598e-05
3064,1502,1823,3611,1.9156155248643315e-05
2957,1445,1844,3754,1.613876994696947e-05
2869,1396,1830,3905,2.0189437876528255e-05
2763,1369,1819,4049,2.0095915216726488e-05
2662,1334,1794,4210,1.6332930454382127e-05
2584,1281,1777,4358,1.9164731319178147e-05
2496,1242,1750,4512,1.6254578754578754e-05
2425,1189,1737,4649,1.4956466000747824e-05
2362,1120,1734,4784,1.3184533663044337e-05
2308,1067,1717,4908,1.741177278090741e-05
2239,1018,1683,5060,1.8576326276717734e-05
2169,980,1630,5221,1.668802167745731e-05
2110,927,1605,5358,1.3878430851456497e-05
2063,886,1578,5473,1.5973390788391275e-05
2011,833,1581,5575,1.79279616756794e-05
1954,822,1519,5705,9.770474703567167e-06
1925,771,1487,5817,1.2925877081895912e-05
1888,716,1472,5924,1.6551906779661017e-05
1842,694,1432,6032,1.3648026495368769e-05
1806,669,1383,6142,1.1610691124387336e-05
1777,631,1345,6247,1.5480750523521326e-05
1740,600,1289,6371,1.4267497748410511e-05
1708,567,1248,6477,1.125923257070798e-05
1684,519,1234,6563,1.058681767960055e-05
1662,499,1179,6660,1.4799708905035882e-05
1633,471,1143,6753,1.714421337259358e-05
1601,449,1108,6842,9.019633487193247e-06
1585,420,1077,6918,1.1716152766915928e-05
1565,396,1058,6981,1.2078972321034927e-05
1545,372,1014,7069,1.2766256231528822e-05
1525,361,960,7154,1.2978142076502732e-05
1506,344,931,7219,9.985122167969726e-06
1492,325,885,7298,1.2874691386074129e-05
1475,310,846,7369,1.2020675561966582e-05
1460,299,807,7434,1.273106890054489e-05
1445,285,774,7496,1.0729325930098442e-05
1433,260,745,7562,1.4050403480753289e-05
1418,244,716,7622,1.4774133053872398e-05
1403,239,675,7683,1.0559383332013411e-05
1393,225,649,7733,1.106124945661612e-05
1383,215,612,7790,5.907400318527025e-06
1378,199,579,7844,1.0026796613950784e-05
1370,182,565,7883,7.751437245655965e-06
1364,166,544,7926,6.7383991719855095e-06
1359,156,530,7955,1.2495314257153567e-05
1350,148,507,7995,1.3149243918474688e-05
1341,139,484,8036,7.703637965993061e-06
1336,130,455,8079,1.6450615253010463e-06
1335,125,428,8112,1.4001190101158599e-05
1327,124,396,8153,5.708935626041881e-06
1324,117,374,8185,1.2116903888718355e-05
1318,115,352,8215,1.077734859980687e-05
1313,110,336,8241,4.533420375004534e-06
1311,99,317,8273,7.2187051086776055e-06
1308,92,299,8301,1.278471561678582e-05
1303,89,285,8323,5.385682163967094e-06
1301,83,265,8351,1.1602105782199469e-05
1297,83,242,8378,6.37198366223389e-06
1295,74,232,8399,9.98535481294102e-06
1292,72,218,8418,1.4201721248615333e-05
1288,70,209,8433,1.1144461945377277e-05
1285,65,199,8451,7.821207203331834e-06
1283,60,197,8460,1.5825852321059066e-05
1279,59,180,8482,1.7374685083832857e-05
1275,60,167,8498,0.0
1275,56,160,8509,4.901960784313726e-06
1274,49,153,8524,5.130257231097567e-06
1273,43,144,8540,5.455180239155102e-06
1272,39,138,8551,1.1393674232066356e-05
1270,39,129,8562,0.0
1270,35,122,8573,6.454111268878275e-06
1269,35,113,8583,1.394729317907627e-05
1267,34,106,8593,7.445905496567437e-06
1266,33,99,8602,7.978680964462955e-06
1265,30,93,8612,1.7000297505206343e-05
1263,30,88,8619,0.0
1263,27,84,8626,0.0
1263,25,79,8633,1.002234984014352e-05
1262,24,74,8640,1.0708013877585985e-05
1261,25,69,8645,1.1493063935914675e-05
1260,22,62,8656,1.2800819252432156e-05
1259,18,61,8662,1.3021002877641636e-05
1258,15,63,8664,1.2617659676483206e-05
1257,15,58,8670,0.0
1257,14,57,8672,0.0
1257,13,52,8678,0.0
1257,11,48,8684,0.0
1257,9,49,8685,1.623561118958323e-05
1256,9,47,8688,1.6939964764873288e-05
1255,8,46,8691,0.0
1255,7,44,8694,0.0
1255,6,42,8697,0.0
1255,5,38,8702,4.1937513105472846e-05
1253,6,38,8703,2.1002226235981016e-05
1252,6,36,8706,0.0
1252,6,34,8708,0.0
1252,6,30,8712,2.6624068157614482e-05
1251,7,28,8714,0.0
1251,7,27,8715,0.0
1251,5,28,8716,2.8548589699668835e-05
1250,5,28,8717,0.0
1250,4,27,8719,0.0
1250,4,24,8722,3.3333333333333335e-05
1249,5,23,8723,0.0
1249,5,21,8725,0.0
1249,5,19,8727,0.0
1249,3,20,8728,0.0
1249,3,20,8728,0.0
1249,2,20,8729,8.00640512409928e-05
1247,3,20,8730,0.0
1247,3,19,8731,4.2206558899252944e-05
1246,4,17,8733,4.7209895194032666e-05
1245,4,18,8733,0.0
1245,2,19,8734,0.0
1245,2,17,8736,0.0
1245,2,16,8737,0.0
1245,2,16,8737,0.0
1245,2,14,8739,0.0
1245,1,15,8739,0.0
1245,1,15,8739,5.35475234270415e-05
1244,2,13,8741,6.183527083848628e-05
1243,3,11,8743,7.31368390258173e-05
1242,3,11,8744,0.0
1242,3,8,8747,0.0
1242,2,8,8748,0.0
1242,2,8,8748,0.0
1242,2,6,8750,0.0
1242,2,6,8750,0.0
1242,2,6,8750,0.0
1242,2,5,8751,0.0
1242,1,6,8751,0.0
1242,1,6,8751,0.0
1242,0,7,8751,0.0
1242,0,7,8751,0.0
1242,0,6,8752,0.0
1242,0,6,8752,0.0
1242,0,4,8754,0.0
1242,0,3,8755,0.0
1242,0,3,8755,0.0
1242,0,3,8755,0.0
1242,0,2,8756,0.00040257648953301127
1241,1,2,8756,0.0
1241,0,3,8756,0.0
1241,0,3,8756,0.0
1241,0,3,8756,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,2,8757,0.0
1241,0,1,8758,0.0
1241,0,1,8758,0.0
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
1241,0,0,8759,
