S,E,I,R,Beta
4038,6,77,95879,0.0
4038,6,73,95883,3.392429454429495e-06
4037,7,65,95891,0.0
4037,7,56,95900,0.0
4037,5,54,95904,0.0
4037,5,49,95909,0.0
4037,5,44,95914,0.0
4037,3,41,95919,0.0
4037,2,41,95920,0.0
4037,2,38,95923,0.0
4037,2,34,95927,0.0
4037,2,31,95930,0.0
4037,1,31,95931,0.0
4037,1,27,95935,0.0
4037,1,24,95938,0.0
4037,1,23,95939,0.0
4037,1,23,95939,0.0
4037,1,21,95941,0.0
4037,1,21,95941,0.0
4037,1,20,95942,0.0
4037,1,18,95944,0.0
4037,0,19,95944,0.0
4037,0,17,95946,0.0
4037,0,15,95948,0.0
4037,0,13,95950,0.0
4037,0,12,95951,0.0
4037,0,11,95952,0.0
4037,0,9,95954,0.0
4037,0,9,95954,0.0
4037,0,6,95957,0.0
4037,0,6,95957,0.0
4037,0,5,95958,0.0
4037,0,5,95958,0.0
4037,0,5,95958,0.0
4037,0,5,95958,0.0
4037,0,4,95959,0.0
4037,0,2,95961,0.0
4037,0,2,95961,0.0
4037,0,2,95961,0.0
4037,0,2,95961,0.0
4037,0,2,95961,0.0
4037,0,2,95961,0.0
4037,0,2,95961,0.0
4037,0,1,95962,0.0
4037,0,1,95962,0.0
4037,0,1,95962,0.0
4037,0,1,95962,0.0
4037,0,1,95962,0.0
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
4037,0,0,95963,
