last value,rolling mean last value,expanding mean last value,biexponential decay,median beta,regression (day),"median beta;
shifted forecast","regression (day);
shifted forecast","regression (day);
incremental learning","regression (day, previous I)",lstm
339.2683590845783,262.0566774444698,333.2300959989986,110.58316296340013,38.92732835818351,111.3683860433216,36.466271013919894,48.065149487474,116.34543929110866,58.522469892498435,18.850191207022537
347.19883786169447,377.75975647257167,282.99359198661017,85.36312673987467,36.22310090258029,77.10181514508015,107.94228514936991,186.00768252802646,100.22011072986773,53.12001425258703,53.134816440146444
51.48445107278684,392.58179292970635,404.7147939410626,99.07053882585727,71.04259567933926,142.19186093785203,55.49386808603009,128.08349348727458,138.14647481320614,76.06171616293307,47.10142937731092
442.3065693711908,253.0066938587838,349.24712199545945,122.04955765029,54.911849958117145,125.95214377516648,48.89796753338597,122.11470912051928,122.58434354564643,65.31228290013973,33.00699981342711
173.85217829132196,168.22064119972154,213.54481015647954,188.260561160811,106.36494797492888,78.25066673672772,157.5860752749094,104.5211715843034,139.91567473771195,96.55842239548572,149.43339598346756
383.2102602250845,257.7315046810575,386.03130051250463,92.5769074853149,46.51263256544093,117.63917217296103,25.787132029729893,98.09624565444109,116.70631882190116,58.219544011650335,21.235244883313253
89.71902149756438,313.34738995763234,313.5033562674446,81.94266519909428,19.617535360621986,91.11153849956746,16.406485836225748,87.29466824142085,103.32894303197871,39.98994779113226,31.319418323654286
345.40085203751875,400.2072235811587,350.9510688835708,176.94615752203845,63.58824324353829,95.07814371891092,132.94988988240365,211.21492370412022,134.08150486347049,80.93374107803177,75.64763699469962
412.70413769861585,444.8745040082645,351.69723129864815,203.6553823852871,42.23206576402594,120.15641153064678,198.89465532259877,278.87246226134687,129.77821780051926,65.56813926797085,25.594567417890712
138.7525898577966,360.76412719783764,281.68719595406213,111.37771361298908,26.641176250041774,88.82951542565269,42.51232918156567,56.09679877783114,107.58089248722646,50.4044207332007,45.02099909875019
164.88924832245866,317.9453095250987,389.6571895043163,189.51444594882926,69.91770841283409,135.9603666324781,18.996942149305774,58.76297254624781,129.69641108916628,74.2406805810118,34.96092278849071
344.54076884404174,426.6257615688119,383.75817206052585,129.8346522056197,75.10882203607744,149.2358714421335,226.73109490127294,297.38363931008087,150.41614602354278,83.90826721441648,59.37937173861293
114.86442609005289,188.98001866158893,278.82175955194106,180.30216822338213,50.05816305937959,64.25119918623854,115.04522049865318,58.22481668510967,98.9122998548867,56.183150611517235,90.90100719842788
368.9714524826275,311.35925342094174,340.3017594826096,139.83574909346476,27.359484198554053,103.08925451621053,14.967559992804881,90.03199916655889,107.65784766909772,47.473546566040966,23.7562262340773
437.55575993729855,441.96103742201666,361.4608168502668,121.21728824647094,60.31491048350981,134.48939524750935,233.42803088102113,303.32875554970803,137.7271529808896,76.50267905302385,40.772816634321714
158.6185219866577,127.61165734577625,386.9833171347849,177.19989038992642,59.77627946922438,128.91137417210226,122.07491483981899,82.36979408718744,125.20057412959285,70.06905052413744,18.062840400600475
103.77058234611302,295.1372820975288,356.1718484946239,186.77511137124765,20.68913226659001,89.94387564512108,56.05470583792902,29.620973828984877,94.72326985295204,40.82094739277914,33.60581768541912
248.74986622226984,232.61996761347248,434.9556739887947,68.51680190891643,80.77971367452857,155.10104125490028,14.082554536673278,65.27451259552024,154.17542253599868,89.90953262845954,45.461838420072155
244.1823151235712,288.835772361535,395.64975945722716,91.94504226588674,64.1753660786681,132.99420378565998,35.479998103281254,105.73437756944678,130.61117203369295,72.4627609410344,29.52177228394912
514.5444345292697,304.12320604242336,436.224128958492,129.51391298938955,65.52314546672392,137.40620138567186,97.44251209561894,173.02049001268574,134.90786123819842,74.36978623727866,42.310827803786204
101.88905382693581,203.42621272965727,407.6483083585986,158.59268933497628,84.1492678465919,145.88993273201925,59.99992809921956,23.63542210078279,139.54903779111737,82.99191904071175,39.312064154312914
168.07726028466092,215.42556224602893,354.9263472703748,155.87520799136428,79.52260523608663,140.9577788873562,33.281925737006475,45.82355382254865,132.67398186902233,76.2735572865555,42.362837094256314
381.0894977550407,329.09265477461304,347.23520639943484,256.2815142371585,36.45116973250138,109.53421600849151,97.9685206861373,176.77718071809113,118.11663319052556,55.208687146904836,15.495790275625112
117.69254096786935,245.5484159560513,351.8008405052526,201.03855818224594,51.633533816102,114.75728054059128,44.74449317459009,77.46056347223869,118.83387708246926,73.0100164506086,45.59833552827521
149.10949366761804,88.39985655807227,391.08333169466465,161.20928521232807,73.51745248872916,140.18185047812253,97.02898947541806,55.15586276242863,135.3313172304534,77.99886113572096,30.261850626301193
121.74862911450442,341.77979205896486,363.00713669995974,92.7997171590856,36.89502693445415,106.5080858170087,119.89497949652656,194.60662028815884,108.6805375763293,54.04899611201613,21.273556292990367
159.84634244706106,401.8835252799624,253.82370681148993,135.5962049609381,41.90189456589522,73.07187599713431,169.2560720427192,248.50069731955563,115.69059330818524,54.32384440410679,64.14204231039555
259.1435260687935,402.40519374333246,344.306452756569,125.57821019026005,39.69705532296142,113.52076618360611,77.97891526143148,158.0513444162388,121.58362417257179,61.729938752778395,15.156628087537683
276.2526394072684,136.7741321312269,350.5527081952469,160.78618606076319,24.08221604954042,98.54553895174371,88.56982011146043,30.47850325522937,106.51346935876072,44.26741428122426,32.2585854013221
116.31846547749798,289.0387743096125,292.2120111316249,73.62052937890283,39.67552671096735,115.86874132405343,38.95171926040597,37.114179002516074,123.21700062644848,55.93658046081911,18.67874157007107
