S,I,R,Beta
9920,80,0,4.7883064516129034e-05
9882,110,8,0.00011591323066732903
9756,229,15,0.00010921506594978614
9512,452,36,8.67558072895346e-05
9139,787,74,7.758196750372234e-05
8581,1282,137,6.517682919180186e-05
7864,1880,256,5.363790827038376e-05
7071,2516,413,4.6991012575379544e-05
6235,3134,631,4.43694093648624e-05
5368,3751,881,3.9681420275010616e-05
4569,4268,1163,3.758879519552635e-05
3836,4669,1495,3.4393647805919775e-05
3220,4899,1881,3.12524168324376e-05
2727,5048,2225,2.942053317851595e-05
2322,5042,2636,2.878490789341965e-05
1985,4951,3064,2.5234705657000317e-05
1737,4850,3413,2.694537922356949e-05
1510,4687,3803,2.557447187302628e-05
1329,4502,4169,2.4568965084993575e-05
1182,4309,4509,2.6113054210307862e-05
1049,4102,4849,1.9288877196782337e-05
966,3844,5190,2.127485387676312e-05
887,3647,5466,2.411211018368791e-05
809,3446,5745,2.1163535300418176e-05
750,3243,6007,2.8779936272998252e-05
680,3055,6265,1.9736208722441513e-05
639,2832,6529,1.547262230002741e-05
611,2634,6755,2.2368945937985826e-05
575,2473,6952,1.9690922836196135e-05
547,2300,7153,1.7486686272951276e-05
525,2150,7325,1.8604651162790697e-05
504,2011,7485,1.3812917840764683e-05
490,1881,7629,1.627445236467793e-05
475,1746,7779,1.6880689696750467e-05
461,1641,7898,1.1896877862686236e-05
452,1523,8025,1.4526522524825826e-05
442,1414,8144,1.6000307205898354e-05
432,1321,8247,1.75232007177503e-05
422,1233,8345,1.3453104399933888e-05
415,1139,8446,1.0577868982514783e-05
410,1065,8525,1.3740982480247337e-05
404,976,8620,1.2680571335822107e-05
399,899,8702,1.6727023342561073e-05
393,829,8778,1.2277583894265447e-05
389,762,8849,6.747228575862465e-06
387,704,8909,3.670425182053089e-06
386,646,8968,1.60413224466225e-05
382,592,9026,4.421961228243951e-06
381,544,9075,4.824764551489887e-06
380,491,9129,2.1438525029477973e-05
376,443,9181,0.0
376,404,9220,6.5831051190225406e-06
375,370,9255,1.4414414414414414e-05
373,334,9293,0.0
373,313,9314,0.0
373,289,9338,0.0
373,269,9358,0.0
373,243,9384,1.1032778384580589e-05
372,222,9406,0.0
372,203,9425,0.0
372,187,9441,0.0
372,169,9459,0.0
372,159,9469,0.0
372,149,9479,0.0
372,141,9487,0.0
372,127,9501,0.0
372,112,9516,0.0
372,104,9524,0.0
372,96,9532,0.0
372,88,9540,0.0
372,79,9549,0.0
372,76,9552,0.0
372,68,9560,0.0
372,66,9562,0.0
372,62,9566,0.0
372,58,9570,0.0
372,52,9576,0.0
372,48,9580,0.0
372,41,9587,0.0
372,40,9588,0.0
372,35,9593,0.0
372,33,9595,0.0
372,29,9599,0.0
372,29,9599,0.0
372,29,9599,0.0
372,25,9603,0.0
372,24,9604,0.0
372,22,9606,0.0
372,19,9609,0.0
372,17,9611,0.0
372,17,9611,0.0
372,15,9613,0.0
372,13,9615,0.0
372,12,9616,0.0
372,12,9616,0.0
372,11,9617,0.0
372,10,9618,0.0
372,10,9618,0.0
372,9,9619,0.0
372,9,9619,0.0
372,7,9621,0.0
372,6,9622,0.0
372,5,9623,0.0
372,3,9625,0.0
372,3,9625,0.0
372,2,9626,0.0
372,2,9626,0.0
372,2,9626,0.0
372,2,9626,0.0
372,2,9626,0.0
372,2,9626,0.0
372,2,9626,0.0
372,2,9626,0.0
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
372,0,9628,
