S,I,R,Beta
9930,70,0,4.028197381671702e-05
9902,92,6,4.1713136564418254e-05
9864,120,16,3.717220870505542e-05
9820,151,29,3.641709715272251e-05
9766,195,39,3.885799503247793e-05
9692,256,52,4.5946399092034665e-05
9578,355,67,4.705619391857514e-05
9418,483,99,4.3307230284987955e-05
9221,647,132,5.279931049129004e-05
8906,916,178,4.265805791101039e-05
8558,1196,246,4.054568433689927e-05
8143,1498,359,3.8366272308388754e-05
7675,1841,484,3.298023486032057e-05
7209,2140,651,3.2669443569370065e-05
6705,2486,809,2.705681270746306e-05
6254,2732,1014,2.686421246771027e-05
5795,2969,1236,2.4643490355183024e-05
5371,3175,1454,2.386687327833788e-05
4964,3336,1700,2.554362633986284e-05
4541,3504,1955,2.143081955476184e-05
4200,3571,2229,2.0802496299555948e-05
3888,3596,2516,2.052749511345482e-05
3601,3587,2812,1.896756523119875e-05
3356,3520,3124,1.913127099360711e-05
3130,3488,3382,1.9968051118210863e-05
2912,3420,3668,1.8074031231925968e-05
2732,3338,3930,1.8312576156192458e-05
2565,3222,4213,1.6819066771695082e-05
2426,3087,4487,1.8159817611337707e-05
2290,2950,4760,1.5098808378358374e-05
2188,2806,5006,1.628789705006639e-05
2088,2700,5212,1.54320987654321e-05
2001,2585,5414,1.5466154736944873e-05
1921,2457,5622,1.589017726446149e-05
1846,2320,5834,1.2375312885269174e-05
1793,2187,6020,1.5046065186184856e-05
1734,2063,6203,1.3977248394153933e-05
1684,1927,6389,1.355903789997621e-05
1640,1811,6549,1.4141223687223067e-05
1598,1709,6693,1.135122823951238e-05
1567,1625,6808,1.4923175101860487e-05
1529,1537,6934,1.4042116989557346e-05
1496,1438,7066,1.3945393557600054e-05
1466,1351,7183,8.583404945858911e-06
1449,1259,7292,1.1511321384581735e-05
1428,1188,7384,1.1789227475501985e-05
1408,1120,7472,1.2048498376623377e-05
1389,1074,7537,1.3406748689155147e-05
1369,1019,7612,1.3619964287019958e-05
1350,954,7696,8.541035794704557e-06
1339,881,7780,1.5258646778433428e-05
1321,829,7850,6.392057776897095e-06
1314,766,7920,8.941664580278265e-06
1305,715,7980,2.3577954612437372e-05
1283,679,8038,1.0331088426081636e-05
1274,626,8100,1.7554330653372187e-05
1260,594,8146,9.352787130564908e-06
1253,554,8193,5.762343660413563e-06
1249,501,8250,1.438276369598673e-05
1240,461,8299,5.24805821845917e-06
1237,427,8336,3.786451697182312e-06
1235,388,8377,1.0434492257606744e-05
1230,361,8409,1.1260500416638515e-05
1225,328,8447,4.977600796416127e-06
1223,301,8476,5.432966698630621e-06
1221,277,8502,5.913363314085336e-06
1219,260,8521,3.155171325802991e-06
1218,242,8540,0.0
1218,218,8564,7.532275801810759e-06
1216,203,8581,1.2153227897329531e-05
1213,178,8609,4.6314736422835014e-06
1212,164,8624,1.006198180793689e-05
1210,149,8641,5.5466193355150036e-06
1209,141,8650,0.0
1209,131,8660,6.313968392274228e-06
1208,124,8668,2.0027771843623157e-05
1205,115,8680,0.0
1205,107,8688,0.0
1205,97,8698,8.555417718270095e-06
1204,87,8709,0.0
1204,80,8716,1.0382059800664452e-05
1203,75,8722,0.0
1203,73,8724,1.1387057470479054e-05
1202,70,8728,1.188495364868077e-05
1201,66,8733,0.0
1201,61,8738,0.0
1201,58,8741,0.0
1201,54,8745,0.0
1201,51,8748,0.0
1201,45,8754,0.0
1201,42,8757,0.0
1201,38,8761,0.0
1201,31,8768,0.0
1201,30,8769,0.0
1201,27,8772,3.0838498781879296e-05
1200,26,8774,3.205128205128205e-05
1199,25,8776,0.0
1199,25,8776,0.0
1199,22,8779,0.0
1199,20,8781,0.0
1199,17,8784,0.0
1199,15,8786,0.0
1199,13,8788,0.0
1199,11,8790,0.0
1199,11,8790,0.0
1199,11,8790,0.0
