S,E,I,R,Beta
6670,140,238,2952,1.0708931248661384e-05
6653,144,231,2972,7.80821463220381e-06
6641,145,221,2993,3.4067812662460882e-06
6636,135,221,3008,5.454957055850578e-06
6628,137,203,3032,6.689042753388372e-06
6619,127,203,3051,8.186613101409066e-06
6608,123,204,3065,3.7091107629492474e-06
6603,116,201,3080,9.04157088252513e-06
6591,119,186,3104,8.157099205009111e-06
6581,115,188,3116,4.0412923082891756e-06
6576,99,202,3123,5.2696875526968755e-06
6569,102,189,3140,6.44360516487172e-06
6561,107,173,3159,1.3215241931434038e-05
6546,105,179,3170,5.12061611253066e-06
6540,104,174,3182,8.787655102112552e-06
6530,99,179,3192,7.69974419738722e-06
6521,99,176,3204,8.713108697773626e-06
6511,97,180,3212,6.826055052133995e-06
6503,99,169,3229,5.4594738705031e-06
6497,96,162,3245,1.0451167395398065e-05
6486,101,153,3260,6.046205099369381e-06
6480,99,148,3273,6.2562562562562565e-06
6474,99,146,3281,6.347836022699862e-06
6468,85,154,3293,1.1043378390317166e-05
6457,83,159,3301,4.870147263512954e-06
6452,81,154,3313,9.057898084556485e-06
6443,82,150,3325,8.277717419421595e-06
6435,77,152,3336,1.22684333210649e-05
6423,82,139,3356,5.600377241410982e-06
6418,76,138,3368,4.516283460015085e-06
6414,74,139,3373,5.608235581787143e-06
6409,72,139,3380,5.612610863096073e-06
6404,69,135,3392,8.096791357253568e-06
6397,72,130,3401,1.563232765358762e-05
6384,76,128,3412,8.566337719298245e-06
6377,75,124,3424,5.058501570664737e-06
6373,68,125,3434,7.531774674407657e-06
6367,62,128,3443,9.816239987435214e-06
6359,65,122,3454,2.5779906625178204e-06
6357,61,115,3467,1.2310975234421487e-05
6348,67,105,3480,9.001710324961744e-06
6342,68,99,3491,3.185433649009808e-06
6340,67,92,3501,1.200109724317652e-05
6333,67,92,3508,5.149012419417955e-06
6330,60,97,3513,4.885913910196902e-06
6327,57,98,3518,9.676701406024714e-06
6321,57,97,3525,4.892870598251288e-06
6318,58,88,3536,8.993064548620104e-06
6313,61,86,3540,1.2893291436275828e-05
6306,67,85,3542,1.1193821010802037e-05
6300,66,84,3550,1.3227513227513228e-05
6293,67,84,3556,1.13504801253093e-05
6287,69,84,3560,7.574208305876828e-06
6283,66,82,3569,9.704855921708986e-06
6278,61,88,3573,5.430218077557994e-06
6275,60,81,3584,3.934877772859181e-06
6273,56,85,3586,9.377256402321809e-06
6268,58,81,3593,1.969636090036005e-06
6267,53,80,3600,1.99457475666188e-06
6266,48,80,3606,7.979572294924992e-06
6262,47,80,3611,9.980836793356755e-06
6257,47,81,3615,7.89239508540558e-06
6253,46,78,3623,8.201191633144296e-06
6249,46,76,3629,8.422400215613445e-06
6245,48,73,3634,8.774142601752636e-06
6241,48,75,3636,6.409229290177856e-06
6238,47,70,3645,6.870333898227454e-06
6235,46,71,3648,6.776827766922304e-06
6232,45,69,3654,9.302152518092687e-06
6228,44,67,3661,4.792990730355927e-06
6226,42,65,3667,9.884108824038152e-06
6222,45,59,3674,5.448136464922174e-06
6220,42,61,3677,7.906805123609721e-06
6217,40,59,3684,1.3631295272939426e-05
6212,42,56,3690,1.1498482200349554e-05
6208,45,55,3692,5.857544517338332e-06
6206,41,58,3695,8.334537210930468e-06
6203,38,59,3700,2.732412146118472e-06
6202,36,56,3706,8.637766619062975e-06
6199,36,57,3708,8.49033375501991e-06
6196,35,52,3717,6.207478770422605e-06
6194,35,54,3717,5.979502266231359e-06
6192,31,53,3724,6.094290868314563e-06
6190,28,56,3726,5.769674590353104e-06
6188,28,51,3733,3.1686882897955562e-06
6187,29,45,3739,7.183521002819532e-06
6185,28,42,3745,3.849559225468684e-06
6184,27,42,3747,0.0
6184,25,42,3749,3.850181728577589e-06
6183,25,42,3750,7.701608866092127e-06
6181,26,35,3758,0.0
6181,22,36,3761,4.494058854194755e-06
6180,22,30,3768,1.0787486515641855e-05
6178,20,33,3769,4.904990337169036e-06
6177,18,34,3771,9.52299326724376e-06
6175,18,35,3772,4.626951995373048e-06
6174,14,35,3777,1.3883104262113009e-05
6171,15,35,3779,4.6299511540153256e-06
6170,14,34,3782,
