S,I,R,Beta
9900,100,0,1.919191919191919e-05
9881,112,7,1.987942226784449e-05
9859,126,15,2.7370044613172718e-05
9825,148,27,2.4757582009490407e-05
9789,171,40,3.5246627823688004e-05
9730,218,52,3.7244123443054204e-05
9651,273,76,3.491828173208341e-05
9559,337,104,3.6009378580566175e-05
9443,419,138,3.816391629515821e-05
9292,528,180,2.6293390208586075e-05
9163,621,216,2.9700066236419907e-05
8994,738,268,2.9528869893991356e-05
8798,892,310,2.8033277028921166e-05
8578,1040,382,2.9032229137148697e-05
8319,1219,462,2.041246793541495e-05
8112,1316,572,2.2668956793343045e-05
7870,1455,675,2.0871813009514577e-05
7631,1581,788,2.2628164306333622e-05
7358,1713,929,2.0548617950733143e-05
7099,1826,1075,1.8514555603607683e-05
6859,1911,1230,1.9988481446836475e-05
6597,2027,1376,1.8471268465379345e-05
6350,2133,1517,1.890059101262131e-05
6094,2228,1678,1.8265604276272567e-05
5846,2311,1843,1.4285602200308421e-05
5653,2339,2008,1.6033437885970038e-05
5441,2346,2213,1.4728248922448406e-05
5253,2333,2414,1.4932377138971229e-05
5070,2333,2597,1.5724985226122752e-05
4884,2345,2771,1.3446282102998521e-05
4730,2327,2943,1.4264026216735064e-05
4573,2307,3120,1.241716636282524e-05
4442,2277,3281,1.1468758410010882e-05
4326,2211,3463,1.3382421729038161e-05
4198,2157,3645,1.2368739512799768e-05
4086,2100,3814,1.5733165512901195e-05
3951,2070,3979,1.5283845464427156e-05
3826,2031,4143,1.2225558727337353e-05
3731,1948,4321,1.403414535081786e-05
3629,1899,4472,1.3640048692071693e-05
3535,1841,4624,1.229268577513451e-05
3455,1763,4782,1.0342849028059492e-05
3392,1688,4920,1.0129772869534114e-05
3334,1601,5065,9.179925414042739e-06
3285,1513,5202,1.2071936670620225e-05
3225,1444,5331,1.030728596276493e-05
3177,1387,5436,9.531376269460177e-06
3135,1309,5556,1.2915126903305907e-05
3082,1245,5673,9.382109880143546e-06
3046,1195,5759,9.340736324749928e-06
3012,1137,5851,1.3140051929485226e-05
2967,1080,5953,1.1546767529241409e-05
2930,1038,6032,1.2165690123432435e-05
2893,1004,6103,8.262835281755797e-06
2869,956,6175,9.479488574299502e-06
2843,898,6259,1.2925898565381936e-05
2810,853,6337,1.0430008385726743e-05
2785,815,6400,1.145487988897578e-05
2759,782,6459,1.0660298914781571e-05
2736,744,6520,7.860152172546061e-06
2720,704,6576,1.201119652406417e-05
2697,669,6634,1.2193141579554983e-05
2675,648,6677,1.26918195454021e-05
2653,624,6723,6.644630655184745e-06
2642,578,6780,8.513001317550666e-06
2629,536,6835,7.80615749703366e-06
2618,497,6885,9.991192379640717e-06
2605,472,6923,7.3196915969940465e-06
2596,435,6969,7.969820944689443e-06
2587,409,7004,7.560843525507923e-06
2579,383,7038,7.086763242376415e-06
2572,360,7068,6.480041472265422e-06
2566,343,7091,6.817112770951828e-06
2560,321,7119,1.0952102803738317e-05
2551,302,7147,1.2980236292221464e-05
2541,290,7169,5.428218594362795e-06
2537,272,7191,4.347422847735862e-06
2534,256,7210,4.624605367008682e-06
2531,243,7226,4.877787045573165e-06
2528,223,7249,7.095419197366181e-06
2524,202,7274,5.8841066357031895e-06
2521,194,7285,4.089360710240168e-06
2519,183,7298,8.677222507847463e-06
2515,170,7315,7.016723190270144e-06
2512,156,7332,1.0207414666013392e-05
2508,148,7344,5.388163282900125e-06
2506,135,7359,8.867606632969762e-06
2503,131,7366,6.099550768085931e-06
2501,123,7376,6.501464454868459e-06
2499,114,7387,1.0530528000673954e-05
2496,105,7399,0.0
2496,98,7406,0.0
2496,90,7414,4.451566951566951e-06
2495,82,7423,4.887824429346498e-06
2494,76,7430,5.275819862406618e-06
2493,71,7436,1.1299243515646627e-05
2491,70,7439,1.1469862935137926e-05
2489,69,7442,0.0
2489,66,7445,6.08739057915434e-06
2488,64,7448,1.2560289389067524e-05
2486,62,7452,0.0
2486,56,7458,7.183082404321342e-06
2485,55,7460,1.4633254069873788e-05
2483,52,7465,7.744973512190588e-06
2482,52,7466,1.549618793776731e-05
2480,51,7469,3.162555344718533e-05
2476,45,7479,8.975049362771496e-06
2475,43,7482,0.0
2475,39,7486,2.072002072002072e-05
2473,38,7489,2.1282482388745824e-05
2471,38,7491,0.0
2471,33,7496,1.2263468354119913e-05
2470,32,7498,0.0
2470,29,7501,1.3960631020522127e-05
2469,26,7505,0.0
2469,22,7509,0.0
2469,18,7513,0.0
2469,15,7516,2.7001485081679493e-05
2468,14,7518,5.788376939106274e-05
2466,13,7521,0.0
2466,13,7521,0.0
2466,12,7522,0.0
2466,10,7524,0.0
2466,10,7524,0.0
2466,10,7524,0.0
2466,9,7525,0.0
2466,8,7526,0.0
2466,8,7526,0.0
2466,8,7526,0.0
2466,5,7529,0.0
2466,4,7530,0.0
2466,3,7531,0.0
2466,2,7532,0.0
2466,2,7532,0.0
2466,2,7532,0.0
2466,1,7533,0.0
2466,1,7533,0.0
2466,1,7533,0.0
2466,1,7533,0.0
2466,1,7533,0.0
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
2466,0,7534,
