S,E,I,R,Beta
9910,0,90,0,3.9242067496356094e-05
9875,35,84,6,5.0632911392405066e-05
9833,73,82,12,3.9687165914677553e-05
9801,96,83,20,5.777625346811181e-05
9754,138,80,28,4.1008816895632564e-05
9722,159,82,37,5.393851511031054e-05
9679,188,90,43,6.084191433917645e-05
9626,224,96,54,4.220340743818824e-05
9587,238,112,63,6.332980673233098e-05
9519,279,131,71,4.330431142536141e-05
9465,303,154,78,3.9791164989263245e-05
9407,322,180,91,5.4923638425286137e-05
9314,383,200,103,6.173502254670389e-05
9199,461,228,112,5.5307308384015804e-05
9083,527,258,132,4.950042971493727e-05
8967,596,291,146,5.5951624072534766e-05
8821,668,345,166,3.976019019171969e-05
8700,720,387,193,4.276931301790965e-05
8556,796,424,224,4.3553238596769784e-05
8398,882,463,257,3.600569301443262e-05
8258,947,499,296,3.907063339563603e-05
8097,1024,526,353,3.592374023895627e-05
7944,1084,583,389,3.692226373637763e-05
7773,1140,656,431,3.530043019457597e-05
7593,1215,706,486,3.413760027220539e-05
7410,1281,762,547,3.8785637625256355e-05
7191,1365,834,610,3.151421291002242e-05
7002,1407,914,677,3.234461926164266e-05
6795,1460,998,747,3.067208736826117e-05
6587,1515,1086,812,3.11736298490721e-05
6364,1577,1158,901,2.795300421520448e-05
6158,1632,1207,1003,2.677355999282092e-05
5959,1669,1276,1096,2.6829100209845647e-05
5755,1704,1358,1183,2.4695180857012343e-05
5562,1711,1440,1287,2.4346757760997244e-05
5367,1751,1488,1394,2.391656699343459e-05
5176,1776,1537,1511,2.3757113307100786e-05
4987,1776,1610,1627,2.1546704661934696e-05
4814,1764,1680,1742,2.4482165113656597e-05
4616,1783,1704,1897,2.199432876868374e-05
4443,1772,1747,2038,2.1128790153880722e-05
4279,1754,1785,2182,2.1078775048229155e-05
4118,1739,1839,2304,2.218406914457437e-05
3950,1751,1845,2454,1.9210318685465337e-05
3810,1723,1846,2621,2.018978396931153e-05
3668,1684,1885,2763,2.1694546569513667e-05
3518,1662,1904,2916,1.70193148322433e-05
3404,1613,1938,3045,1.9706070318534985e-05
3274,1577,1945,3204,1.5232579503857611e-05
3177,1512,1957,3354,1.7209796588246287e-05
3070,1470,1947,3513,1.8737588438907932e-05
2958,1444,1923,3675,2.0041369606102702e-05
2844,1401,1931,3824,1.7844903750416077e-05
2746,1327,1961,3966,1.5042045302183548e-05
2665,1277,1959,4099,1.7813583719533745e-05
2572,1249,1933,4246,1.4884316677112507e-05
2498,1184,1911,4407,1.550167397130682e-05
2424,1147,1880,4549,1.4263394424548837e-05
2359,1106,1824,4711,1.5338792084067736e-05
2293,1065,1793,4849,1.6053125142137047e-05
2227,1020,1764,4989,1.2982292153502622e-05
2176,986,1708,5130,1.3991252238600358e-05
2124,939,1656,5281,1.1372217218446645e-05
2084,884,1623,5409,1.2417468184672586e-05
2042,842,1563,5553,1.3159354138898862e-05
2000,797,1544,5659,1.2629533678756476e-05
1961,752,1481,5806,1.5150257847058836e-05
1917,718,1459,5906,1.3228917842342048e-05
1880,687,1410,6023,1.3958050399879282e-05
1843,663,1365,6129,1.3515151876519213e-05
1809,637,1326,6228,1.3340370378708102e-05
1777,611,1283,6329,1.6228846028165382e-05
1740,595,1231,6434,1.4472861051196579e-05
1709,578,1184,6529,9.884079515442886e-06
1689,528,1143,6640,1.0877858740126401e-05
1668,506,1092,6734,1.1529238147943183e-05
1647,473,1068,6812,7.959085751189884e-06
1633,442,1033,6892,1.422737358533964e-05
1609,420,979,6992,1.460121850342589e-05
1586,403,939,7072,1.3429542576350307e-05
1566,375,907,7152,1.4784963269926963e-05
1545,361,869,7225,1.2661951951616447e-05
1528,339,847,7286,6.954016949257311e-06
1519,302,828,7351,1.5901638822897087e-05
1499,285,807,7409,1.0746528251382788e-05
1486,270,769,7475,1.312641437114849e-05
1471,265,732,7532,8.358315409390289e-06
1462,242,705,7591,8.731845038856711e-06
1453,225,678,7644,1.0150903328887238e-05
1443,217,649,7691,1.4949167491540372e-05
1429,219,608,7744,1.150970498324187e-05
1419,215,563,7803,8.762080718791033e-06
1412,199,550,7839,1.2876641771825908e-05
1402,186,526,7886,6.780102298183475e-06
1397,178,487,7938,4.409566407335167e-06
1394,162,469,7975,9.177314901206206e-06
1388,148,449,8015,1.6045904122513686e-05
1378,146,426,8050,1.022097753429138e-05
1372,134,418,8076,1.7436913247869208e-05
1362,134,398,8106,1.1068558652292298e-05
1356,126,378,8140,9.754803265127748e-06
1351,114,356,8179,1.0395961376924293e-05
1346,111,341,8202,1.3072294144047967e-05
1340,106,320,8234,1.3992537313432836e-05
1334,101,304,8261,9.86348930797759e-06
1330,96,293,8281,2.5661423182529705e-06
1329,89,275,8307,5.472330528763937e-06
1327,83,263,8327,2.005724911963003e-05
1320,86,243,8351,1.2470382840753212e-05
1316,84,228,8372,1.9996800511918092e-05
1310,80,227,8383,2.0176884016545047e-05
1304,80,216,8400,1.0650988411724608e-05
1301,78,208,8413,7.390764500679951e-06
1299,72,199,8430,7.736913977121945e-06
1297,69,192,8442,8.031354407607299e-06
1295,63,185,8457,8.348116456224564e-06
1293,59,180,8468,4.296640027498496e-06
1292,57,166,8485,3.730090641202581e-05
1284,63,160,8493,1.9470404984423677e-05
1280,62,151,8507,5.173841059602649e-06
1279,60,141,8520,1.663533678239316e-05
1276,57,138,8529,1.1357957384943892e-05
1274,51,137,8538,1.145882272055369e-05
1272,49,129,8550,0.0
1272,44,127,8557,1.23805279057099e-05
1270,42,119,8569,6.616819956328988e-06
1269,40,110,8581,0.0
