S,I,R,Beta
9910,90,0,1.121201928467317e-05
9900,90,10,8.978675645342311e-06
9892,90,18,7.862694882508873e-06
9885,91,24,6.670112891660691e-06
9879,91,30,1.3348327955069527e-05
9867,92,41,2.3133766044919162e-05
9846,110,44,1.9389507506509335e-05
9825,122,53,1.5016894005756475e-05
9807,129,64,1.818033788553185e-05
9784,139,77,1.544144896674647e-05
9763,152,85,1.954209502040464e-05
9734,174,92,1.653169716764794e-05
9706,191,103,2.1576765276080107e-05
9666,220,114,1.6458815341496905e-05
9631,242,127,2.445615097940449e-05
9574,277,149,1.7722486970201336e-05
9527,298,175,1.6202625811628273e-05
9481,327,192,1.4192234460874107e-05
9437,347,216,1.5268858643655072e-05
9387,366,247,1.5717586407431276e-05
9333,404,263,1.5382444705415575e-05
9275,432,293,1.672157332534691e-05
9208,471,321,1.3373398189703036e-05
9150,488,362,1.679656006449879e-05
9075,515,410,1.7545267324614192e-05
8993,556,451,1.5199671687091558e-05
8917,583,500,1.3465135206307993e-05
8847,607,546,1.3407499149461773e-05
8775,631,594,1.5531806340047227e-05
8689,675,636,1.5345072313653278e-05
8599,715,686,1.1873229689254808e-05
8526,739,735,1.3014398050760596e-05
8444,747,809,1.0939066545671078e-05
8375,763,862,1.2675808376205474e-05
8294,783,923,1.4012499149241123e-05
8203,807,990,1.0574304048402518e-05
8133,797,1070,9.102127568323423e-06
8074,808,1118,1.1956236495584164e-05
7996,811,1193,1.233662453914997e-05
7916,831,1253,1.0337180588720677e-05
7848,841,1311,1.242392617884878e-05
7766,859,1375,1.1692410456372769e-05
7688,861,1451,7.704663043360031e-06
7637,859,1504,8.383912460978604e-06
7582,841,1577,8.31181931296697e-06
7529,833,1638,8.610164745935564e-06
7475,817,1708,9.988415075956985e-06
7414,801,1785,1.0103367553439237e-05
7354,798,1848,9.883288585892254e-06
7296,801,1903,8.7267560286484e-06
7245,795,1960,9.72260201136329e-06
7189,783,2028,1.0303807772162203e-05
7131,768,2101,7.12119618566821e-06
7092,733,2175,1.0003008597201158e-05
7040,726,2234,7.2392311545204105e-06
7003,703,2294,8.531194413936396e-06
6961,693,2346,8.706516392193738e-06
6919,675,2406,8.350596585890704e-06
6880,661,2459,8.575801287689548e-06
6841,645,2514,7.478846761829326e-06
6808,618,2574,8.318787339471173e-06
6773,595,2632,9.925718404887424e-06
6733,582,2685,7.91097650542055e-06
6702,555,2743,1.0216124808783717e-05
6664,545,2791,6.057468859103274e-06
6642,521,2837,7.2244271173784465e-06
6617,506,2877,7.466694064456087e-06
6592,482,2926,6.9240220763002056e-06
6570,469,2961,9.411520349978743e-06
6541,472,2987,1.1984380141946884e-05
6504,472,3024,7.492130006045823e-06
6481,459,3060,7.395507363740298e-06
6459,450,3091,7.913161652130533e-06
6436,445,3119,8.72898932270026e-06
6411,433,3156,9.005883723954533e-06
6386,428,3186,5.488056525518731e-06
6371,413,3216,8.361130926569128e-06
6349,398,3253,7.5190885914847505e-06
6330,385,3285,8.61697544161999e-06
6309,375,3316,6.340148993501348e-06
6294,356,3350,3.5703702116872497e-06
6286,337,3377,6.136759092552712e-06
6273,324,3403,5.412181935907957e-06
6262,317,3421,4.533881697928621e-06
6253,302,3445,7.943207128128168e-06
6238,296,3466,1.1373187872065718e-05
6217,292,3491,6.059390843929923e-06
6206,283,3511,6.83255347327162e-06
6194,267,3539,1.0279369064420202e-05
6177,258,3565,6.274840524928059e-06
6167,238,3595,6.813167945952502e-06
6157,231,3612,8.43723435894948e-06
6145,225,3630,8.679142934635205e-06
6133,221,3646,5.9023471421204035e-06
6125,215,3660,5.315614617940199e-06
6118,202,3680,7.282519687078221e-06
6109,196,3695,8.351679188617664e-06
6099,190,3711,9.492496612904618e-06
6088,178,3734,6.459566802994286e-06
6081,170,3749,2.901999477640094e-06
6078,155,3767,2.1229394219235956e-06
6076,149,3775,4.418307699784828e-06
6072,141,3787,7.008101365178146e-06
6066,137,3797,7.219851704245995e-06
6060,133,3807,6.203627881585151e-06
6055,124,3821,7.991262885911404e-06
6049,123,3828,2.68807449192032e-06
6047,113,3840,8.780774786297894e-06
6041,108,3851,7.663680896589355e-06
6036,107,3857,1.5483423446857794e-06
6035,98,3867,5.072451515817595e-06
6032,92,3876,9.009918117864144e-06
6027,89,3884,5.592809883613627e-06
6024,87,3889,9.54038253117797e-06
6019,86,3895,1.1591201505310703e-05
6013,85,3902,3.913090265209693e-06
6011,78,3911,2.1328419265534555e-06
6010,70,3920,2.3769907297361542e-06
6009,64,3927,5.200532534531536e-06
6007,63,3930,5.284839644753079e-06
6005,59,3936,8.46752000451601e-06
6002,57,3941,2.923002274095769e-06
6001,53,3946,0.0
6001,48,3951,6.9432872299061264e-06
5999,44,3957,1.1365530618739487e-05
5996,45,3959,3.7061744866948336e-06
5995,43,3962,7.75840332059662e-06
5993,43,3964,7.760992475717795e-06
5991,40,3969,1.2518778167250876e-05
5988,41,3971,4.073187024455415e-06
5987,36,3977,0.0
5987,32,3981,5.219642558877568e-06
5986,31,3983,1.07778364571096e-05
5984,32,3984,0.0
5984,29,3987,0.0
5984,25,3991,0.0
5984,20,3996,1.6711229946524065e-05
5982,20,3998,0.0
5982,19,3999,0.0
5982,18,4000,9.287120621122627e-06
5981,18,4001,0.0
5981,16,4003,1.0449757565624477e-05
5980,17,4003,1.9673421207948064e-05
5978,19,4003,0.0
5978,17,4005,9.840001574400252e-06
5977,16,4007,1.0456750878367074e-05
5976,16,4008,2.0917001338688085e-05
5974,17,4009,9.846590125839422e-06
5973,17,4010,9.848238642518786e-06
5972,15,4013,0.0
5972,15,4013,0.0
5972,15,4013,0.0
5972,13,4015,1.2880622391673966e-05
5971,13,4016,0.0
5971,12,4017,0.0
5971,11,4018,0.0
