S,E,I,R,Beta
9940,0,60,0,3.3534540576794096e-06
9938,2,55,5,1.0977149234343841e-05
9932,8,51,9,5.9226268034398614e-06
9929,9,49,13,8.221638942615016e-06
9925,10,48,17,1.2594458438287154e-05
9919,15,44,22,4.58257338991284e-06
9917,14,42,27,2.1607917140840403e-05
9908,22,39,31,1.0351645394035383e-05
9904,23,42,31,1.9232248634510348e-05
9896,29,39,36,2.3319445308127603e-05
9887,34,39,40,1.2967040376770325e-05
9882,33,41,44,9.872594172207661e-06
9878,34,40,48,7.592630087062158e-06
9875,34,42,49,4.822182037371911e-06
9873,31,46,50,1.3211261279114317e-05
9867,32,48,53,1.0557075774467078e-05
9862,35,48,55,8.449942540390725e-06
9858,37,48,57,1.4793399607763575e-05
9851,39,50,60,1.2181504415795351e-05
9845,43,51,61,1.5933239725549946e-05
9837,51,48,64,1.4824980515739894e-05
9830,55,50,65,2.4415055951169888e-05
9818,61,53,68,9.608843210583564e-06
9813,64,52,71,2.155696133073082e-05
9802,71,53,74,1.539924466704908e-05
9794,74,54,78,2.2689628570780297e-05
9782,79,58,81,1.938817955569343e-05
9771,88,52,89,1.771332750761673e-05
9762,89,54,95,2.466100601728547e-05
9749,101,53,97,1.5482961968039295e-05
9741,102,55,102,1.8665248107810472e-05
9731,105,58,106,1.771799333094731e-05
9721,104,64,111,1.9288139080341528e-05
9709,106,70,115,1.7656666127157423e-05
9697,112,70,121,1.6205306501274327e-05
9686,115,69,130,2.5436383604604884e-05
9669,120,73,138,1.98346077068785e-05
9655,126,74,145,2.519350007698014e-05
9637,133,81,149,2.1778203093273482e-05
9620,132,95,153,2.516686727213043e-05
9597,142,97,164,1.933593938827533e-05
9579,150,101,170,2.687396832386026e-05
9553,160,108,179,2.326203519545925e-05
9529,170,112,189,1.967677615699444e-05
9508,173,125,194,1.766933108960875e-05
9487,174,135,204,1.5615911051770648e-05
9467,187,123,223,1.631684215859799e-05
9448,181,138,233,1.840739240879137e-05
9424,185,146,245,2.1803846780007906e-05
9394,198,151,257,2.396908270320495e-05
9360,210,162,268,2.4401181808589216e-05
9323,224,175,278,1.8387704754753987e-05
9293,233,179,295,2.4046452937785212e-05
9253,254,185,308,1.752536065731786e-05
9223,253,199,325,2.124904038788761e-05
9184,258,212,346,1.8489908618762737e-05
9148,274,220,358,1.5403267480224193e-05
9117,279,228,376,1.8761942698140546e-05
9078,293,235,394,1.500002343753662e-05
9046,298,241,415,1.7430505035122467e-05
9008,302,254,436,1.7482272975203144e-05
8968,309,276,447,1.2120389403870767e-05
8938,314,272,476,1.4807892277519645e-05
8902,321,270,507,1.6226066551836043e-05
8863,331,280,526,1.0476942666946051e-05
8837,319,297,547,1.2954409242742387e-05
8803,319,304,574,1.4947057522256168e-05
8763,328,307,602,1.5240270295486537e-05
8722,334,323,621,1.3488541484009334e-05
8684,336,335,645,1.4781000570615371e-05
8641,346,344,669,1.177458465993654e-05
8606,352,334,708,1.3568030102936121e-05
8567,353,353,727,1.6864237268575545e-05
8516,364,373,747,1.1962972710570356e-05
8478,372,376,774,1.2548122048054288e-05
8438,388,361,813,1.1490034200907516e-05
8403,388,369,840,1.3222790802226718e-05
8362,388,383,867,1.3114156232065611e-05
8320,397,387,896,9.627807592923872e-06
8289,391,399,921,1.1792057051786179e-05
8250,384,407,959,1.1614920705829796e-05
8211,383,413,993,7.077259791167757e-06
8187,372,412,1029,9.486979713279755e-06
8155,370,414,1061,1.0662970170340949e-05
8119,366,411,1104,1.0788427254084543e-05
8083,363,417,1137,1.127392036636681e-05
8045,363,422,1170,1.2665722137620435e-05
8002,381,418,1199,7.773176323144094e-06
7976,369,425,1230,1.4455130096170866e-05
7927,383,427,1263,1.0340256479721724e-05
7892,376,437,1295,1.0148445664062091e-05
7857,375,444,1324,9.746286951327044e-06
7823,363,455,1359,1.0113879473460197e-05
7787,366,458,1389,1.2056820711711322e-05
7744,370,468,1418,1.0209172140990324e-05
7707,371,468,1454,9.149191710499612e-06
7674,362,477,1487,9.015166788781199e-06
7641,352,491,1516,1.0928288835207002e-05
7600,360,476,1564,9.122069880583813e-06
7567,361,475,1597,1.1406870552885451e-05
7526,374,462,1638,1.0066114238317268e-05
7491,374,451,1684,1.213577505127365e-05
7450,379,442,1729,1.1236296273801208e-05
7413,374,454,1759,1.0696769753813843e-05
7377,368,464,1791,9.348721328640276e-06
7345,360,468,1827,8.145549330028567e-06
7317,349,467,1867,7.023624840102791e-06
7293,348,453,1906,3.934947448776822e-06
7280,334,446,1940,8.007687379884689e-06
7254,334,437,1975,1.198738926649165e-05
7216,342,432,2010,8.019729818510307e-06
7191,329,428,2052,8.772648053056976e-06
7164,324,421,2091,6.631202993059783e-06
7144,312,428,2116,6.541009513244236e-06
7124,292,430,2154,8.81396654610031e-06
7097,299,420,2184,1.2413024953535028e-05
7060,308,418,2214,8.471474849885465e-06
7035,305,414,2246,8.58372045912604e-06
7010,308,396,2286,8.285421980143807e-06
6987,307,381,2325,6.761713823985828e-06
6969,290,394,2347,6.555499955204083e-06
6951,276,394,2379,6.20733824224247e-06
6934,275,380,2411,8.728917766004282e-06
6911,272,377,2440,8.82765989866614e-06
6888,273,373,2466,8.562896812422739e-06
6866,264,367,2503,7.937068570716503e-06
6846,261,360,2533,9.332294608368228e-06
6823,250,368,2559,4.380962091136756e-06
6812,240,344,2604,5.97440904559669e-06
6798,234,337,2631,7.85708486437362e-06
6780,227,328,2665,6.745089574789553e-06
6765,213,333,2689,8.878057658545463e-06
6745,211,332,2712,6.251842060607144e-06
6731,205,324,2740,7.33660912930957e-06
6715,198,319,2768,9.336697656722306e-06
6695,199,314,2792,9.038021529518654e-06
6676,195,316,2813,7.584318662732933e-06
6660,192,303,2845,6.9376307000069375e-06
6646,192,306,2856,9.34268782244566e-06
6627,192,298,2883,8.101897565683603e-06
6611,190,291,2908,7.797064249368827e-06
6596,176,297,2931,5.615075354311255e-06
6585,174,284,2957,5.34719325825874e-06
6575,162,287,2976,7.949020283250089e-06
6560,153,293,2994,1.248647298759677e-05
6536,163,291,3010,5.78345888696808e-06
6525,157,289,3029,4.772700155112755e-06
6516,151,281,3052,1.0923016762461524e-05
6496,161,267,3076,3.459345768528256e-06
6490,148,257,3105,9.59272871163658e-06
6474,155,247,3124,7.504324366916435e-06
6462,145,258,3135,7.197714006031684e-06
6450,138,255,3157,9.727922176622587e-06
6434,137,257,3172,7.2571661491904025e-06
6422,133,256,3189,6.0826066645904705e-06
6412,127,241,3220,1.2942537721026188e-05
6392,137,232,3239,8.092011566181865e-06
6380,132,229,3259,6.160079944148608e-06
6371,126,230,3273,8.189281595272054e-06
6359,125,226,3290,8.349952057358605e-06
6347,124,217,3312,7.260587570309715e-06
6337,120,217,3326,8.726454027222173e-06
6325,119,207,3349,7.63781482117966e-06
6315,116,207,3362,6.119927631855754e-06
6307,106,215,3372,6.637143668349305e-06
6298,103,214,3385,8.90358309862499e-06
6286,104,203,3407,4.701980630974454e-06
6280,101,199,3420,6.401433921198349e-06
6272,102,187,3439,4.2630688639092e-06
6267,103,178,3452,4.482190464408718e-06
6262,102,165,3471,9.678387193558065e-06
6252,98,163,3487,5.887686492469649e-06
6246,98,158,3498,1.3172987674136764e-05
6233,97,156,3514,7.199068646204857e-06
6226,96,153,3525,7.348479599570849e-06
6219,92,152,3537,1.1636665227951693e-05
6208,92,150,3550,8.59106529209622e-06
6200,92,145,3563,1.0011123470522804e-05
6191,87,149,3573,8.6724721640745e-06
6183,87,148,3582,3.2783875578635402e-06
6180,85,138,3597,5.862764410674921e-06
6175,80,135,3610,5.99790073474284e-06
6170,75,141,3614,4.597859696311367e-06
6166,68,143,3623,7.938866193812675e-06
6159,68,136,3637,3.581559267642761e-06
6156,67,133,3644,7.3282621759076054e-06
6150,68,127,3655,8.962294347352922e-06
6143,68,127,3662,0.0
6143,61,122,3674,8.005913701587573e-06
6137,63,112,3688,7.274377895202402e-06
6132,61,112,3695,1.4560618768055167e-05
6122,61,114,3703,1.2895682525490465e-05
6113,66,104,3717,1.2583523134807283e-05
6105,67,107,3721,7.654213261689897e-06
6100,67,102,3731,9.643201542912246e-06
6094,67,103,3736,6.3726536685774e-06
6090,62,99,3749,3.3172446965550413e-06
6088,56,98,3758,8.380487543243315e-06
6083,52,93,3772,1.2373634260118539e-05
6076,51,96,3777,0.0
6076,46,95,3783,8.662208516683413e-06
6071,47,89,3793,7.403034133539631e-06
6067,45,91,3797,1.0867655502565672e-05
6061,46,91,3802,1.0878413782225035e-05
6055,48,89,3808,1.1133894357899034e-05
6049,49,86,3816,1.922285828524415e-06
6048,48,82,3822,1.0081946057555814e-05
6043,47,84,3826,1.970008589237449e-05
6033,53,79,3835,1.0490823676530139e-05
6028,52,80,3840,1.451559389515594e-05
6021,54,81,3844,6.151309921447773e-06
6018,54,81,3847,1.230875275408343e-05
6012,56,74,3858,1.1238783693873514e-05
