S,I,R,Beta
9920,80,0,1.2600806451612903e-05
9910,87,3,4.639456255726828e-06
9906,82,12,1.2310843883726542e-05
9896,86,18,8.22507567069617e-06
9889,86,25,1.8813480799667e-05
9873,94,33,1.616271326700156e-05
9858,99,43,1.946837004658064e-05
9839,111,50,2.0144140481573147e-05
9817,124,59,1.3965241335799978e-05
9800,124,76,1.728110599078341e-05
9779,134,87,1.6788946157849672e-05
9757,148,95,2.008260181879122e-05
9728,164,108,1.1282493581514763e-05
9710,163,127,9.477295558939301e-06
9695,164,141,1.8868161863671243e-05
9665,180,155,1.781916422371673e-05
9634,194,172,1.6051398718884365e-05
9604,209,187,1.9927900854707668e-05
9564,231,205,1.4936966003465376e-05
9531,251,218,2.1736576932224935e-05
9479,289,232,2.0442201318448977e-05
9423,313,264,1.830881477887529e-05
9369,340,291,1.2870982526856404e-05
9328,354,318,1.5141824383909449e-05
9278,378,344,1.7678504421336927e-05
9216,413,371,1.8653736211998925e-05
9145,462,393,1.3727843142824007e-05
9087,488,425,1.57854762793903e-05
9017,514,469,1.1219620181334953e-05
8965,528,507,1.0985482262671332e-05
8913,540,547,1.4128343534828445e-05
8845,570,585,1.2297561314252278e-05
8783,587,630,1.435326607599744e-05
8709,616,675,1.640339222151141e-05
8621,641,738,1.5924543721106227e-05
8533,672,795,1.046357837638747e-05
8473,682,845,1.3325059106155034e-05
8396,709,895,1.2095221648296488e-05
8324,718,958,1.1377645469890065e-05
8256,729,1015,1.3790527535862018e-05
8173,762,1065,1.3808992094512596e-05
8087,790,1123,1.2365524916532706e-05
8008,806,1186,1.0225506503422137e-05
7942,797,1261,1.1216830174347457e-05
7871,811,1318,1.0496005173433953e-05
7804,822,1374,1.060034095684913e-05
7736,822,1442,1.2737867888495535e-05
7655,842,1503,1.1015420036583606e-05
7584,846,1570,1.1221833198671336e-05
7512,868,1620,1.2269155833002066e-05
7432,895,1673,9.922365010734195e-06
7366,891,1743,1.097041553191431e-05
7294,897,1809,7.489242238470311e-06
7245,886,1869,8.568219383804819e-06
7190,870,1940,8.792543922753505e-06
7135,867,1998,9.537596315578048e-06
7076,852,2072,6.966615976241849e-06
7034,831,2135,7.185316497794621e-06
6992,798,2210,7.348175931820397e-06
6951,770,2279,1.0649686955254499e-05
6894,763,2343,8.554934657409087e-06
6849,750,2401,6.424295517593809e-06
