S,I,R,Beta
9930,70,0,3.0211480362537764e-05
9909,84,7,3.844508839967514e-05
9877,111,12,4.834235876050192e-05
9824,155,21,4.268677104129452e-05
9759,207,34,5.6927508510662525e-05
9644,307,49,5.6405427350485084e-05
9477,459,64,5.7242129379626355e-05
9228,677,95,4.689984050852873e-05
8935,909,156,4.518638769305022e-05
8568,1200,232,4.123871770930595e-05
8144,1502,354,3.4253608155726874e-05
7725,1795,480,3.34622422947598e-05
7261,2109,630,2.9973652571670823e-05
6802,2395,803,2.8482351070758384e-05
6338,2665,997,2.599052618678722e-05
5899,2880,1221,2.601665065642011e-05
5457,3076,1467,2.2459550766091106e-05
5080,3213,1707,2.2117333372544117e-05
4719,3339,1942,2.1958855578066557e-05
4373,3407,2220,2.0605671150536778e-05
4066,3431,2503,2.1433006514630428e-05
3767,3480,2753,1.8612939349279436e-05
3523,3447,3030,1.76221886741864e-05
3309,3409,3282,1.8084495550283274e-05
3105,3335,3560,1.7768893331112222e-05
2921,3242,3837,1.6156484315221668e-05
2768,3138,4094,1.542715252526369e-05
2634,3027,4339,1.7182738296360346e-05
2497,2901,4602,1.6289799396642397e-05
2379,2793,4828,1.5049934931606323e-05
2279,2685,5036,1.3890897621633194e-05
2194,2555,5251,1.6055172709060647e-05
2104,2425,5471,1.3131590294382815e-05
2037,2272,5691,1.5341188021600392e-05
1966,2189,5845,1.3477170370487413e-05
1908,2060,6032,1.5010889255256356e-05
1849,1960,6191,1.5728303219611264e-05
1792,1858,6350,1.351539673996617e-05
1747,1760,6493,1.17083832023729e-05
1711,1662,6627,1.2307986617350322e-05
1676,1550,6774,1.5782585264454538e-05
1635,1483,6882,9.073268706914862e-06
1613,1387,7000,9.83358446222138e-06
1591,1301,7108,9.662344538915334e-06
1571,1208,7221,1.4754174377479229e-05
1543,1152,7305,1.0126377187297473e-05
1525,1058,7417,4.958319129814993e-06
1517,991,7492,1.130810119021091e-05
1500,940,7560,6.3829787234042555e-06
1491,865,7644,3.87682550020741e-06
1486,784,7730,1.0300216991237949e-05
1474,726,7800,1.1213653744799668e-05
1462,684,7854,9.999920000639995e-06
1452,626,7922,5.5008405284327444e-06
1447,577,7976,5.988604882629333e-06
1442,524,8034,3.970312648886724e-06
1439,474,8087,1.0262635503440915e-05
1432,434,8134,4.82712457843112e-06
1429,398,8173,8.791332449511377e-06
1424,370,8206,9.489826905557243e-06
1419,339,8242,6.236474645612328e-06
1416,320,8264,8.82768361581921e-06
1412,300,8288,2.1246458923512747e-05
1403,283,8314,1.0074323320295479e-05
1399,254,8347,8.442475784165292e-06
1396,236,8368,1.5176533436938468e-05
1391,220,8389,6.535520554212143e-06
1389,202,8409,1.0692213929816308e-05
1386,187,8427,1.1574877885038313e-05
1383,170,8447,2.126664114669729e-05
1378,158,8464,9.185941834616303e-06
1376,146,8478,1.4933099713284485e-05
1373,138,8489,1.5833306944488427e-05
1370,130,8500,1.1229646266142617e-05
1368,121,8511,1.812382195157315e-05
1365,114,8521,0.0
1365,106,8529,6.9113276660446475e-06
1364,101,8535,7.258790395168549e-06
1363,91,8546,8.062370498173873e-06
1362,80,8558,9.177679882525697e-06
1361,75,8564,0.0
1361,67,8572,0.0
1361,64,8575,0.0
1361,58,8581,0.0
1361,54,8585,2.721310583176858e-05
1359,52,8589,0.0
1359,46,8595,0.0
1359,40,8601,0.0
1359,37,8604,0.0
1359,36,8605,0.0
1359,30,8611,2.452783909737552e-05
1358,27,8615,0.0
1358,25,8617,0.0
1358,23,8619,0.0
1358,22,8620,0.0
1358,20,8622,0.0
1358,19,8623,0.0
1358,17,8625,0.0
1358,17,8625,0.0
1358,15,8627,0.0
1358,13,8629,0.0
1358,11,8631,0.0
1358,10,8632,0.0
1358,9,8633,0.0
1358,8,8634,0.0
1358,7,8635,0.0
1358,7,8635,0.0
1358,6,8636,0.00012272950417280314
1357,6,8637,0.0
1357,5,8638,0.0
1357,4,8639,0.0
1357,4,8639,0.0
1357,4,8639,0.0
1357,4,8639,0.0
1357,3,8640,0.0
1357,3,8640,0.0
1357,3,8640,0.0
1357,3,8640,0.0
1357,3,8640,0.0
1357,3,8640,0.0
1357,2,8641,0.0
1357,1,8642,0.0
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
1357,0,8643,
