S,I,R,Beta
9930,70,0,2.4456912674435333e-05
9913,80,7,2.269746797135075e-05
9895,90,15,4.1547358374038514e-05
9858,120,22,3.465882193818895e-05
9817,146,37,4.255966376470227e-05
9756,197,47,3.694199378542009e-05
9685,256,59,3.549303045947341e-05
9597,327,76,3.5689032537244854e-05
9485,416,99,3.624143384290986e-05
9342,529,129,3.298314541034473e-05
9179,640,181,3.2853524349057635e-05
8986,785,229,2.8636194164737506e-05
8784,932,284,2.6017847510495087e-05
8571,1066,363,3.00984405067658e-05
8296,1262,442,2.26370717677318e-05
8059,1381,560,2.2373014945263835e-05
7810,1513,677,2.1664566501333302e-05
7554,1637,809,2.1834241233430843e-05
7284,1759,957,1.8029189491932758e-05
7053,1853,1094,1.8669836866179125e-05
6809,1949,1242,2.1475816610391236e-05
6524,2063,1413,1.7683318805273372e-05
6286,2144,1570,1.7436877021193746e-05
6051,2207,1742,1.8345797617996612e-05
5806,2263,1931,1.704851016570695e-05
5582,2309,2109,1.5051783566524772e-05
5388,2317,2295,1.6901639507093724e-05
5177,2357,2466,1.4587546545951715e-05
4999,2331,2670,1.3816577129239662e-05
4838,2312,2850,1.3142065911304823e-05
4691,2287,3022,1.3702055970195511e-05
4544,2256,3200,1.4242146139246829e-05
4398,2246,3356,1.4476749530366147e-05
4255,2214,3531,1.3905740310830448e-05
4124,2187,3689,1.2307094607629867e-05
4013,2151,3836,1.2859183942285203e-05
3902,2083,4015,1.1811218344396917e-05
3806,2001,4193,1.3261892437911366e-05
3705,1938,4357,1.2116502258265335e-05
3618,1861,4521,1.0990483132727313e-05
3544,1769,4687,1.3079535057620138e-05
3462,1700,4838,1.30832228905427e-05
3385,1645,4970,1.0595645907880737e-05
3326,1586,5088,1.0805613459320467e-05
3269,1506,5225,1.0765543921997338e-05
3216,1441,5343,1.1868140214955756e-05
3161,1376,5463,1.28749365449556e-05
3105,1327,5568,1.2377634342838628e-05
3054,1264,5682,1.2434408495187885e-05
3006,1211,5783,6.867630002862428e-06
2981,1137,5882,1.0916396043307998e-05
2944,1092,5964,1.2442267877050486e-05
2904,1039,6057,1.0605662893702093e-05
2872,992,6136,1.088091922005571e-05
2841,942,6217,9.341526973472306e-06
2816,895,6289,8.332275266632809e-06
2795,853,6352,9.64710471512729e-06
2772,813,6415,1.0649457143922088e-05
2748,775,6477,1.4556040756914119e-05
2717,747,6536,8.376038813578446e-06
2700,709,6591,9.925299064932352e-06
2681,664,6655,1.0111314336046162e-05
2663,631,6706,8.331582709109337e-06
2649,597,6754,9.484948335486417e-06
2634,556,6810,9.55955053724674e-06
2620,511,6869,8.21619037660029e-06
2609,477,6914,4.821240456957171e-06
2603,448,6949,1.0290324351023544e-05
2591,431,6978,7.163830536006756e-06
2583,410,7007,1.0386863450516038e-05
2572,384,7044,1.0125064800414723e-05
2562,358,7080,7.631956528375614e-06
2555,342,7103,6.866481271672331e-06
2549,320,7131,4.903883876029816e-06
2545,295,7160,9.323698844527322e-06
2538,287,7175,4.118582219256843e-06
2535,260,7205,1.5172204521316947e-06
2534,239,7227,6.604736256369443e-06
2530,219,7251,9.024130525023914e-06
2525,205,7270,1.931900507123883e-06
2524,190,7286,6.255734423221286e-06
2521,177,7302,4.482124168285834e-06
2519,168,7313,7.088980888107525e-06
2516,156,7328,5.095593330887448e-06
2514,153,7333,7.799460277348807e-06
2511,137,7352,2.90691759179319e-06
2510,127,7363,3.1370580669448192e-06
2509,114,7377,6.992371322886731e-06
2507,108,7385,3.6933622892936815e-06
2506,101,7393,1.1852741539117999e-05
2503,93,7404,8.591840329239322e-06
2501,86,7413,9.298606138939772e-06
2499,77,7424,1.0393767896769097e-05
2497,72,7431,1.1124460463667511e-05
2495,63,7442,1.2723860419251201e-05
2493,62,7445,0.0
2493,57,7450,0.0
2493,54,7453,7.428206385286209e-06
2492,50,7458,1.6051364365971107e-05
2490,48,7462,0.0
2490,46,7464,1.746114894360049e-05
2488,45,7467,0.0
2488,41,7471,1.960630538781272e-05
2486,38,7476,0.0
2486,35,7479,0.0
2486,34,7480,0.0
2486,32,7482,0.0
2486,30,7484,0.0
2486,28,7486,0.0
2486,25,7489,0.0
2486,22,7492,0.0
2486,21,7493,0.0
2486,19,7495,2.1171190244315535e-05
2485,19,7496,0.0
2485,18,7497,0.0
2485,17,7498,2.3671440407148776e-05
2484,16,7500,0.0
2484,15,7501,0.0
2484,14,7502,0.0
2484,13,7503,3.09674222717701e-05
2483,14,7503,0.0
2483,14,7503,2.8767044473850757e-05
2482,14,7504,2.877863474156786e-05
2481,14,7505,2.879023435250763e-05
2480,15,7505,2.6881720430107527e-05
2479,14,7507,0.0
2479,13,7508,3.102988177615043e-05
2478,13,7509,0.0
2478,12,7510,0.0
2478,12,7510,3.362927091740651e-05
2477,11,7512,3.6701288215216355e-05
2476,12,7512,0.0
2476,11,7513,0.0
2476,9,7515,0.0
2476,9,7515,0.0
2476,8,7516,0.0
2476,7,7517,0.0
2476,7,7517,0.0
2476,7,7517,0.0
2476,7,7517,0.0
2476,5,7519,0.0
2476,5,7519,0.0
2476,4,7520,0.0
2476,4,7520,0.0
2476,4,7520,0.0
2476,4,7520,0.00010096930533117933
2475,5,7520,0.0
2475,5,7520,0.0
2475,4,7521,0.0
2475,3,7522,0.0
2475,3,7522,0.0
2475,2,7523,0.0
2475,1,7524,0.0
2475,1,7524,0.0
