S,I,R,Beta
9940,60,0,1.3413816230717639e-05
9932,65,3,2.013693113169553e-05
9919,74,7,2.588534698626442e-05
9900,86,14,4.1108762038994596e-05
9865,113,22,4.3059174968266284e-05
9817,151,32,3.372983883208409e-05
9767,186,47,4.128450972167635e-05
9692,245,63,3.200619909540374e-05
9616,294,90,2.3345444667051513e-05
9550,339,111,3.15062780892369e-05
9448,412,140,3.802109451427538e-05
9300,526,174,2.9845864507952082e-05
9154,626,220,3.525056872080921e-05
8952,778,270,2.9434332435083655e-05
8747,904,349,2.934002150927094e-05
8515,1056,429,2.3799355860424563e-05
8301,1173,526,2.4750764423764717e-05
8060,1335,605,2.3977472328324087e-05
7802,1486,712,2.4927176418511595e-05
7513,1659,828,2.374826772031954e-05
7217,1830,953,2.0746400991587107e-05
6943,1966,1091,1.882792434661608e-05
6686,2057,1257,1.9777356410212037e-05
6414,2158,1428,1.733927145583124e-05
6174,2236,1590,1.7529799209913114e-05
5932,2293,1775,1.764436546303667e-05
5692,2362,1946,1.5694145354860248e-05
5481,2382,2137,1.5625308772186215e-05
5277,2388,2335,1.5871156680376173e-05
5077,2414,2509,1.6400293801880206e-05
4876,2407,2717,1.4569891685209908e-05
4705,2395,2900,1.4553877077421746e-05
4541,2388,3071,1.2910474710777701e-05
4401,2336,3263,1.2450470472152967e-05
4273,2278,3449,1.2122589376872195e-05
4155,2215,3630,1.3256078645489538e-05
4033,2130,3837,1.2572334577761635e-05
3925,2070,4005,8.738730422474537e-06
3854,1959,4187,1.1788101328929617e-05
3765,1902,4333,1.159051142084309e-05
3682,1821,4497,1.2975542444789067e-05
3595,1778,4627,1.157713422122652e-05
3521,1711,4768,1.3943225509595843e-05
3437,1646,4917,1.1312813068844478e-05
3373,1574,5053,1.0736278941335088e-05
3316,1514,5170,1.0158504540652343e-05
3265,1434,5301,1.2815008938468735e-05
3205,1390,5405,9.427715238105927e-06
3163,1314,5523,8.18058496957063e-06
3129,1261,5610,1.0644582705746478e-05
3087,1182,5731,1.2332706831826276e-05
3042,1142,5816,8.923523674971877e-06
3011,1082,5907,1.0743110136523444e-05
2976,1019,6005,8.903415745987527e-06
2949,952,6099,8.192493681094005e-06
2926,889,6185,6.5354100047131835e-06
2909,842,6249,1.0206672877767335e-05
2884,804,6312,9.056658455296334e-06
2863,760,6377,9.651267533136018e-06
2842,720,6438,7.819219641879741e-06
2826,685,6489,8.781853591003249e-06
2809,647,6544,7.152985298414293e-06
2796,600,6604,1.072961373390558e-05
2778,571,6651,7.565069050167756e-06
2766,526,6708,6.873249039807109e-06
2756,489,6755,1.0388191890680604e-05
2742,459,6799,7.1509274752935455e-06
2733,432,6835,1.1857814638641568e-05
2719,408,6873,1.1718552812813247e-05
2706,382,6912,1.0641467671221214e-05
2695,360,6945,1.2368583797155226e-05
