S,I,R,Beta
9950,50,0,1.0050251256281408e-05
9945,53,2,5.691681607330886e-06
9942,52,6,1.354007087259954e-05
9935,56,9,1.7973973686102524e-06
9934,49,17,1.2326251217217308e-05
9928,51,21,1.777503910508603e-05
9919,52,29,2.13265915453636e-05
9908,60,32,2.6914278024491992e-05
9892,72,36,2.5272947836635664e-05
9874,82,44,2.0996260195536937e-05
9857,93,50,2.399910112457606e-05
9835,105,60,1.2588665359382188e-05
9822,110,68,2.128801762277633e-05
9799,127,74,2.249948371720399e-05
9771,146,83,2.803936165589254e-05
9731,176,93,1.92683177474052e-05
9698,198,104,2.1351898027501245e-05
9657,225,118,2.0710365537951745e-05
9612,254,134,1.8841277799076614e-05
9566,279,155,1.7235474803609258e-05
9520,308,172,1.70522754556368e-05
9470,334,196,1.1697829262277978e-05
9433,343,224,1.699881842758457e-05
9378,368,254,1.0431444546440792e-05
9342,379,279,1.6381321001022985e-05
9284,413,303,1.5648260487203374e-05
9224,443,333,1.4683454096585803e-05
9164,471,365,1.5986121266545636e-05
9095,508,397,1.12547778696437e-05
9043,513,444,1.2071413620736447e-05
8987,528,485,1.1801558480094143e-05
8931,532,537,9.471108069131512e-06
8886,535,579,1.0307088121396463e-05
8837,543,620,1.2503930923284008e-05
8777,567,656,1.2458407506069956e-05
8715,588,697,1.131835407714434e-05
8657,606,737,1.1436975972057181e-05
8597,613,790,1.176479294628556e-05
8535,622,843,1.1113685467631863e-05
8476,630,894,1.0674397177464662e-05
8419,630,951,1.1123743158426612e-05
8360,642,998,1.0806540565517448e-05
8302,649,1049,1.0764666208116633e-05
8244,657,1099,9.969890929393232e-06
8190,664,1146,1.232034364564485e-05
8123,671,1206,1.2108907514182558e-05
8057,671,1272,9.803473648170348e-06
8004,661,1335,1.3041890552454484e-05
7935,677,1388,9.307529139546853e-06
7885,669,1446,1.080555405478416e-05
7828,678,1494,7.725086407917723e-06
7787,651,1562,8.6796360155184e-06
7743,643,1614,1.2452927432172218e-05
7681,659,1660,8.099919020565694e-06
7640,640,1720,9.203206806282722e-06
7595,632,1773,1.0624911459071175e-05
7544,635,1821,7.723716401833652e-06
7507,623,1870,6.8421960798065195e-06
7475,605,1920,9.72940103374886e-06
7431,597,1972,9.692746692237485e-06
7388,585,2027,7.404013901036099e-06
7356,573,2071,9.015446781817647e-06
7318,557,2125,7.850591468467854e-06
7286,541,2173,8.879358940727997e-06
7251,524,2225,7.895725885663572e-06
7221,522,2257,9.285391002509177e-06
7186,512,2302,7.610283885332591e-06
7158,503,2339,6.110306587410436e-06
7136,488,2376,9.476310372711902e-06
7103,484,2413,6.108465402233721e-06
7082,468,2450,8.146329806877675e-06
7055,468,2477,5.754541544761247e-06
7036,438,2526,8.436715547698594e-06
7010,433,2557,3.294534696392155e-06
7000,405,2595,5.99647266313933e-06
6983,397,2620,7.935789363950089e-06
6961,394,2645,9.115324902994713e-06
6936,399,2665,7.588174588720937e-06
6915,385,2700,8.26360913128809e-06
6893,377,2730,9.235525526415335e-06
6869,366,2765,8.353042536079178e-06
6848,371,2781,5.510491976723682e-06
6834,344,2822,8.507394627410145e-06
6814,341,2845,8.60742976122129e-06
6794,332,2874,4.876733900571376e-06
6783,314,2903,9.859793733115103e-06
6762,315,2923,1.1267446937367079e-05
6738,304,2958,7.3229601162300226e-06
6723,290,2987,6.66779506275421e-06
6710,290,3000,7.194614317282491e-06
6696,287,3017,4.683226555767862e-06
6687,274,3039,1.091561249139031e-05
6667,257,3076,1.1088939716438302e-05
6648,256,3096,8.226158243080625e-06
6634,238,3128,8.233622059013536e-06
6621,233,3146,8.426822446202842e-06
6608,230,3162,7.895567954521529e-06
6596,219,3185,6.922695642301547e-06
6586,224,3190,8.811982126588868e-06
6573,233,3194,8.48836017287525e-06
6560,227,3213,6.715375523799291e-06
6550,221,3229,7.599046665054748e-06
6539,209,3252,3.658578525168459e-06
6534,196,3270,6.24675949351274e-06
6526,184,3290,4.996735466162107e-06
6520,178,3302,5.169917970634866e-06
6514,167,3319,1.4708072341653813e-05
6498,172,3330,7.157837474142312e-06
6490,167,3343,8.303885295664449e-06
6481,166,3353,3.7180042496788574e-06
6477,162,3361,9.530399114054098e-06
6467,164,3369,8.485858787766787e-06
6458,166,3376,6.529680194920282e-06
6451,160,3389,5.8130522399627965e-06
6445,152,3403,3.062349434486138e-06
6442,144,3414,6.46797060954155e-06
6436,139,3425,5.589065105901606e-06
6431,137,3432,7.945092600054253e-06
6424,135,3441,6.9185000691850005e-06
6418,127,3455,8.588050831446006e-06
6411,128,3461,7.311651848385588e-06
6405,121,3474,1.9354713840555868e-05
6390,133,3477,5.883252732770894e-06
6385,124,3491,8.841286280849774e-06
6378,119,3503,2.6351086060011965e-06
6376,113,3511,4.16384450539079e-06
6373,107,3520,8.798802189728572e-06
6367,104,3529,7.550953836488625e-06
6362,93,3545,1.1830999246196335e-05
6355,90,3555,3.4968091616400035e-06
6353,84,3563,7.4955214259479965e-06
6349,86,3565,7.325819484482083e-06
6345,84,3571,5.6287290329843525e-06
6342,87,3571,7.2496076149878385e-06
6338,81,3581,3.895764913962032e-06
6336,75,3589,4.2087542087542085e-06
6334,70,3596,4.510803374080924e-06
6332,66,3602,1.1964241275675262e-05
6327,65,3608,7.2947441368494e-06
6324,62,3614,1.0201791434575912e-05
6320,63,3617,5.023106288929073e-06
6318,63,3619,2.512348191360537e-06
6317,60,3623,2.63838319877579e-06
6316,57,3627,5.555370376543004e-06
6314,55,3631,5.759207533043454e-06
6312,54,3634,2.9338590808806273e-06
6311,50,3639,0.0
6311,42,3647,7.54540447140669e-06
6309,42,3649,3.7738982104174687e-06
6308,41,3651,3.866557371978286e-06
6307,38,3655,1.6689893435030418e-05
6303,39,3658,4.068066895292026e-06
6302,35,3663,9.067416239742485e-06
6300,32,3668,4.96031746031746e-06
6299,31,3670,0.0
6299,30,3671,1.0583690532888818e-05
6297,30,3673,0.0
6297,29,3674,5.47606139760039e-06
6296,26,3678,1.832665428599355e-05
6293,25,3682,1.2712537740346417e-05
6291,24,3685,0.0
6291,21,3688,1.5138784809743322e-05
6289,22,3689,0.0
6289,21,3690,0.0
6289,19,3692,8.36883112535672e-06
6288,18,3694,8.835171048911506e-06
6287,19,3694,0.0
6287,16,3697,0.0
6287,16,3697,0.0
6287,15,3698,0.0
6287,13,3700,0.0
6287,12,3701,2.6509729070568897e-05
6285,14,3701,0.0
6285,13,3702,0.0
6285,11,3704,0.0
6285,10,3705,0.0
6285,10,3705,0.0
6285,8,3707,1.988862370723946e-05
6284,9,3707,0.0
6284,8,3708,0.0
6284,7,3709,0.0
6284,7,3709,0.0
6284,7,3709,0.0
6284,6,3710,0.0
6284,5,3711,0.0
6284,5,3711,0.0
6284,5,3711,0.0
6284,4,3712,0.0
6284,4,3712,0.0
6284,4,3712,0.0
6284,3,3713,0.0
6284,3,3713,0.0
6284,3,3713,0.0
6284,2,3714,7.956715467854869e-05
6283,3,3714,0.0
6283,3,3714,0.0
6283,3,3714,0.0
6283,3,3714,0.0
6283,2,3715,7.95798185580137e-05
6282,3,3715,0.0
6282,3,3715,0.0
6282,3,3715,0.0
6282,3,3715,0.0
6282,3,3715,0.0
6282,2,3716,0.0
6282,1,3717,0.0
6282,1,3717,0.0
6282,1,3717,0.0
6282,1,3717,0.0
6282,1,3717,0.0001591849729385546
6281,2,3717,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
6281,1,3718,0.0
