S,I,R,Beta
9900,100,0,2.3232323232323232e-05
9877,111,12,3.374843913469002e-05
9840,141,19,3.9641353860347114e-05
9785,184,31,3.7213125680389237e-05
9718,237,45,4.515523414291458e-05
9614,324,62,5.2328522961627464e-05
9451,454,95,4.684491350471269e-05
9250,614,136,4.2609384628928606e-05
9008,799,193,4.043131178626925e-05
8717,1026,257,3.8463078016763196e-05
8373,1289,338,3.5949902513685745e-05
7985,1589,426,3.5150866969337176e-05
7539,1889,572,3.089633570160768e-05
7099,2177,724,2.834121764871035e-05
6661,2446,893,2.8294696444553504e-05
6200,2711,1089,2.4214371556740164e-05
5793,2913,1294,2.719998549334107e-05
5334,3130,1536,2.2640939850569796e-05
4956,3240,1804,2.4972847477555574e-05
4555,3378,2067,2.2226858233588682e-05
4213,3439,2348,2.1741370591186516e-05
3898,3482,2620,2.129252869481367e-05
3609,3491,2900,2.1430239925822797e-05
3339,3493,3168,1.706231956489885e-05
3140,3440,3420,1.8145459931861947e-05
2944,3362,3694,1.7276692186328012e-05
2773,3259,3968,1.958569721817814e-05
2596,3176,4228,1.5039607534164167e-05
2472,3039,4489,1.5308007765286444e-05
2357,2891,4752,1.717031203153115e-05
2240,2792,4968,1.6629144494474006e-05
2136,2661,5203,1.6362016476022783e-05
2043,2556,5401,1.4745568095033464e-05
1966,2424,5610,1.5737840315058973e-05
1891,2301,5808,1.3789328025361332e-05
1831,2207,5962,1.707490960815062e-05
1762,2093,6145,1.4100295401188655e-05
1710,1989,6301,1.1172560192168036e-05
1672,1871,6457,1.2466787200253683e-05
1633,1765,6602,1.1796360128996667e-05
1599,1655,6746,9.824871662613907e-06
1573,1536,6891,1.3244331426149609e-05
1541,1456,7003,1.2925102152876326e-05
1512,1363,7125,1.3101352059532543e-05
1485,1294,7221,1.353046175302744e-05
1459,1227,7314,1.396497472618874e-05
1434,1145,7421,9.135590433209699e-06
1419,1057,7524,1.2000936073013695e-05
1401,989,7610,9.382291574196966e-06
1388,908,7704,8.728052914217523e-06
1377,834,7789,7.836867760693406e-06
1368,769,7863,1.140693085118518e-05
1356,722,7922,1.634267317105059e-05
1340,677,7983,8.818536563857228e-06
1332,630,8038,1.191667858334525e-05
1322,585,8093,6.4652107012167525e-06
1317,542,8141,1.5410176880812087e-05
1306,510,8184,9.008197459688316e-06
1300,475,8225,8.097165991902834e-06
1295,441,8264,1.7510221591854245e-06
1294,405,8301,9.540710210468067e-06
1289,383,8328,1.0127874543992449e-05
1284,360,8356,8.653513326410523e-06
1280,334,8386,2.339071856287425e-06
1279,301,8420,1.2987721408180707e-05
1274,281,8445,0.0
1274,245,8481,9.611379873770543e-06
1271,228,8501,3.4507985147763192e-06
1270,213,8517,7.3934420169309826e-06
1268,199,8533,7.926065659527923e-06
1266,185,8549,8.539345032236027e-06
1264,171,8565,4.626545266118884e-06
1263,160,8577,0.0
1263,149,8588,2.1255453352250687e-05
1259,139,8602,5.714253061411077e-06
1258,133,8609,0.0
1258,119,8623,1.3359874951570453e-05
1256,108,8636,0.0
1256,102,8642,2.341701011614837e-05
1253,98,8649,0.0
1253,94,8653,0.0
1253,86,8661,0.0
1253,81,8666,0.0
1253,76,8671,0.0
1253,71,8676,0.0
1253,65,8682,0.0
1253,58,8689,1.3760079258056526e-05
1252,55,8693,0.0
1252,53,8695,1.5070227259027067e-05
1251,52,8697,0.0
1251,45,8704,1.776356692423839e-05
1250,42,8708,0.0
1250,39,8711,0.0
1250,37,8713,0.0
1250,35,8715,0.0
1250,33,8717,0.0
1250,28,8722,0.0
1250,26,8724,0.0
1250,26,8724,0.0
1250,24,8726,0.0
1250,24,8726,0.0
1250,23,8727,0.0
1250,19,8731,0.0
1250,16,8734,0.0
1250,14,8736,0.0
1250,13,8737,0.0
1250,12,8738,0.0
1250,12,8738,0.0
1250,12,8738,0.0
1250,9,8741,0.0
1250,9,8741,8.888888888888889e-05
1249,10,8741,0.0
1249,9,8742,0.0
1249,8,8743,0.0
1249,8,8743,0.0
1249,7,8744,0.0
1249,6,8745,0.0
1249,5,8746,0.0
1249,4,8747,0.0
1249,3,8748,0.0
1249,3,8748,0.0
1249,3,8748,0.0
1249,2,8749,0.0
1249,2,8749,0.0
1249,2,8749,0.0
1249,2,8749,0.0
1249,2,8749,0.0
1249,2,8749,0.0
1249,1,8750,0.0
1249,1,8750,0.0
1249,1,8750,0.0
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
1249,0,8751,
