S,I,R,Beta
9930,70,0,4.8913825348870666e-05
9896,99,5,7.145015229089603e-05
9826,160,14,8.459698758396091e-05
9693,279,28,0.00010427655918415795
9411,540,49,8.421980582218601e-05
8983,926,91,7.489548893530352e-05
8360,1473,167,5.822508502324131e-05
7643,2064,293,4.925467596128392e-05
6866,2675,459,4.698759429506358e-05
6003,3354,643,3.973366129497366e-05
5203,3860,937,3.769248311307048e-05
4446,4331,1223,3.3964099635088464e-05
3792,4680,1528,3.178080709726279e-05
3228,4877,1895,3.13155928276748e-05
2735,4962,2303,2.976920758643202e-05
2331,4971,2698,2.865180897769914e-05
1999,4883,3118,2.9402372699763765e-05
1712,4762,3526,2.686278050139932e-05
1493,4610,3897,2.3391880837981442e-05
1332,4374,4294,2.3171319467615765e-05
1197,4135,4668,2.606273846648059e-05
1068,3943,4989,2.3509162874329988e-05
969,3736,5295,2.0440949962764323e-05
895,3504,5601,2.07265120787735e-05
830,3285,5885,1.9438484531734243e-05
777,3064,6159,2.4782335487296324e-05
718,2860,6422,1.9966106317081246e-05
677,2683,6640,1.596572544127338e-05
648,2479,6873,1.8675391809720166e-05
618,2315,7067,1.537741058385232e-05
596,2153,7251,1.4806871635333248e-05
577,2000,7423,1.733102253032929e-05
557,1866,7577,1.924257380970249e-05
537,1727,7736,2.26439752469002e-05
516,1609,7875,1.0840186740283579e-05
507,1482,8011,1.4639846467937405e-05
496,1369,8135,8.836211974834468e-06
490,1256,8254,1.1373976342129209e-05
483,1169,8348,1.593972658055672e-05
474,1091,8435,5.8012043300189116e-06
471,1007,8522,2.3192219221289614e-05
460,943,8597,1.613721241182166e-05
453,885,8662,1.7460495628640203e-05
446,831,8723,5.396275490656349e-06
444,760,8796,2.9634898055950688e-05
434,732,8834,0.0
434,679,8887,1.0180327535071228e-05
431,635,8934,0.0
431,576,8993,8.05620005155968e-06
429,538,9033,4.332718087364927e-06
428,509,9063,4.590272294952536e-06
427,474,9099,4.940760284192531e-06
426,431,9143,0.0
426,395,9179,1.1885659951268795e-05
424,359,9217,0.0
424,329,9247,7.168664334461204e-06
423,296,9281,1.5973420228739377e-05
421,277,9302,8.575079105104745e-06
420,259,9321,9.192866335723479e-06
419,240,9341,0.0
419,221,9360,2.159850538342747e-05
417,201,9382,0.0
417,191,9392,0.0
417,177,9406,0.0
417,157,9426,0.0
417,140,9443,0.0
417,129,9454,0.0
417,117,9466,0.0
417,106,9477,0.0
417,96,9487,0.0
417,91,9492,0.0
417,84,9499,2.8548589699668835e-05
416,82,9502,0.0
416,75,9509,0.0
416,72,9512,0.0
416,66,9518,0.0
416,64,9520,0.0
416,58,9526,0.0
416,55,9529,0.0
416,49,9535,0.0
416,44,9540,0.0
416,41,9543,0.0
416,39,9545,0.0
416,34,9550,0.0
416,30,9554,0.0
416,28,9556,0.0
416,27,9557,0.0
416,25,9559,0.0
416,25,9559,0.0
416,23,9561,0.00010451505016722408
415,22,9563,0.0
415,21,9564,0.0
415,21,9564,0.0
415,20,9565,0.0
415,20,9565,0.0
415,18,9567,0.0
415,18,9567,0.0
415,15,9570,0.0
415,15,9570,0.0
415,13,9572,0.0
415,13,9572,0.0
415,11,9574,0.0
415,11,9574,0.0
415,11,9574,0.0
415,11,9574,0.0
415,11,9574,0.0
415,11,9574,0.0
415,8,9577,0.0
415,8,9577,0.0
415,8,9577,0.0
415,8,9577,0.0
415,7,9578,0.0
415,7,9578,0.0
415,7,9578,0.0
415,7,9578,0.0
415,7,9578,0.0
415,6,9579,0.0
415,5,9580,0.0
415,3,9582,0.0
415,3,9582,0.0
415,2,9583,0.0
415,2,9583,0.0
415,2,9583,0.0
415,2,9583,0.0
415,1,9584,0.0
415,1,9584,0.0
415,1,9584,0.0
415,1,9584,0.0
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
415,0,9585,
