S,I,R,Beta
9950,50,0,5.226130653266331e-05
9924,74,2,5.7191411484035425e-05
9882,112,6,9.75800156128025e-05
9774,212,14,8.252545258695576e-05
9603,361,36,8.192269094116768e-05
9319,616,65,8.013233681223809e-05
8859,1024,117,6.845527853030816e-05
8238,1569,193,5.7560983308707446e-05
7494,2164,342,5.025585471457881e-05
6679,2814,507,4.5385120682387904e-05
5826,3398,776,4.142094449047894e-05
5006,3921,1073,3.540765108903236e-05
4311,4312,1377,3.453649442316308e-05
3669,4614,1717,3.2370935955993485e-05
3121,4813,2066,3.1821325520643155e-05
2643,4909,2448,3.005899192777333e-05
2253,4914,2833,2.8000471853112775e-05
1943,4850,3207,2.6741514609674698e-05
1691,4712,3597,2.5100426807657437e-05
1491,4542,3967,2.495525036318011e-05
1322,4371,4307,2.976570582276045e-05
1150,4189,4661,2.5947875906878262e-05
1025,3954,5021,2.3440295100978324e-05
930,3737,5333,2.014150848389111e-05
860,3491,5649,2.431501602126398e-05
787,3278,5935,1.550516205607752e-05
747,3078,6175,1.91365418355249e-05
703,2900,6397,2.0601363614067788e-05
661,2707,6632,2.6266858992235627e-05
614,2537,6849,1.5407153284484098e-05
590,2360,7050,2.010916403332376e-05
562,2225,7213,1.2795393658283017e-05
546,2070,7384,1.3271752402187185e-05
531,1908,7561,1.085724889157359e-05
520,1769,7711,1.1958081488889854e-05
509,1627,7864,7.245125539912793e-06
503,1511,7986,6.578661716004437e-06
498,1386,8116,1.448796629519521e-05
488,1275,8237,8.036001285760205e-06
483,1183,8334,7.000484783571262e-06
479,1097,8424,7.612334265209919e-06
475,997,8528,2.111597951749987e-06
474,920,8606,1.375894331315355e-05
468,857,8675,1.7453051292024454e-05
461,795,8744,2.728550184859275e-06
460,737,8803,1.179871394018052e-05
456,681,8863,2.254166988690522e-05
449,631,8920,1.411836128180602e-05
445,589,8966,3.8152648747639305e-06
444,551,9005,1.2262716436945113e-05
441,505,9054,2.2451224714308165e-05
436,475,9089,0.0
436,445,9119,1.0308215647871354e-05
434,403,9163,0.0
434,369,9197,0.0
434,342,9224,6.737273290753766e-06
433,315,9252,1.4663294109021591e-05
431,297,9272,0.0
431,272,9297,0.0
431,248,9321,0.0
431,225,9344,0.0
431,200,9369,3.480278422273782e-05
428,194,9378,1.2043549474901243e-05
427,181,9392,0.0
427,164,9409,0.0
427,151,9422,1.5509406455014967e-05
426,141,9433,0.0
426,129,9445,0.0
426,119,9455,0.0
426,110,9464,0.0
426,98,9476,0.0
426,92,9482,0.0
426,89,9485,0.0
426,84,9490,0.0
426,79,9495,0.0
426,71,9503,0.0
426,67,9507,0.0
426,60,9514,0.0
426,55,9519,0.0
426,51,9523,0.0
426,44,9530,0.0
426,37,9537,0.0
426,32,9542,0.0
426,30,9544,0.0
426,27,9547,0.0
426,24,9550,0.0
426,22,9552,0.0
426,20,9554,0.0
426,19,9555,0.0
426,15,9559,0.0
426,13,9561,0.0
426,12,9562,0.0
426,12,9562,0.0
426,11,9563,0.0
426,9,9565,0.0
426,8,9566,0.0
426,8,9566,0.0
426,6,9568,0.0
426,6,9568,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,4,9570,0.0
426,2,9572,0.0
426,2,9572,0.0
426,2,9572,0.0
426,1,9573,0.0
426,1,9573,0.0
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
426,0,9574,
