S,I,R,Beta
9940,60,0,4.024144869215292e-05
9916,79,5,7.276310884850465e-05
9859,128,13,7.131808499847855e-05
9769,208,23,9.153759537626873e-05
9583,381,36,8.572704891070501e-05
9270,672,58,7.817717162377356e-05
8783,1106,111,6.691374653361057e-05
8133,1661,206,5.7443555969307076e-05
7357,2314,329,5.145647070405727e-05
6481,2990,529,4.5927922060832305e-05
5591,3633,776,3.997616593417235e-05
4779,4138,1083,3.873479419131813e-05
4013,4582,1405,3.312020742712766e-05
3404,4827,1769,3.3655673129286227e-05
2851,4981,2168,3.084326543988869e-05
2413,5002,2585,2.9577891180867066e-05
2056,4948,2996,2.5754225265720693e-05
1794,4824,3382,2.7847570027972364e-05
1553,4681,3766,2.4623111637749183e-05
1374,4473,4153,2.5220057202343935e-05
1219,4273,4508,2.7837575235846655e-05
1074,4069,4857,2.4942186757026032e-05
965,3843,5192,2.3190000256168608e-05
879,3652,5469,2.3363699912900125e-05
804,3433,5763,1.7390472629569892e-05
756,3208,6036,2.391508002480571e-05
698,3022,6280,2.417799555883407e-05
647,2839,6514,2.12321969389705e-05
608,2645,6747,1.9276688886677943e-05
577,2464,6959,1.7584235521843842e-05
552,2314,7134,1.3309032605564115e-05
535,2151,7314,1.303458074271041e-05
520,1994,7486,1.4466476352133323e-05
505,1832,7663,1.0808941156124347e-05
495,1704,7801,2.134016218523261e-05
477,1585,7938,1.9840088883598198e-05
462,1456,8082,8.919651776794634e-06
456,1351,8193,9.739374342592232e-06
450,1246,8304,8.917424647761727e-06
445,1149,8406,1.3690458728156385e-05
438,1077,8485,1.6958997384074652e-05
430,997,8573,1.1662895663735393e-05
425,919,8656,1.2801638609742048e-05
420,850,8730,8.403361344537815e-06
417,774,8809,6.1965931131064144e-06
415,725,8860,6.647278770253428e-06
413,671,8916,2.1651035821638766e-05
407,626,8967,0.0
407,585,9008,8.4000084000084e-06
405,540,9055,1.828989483310471e-05
401,496,9103,5.027753197651034e-06
400,467,9133,5.353319057815846e-06
399,442,9159,1.7010852924165616e-05
396,415,9189,1.2169891687963977e-05
394,382,9224,1.9932495282642784e-05
391,356,9253,0.0
391,327,9282,1.5642475578185005e-05
389,302,9309,0.0
389,275,9336,9.34797849964945e-06
388,258,9354,1.9979221609526092e-05
386,232,9382,0.0
386,198,9416,0.0
386,184,9430,0.0
386,172,9442,0.0
386,162,9452,0.0
386,150,9464,0.0
386,137,9477,0.0
386,127,9487,0.0
386,121,9493,2.1410525414293667e-05
385,112,9503,0.0
385,102,9513,0.0
385,90,9525,0.0
385,80,9535,0.0
385,71,9544,0.0
385,66,9549,0.0
385,62,9553,0.0
385,56,9559,0.0
385,52,9563,0.0
385,50,9565,0.0
385,47,9568,0.0
385,44,9571,0.0
385,40,9575,0.0
385,38,9577,0.0
385,35,9580,0.0
385,31,9584,0.0
385,31,9584,0.0
385,31,9584,0.0
385,30,9585,0.0
385,28,9587,0.0
385,27,9588,0.0
385,26,9589,0.0
385,23,9592,0.00011293054771315641
384,21,9595,0.0
384,20,9596,0.0
384,18,9598,0.0
384,16,9600,0.0
384,15,9601,0.0
384,15,9601,0.0
384,15,9601,0.0
384,14,9602,0.0
384,13,9603,0.0
384,12,9604,0.0
384,11,9605,0.0
384,9,9607,0.0
384,8,9608,0.0
384,8,9608,0.0
384,8,9608,0.0
384,7,9609,0.0
384,5,9611,0.0
384,4,9612,0.0
384,3,9613,0.0
384,3,9613,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,2,9614,0.0
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
384,0,9616,
