S,I,R,Beta
9950,50,0,4.422110552763819e-05
9928,68,4,8.146892923164431e-05
9873,119,8,5.787790655611987e-05
9805,175,20,8.62533692722372e-05
9657,311,32,7.458395306272011e-05
9433,517,50,6.787152637731524e-05
9102,794,104,5.590157338022424e-05
8698,1128,174,5.2592183089289295e-05
8182,1557,261,4.599912052193459e-05
7596,2010,394,4.1328376548012966e-05
6965,2475,560,3.991095448381881e-05
6277,2972,751,3.54860006119459e-05
5615,3391,994,3.061900011370521e-05
5032,3681,1287,3.00170730200933e-05
4476,3929,1595,3.110392669162714e-05
3929,4194,1877,2.5002691430497434e-05
3517,4282,2201,2.5365552809022488e-05
3135,4331,2534,2.695599433924119e-05
2769,4383,2848,2.3400434078052148e-05
2485,4331,3184,2.1463344834650944e-05
2254,4211,3535,2.191412738471536e-05
2046,4064,3890,2.056538203985499e-05
1875,3937,4188,1.9507239014478028e-05
1731,3799,4470,1.9008316366510146e-05
1606,3635,4759,2.0726950688700043e-05
1485,3475,5040,1.957222101106993e-05
1384,3268,5348,1.8793202255538026e-05
1299,3085,5616,1.896484392058222e-05
1223,2919,5858,1.2045030486532395e-05
1180,2735,6085,1.6112539894029065e-05
1128,2595,6277,1.9131171510952596e-05
1072,2448,6480,1.6385596527168082e-05
1029,2291,6680,1.6543376095839595e-05
990,2169,6841,1.3039570439293813e-05
962,2019,7019,1.4930921320222954e-05
933,1877,7190,1.3133543584235408e-05
910,1742,7348,1.577068167194459e-05
885,1619,7496,1.535438978514323e-05
863,1511,7626,1.7638131493037155e-05
840,1408,7752,1.3528138528138528e-05
824,1308,7868,1.020605088922538e-05
813,1215,7972,1.0123558025703714e-05
803,1129,8068,1.2133419076161472e-05
792,1042,8166,8.482134201903875e-06
785,963,8252,6.614150313180017e-06
780,906,8314,8.490405841399219e-06
774,838,8388,9.250522654529981e-06
768,779,8453,8.357402652973899e-06
763,727,8510,5.408319076403324e-06
760,668,8572,0.0
760,616,8624,4.272043745727956e-06
758,569,8673,1.1592805041479057e-05
753,531,8716,1.250490817645926e-05
748,493,8759,8.135284355305833e-06
745,463,8792,8.697290793917695e-06
742,431,8827,9.380804372705611e-06
739,404,8857,3.349455378555447e-06
738,369,8893,1.1016370326304889e-05
735,336,8929,4.049238743116294e-06
734,312,8954,0.0
734,279,8987,9.76629261765941e-06
732,258,9010,1.588511882068878e-05
729,241,9030,1.138375197081206e-05
727,224,9049,6.140695617999607e-06
726,208,9066,6.622165713074804e-06
725,192,9083,0.0
725,177,9098,7.792713812585233e-06
724,163,9113,0.0
724,150,9126,9.208103130755064e-06
723,142,9135,0.0
723,129,9148,0.0
723,119,9158,0.0
723,105,9172,0.0
723,97,9180,0.0
723,93,9184,1.4872321123157692e-05
722,84,9194,1.648858989579211e-05
721,80,9199,1.7337031900138696e-05
720,76,9204,0.0
720,71,9209,0.0
720,67,9213,2.0729684908789386e-05
719,66,9215,0.0
719,54,9227,0.0
719,52,9229,0.0
719,47,9234,0.0
719,43,9238,0.0
719,41,9240,0.0
719,37,9244,0.0
719,33,9248,0.0
719,29,9252,0.0
719,28,9253,0.0
719,26,9255,0.0
719,25,9256,0.0
