S,I,R,Beta
9900,100,0,1.8181818181818182e-05
9882,111,7,1.3674877062855205e-05
9867,116,17,1.223164641455496e-05
9853,119,28,2.1321834325935794e-05
9828,135,37,1.2812975775938739e-05
9811,145,44,9.13822978430263e-06
9798,144,58,1.5592751355151845e-05
9776,147,77,9.046171660153422e-06
9763,151,86,1.5601544688589776e-05
9740,168,92,1.4667057788207686e-05
9716,180,104,1.3723068478111706e-05
9692,192,116,1.5584158756362635e-05
9663,209,128,2.129169272423247e-05
9620,241,139,2.0703755143589168e-05
9572,268,160,1.676219820246864e-05
9529,300,171,2.0288942526323153e-05
9471,329,200,1.7651066653957897e-05
9416,358,226,1.928252398152675e-05
9351,395,254,1.840999879522802e-05
9283,433,284,1.890764090110831e-05
9207,471,322,1.5450258584290498e-05
9140,494,366,1.6167754852541218e-05
9067,511,422,1.812987334772644e-05
8983,551,466,1.7172990401510577e-05
8898,590,512,1.485765226236328e-05
8820,622,558,1.4035624968100853e-05
8743,657,600,1.375312034798528e-05
8664,688,648,1.509856342201894e-05
8574,716,710,1.4986193155088856e-05
8482,754,764,1.2508936071205867e-05
8402,769,829,1.4703292206419365e-05
8307,797,896,1.2989604238477655e-05
8221,806,973,1.2978926147797371e-05
8135,822,1043,1.1066297590687561e-05
8061,814,1125,1.2039647320629829e-05
7982,830,1188,1.0415000015094203e-05
7913,830,1257,1.2637432073802604e-05
7830,832,1338,1.1359170841929463e-05
7756,846,1398,1.1734985619308532e-05
7679,861,1460,1.2251159663011435e-05
7598,868,1534,1.0613998590460987e-05
7528,873,1599,9.434042651611152e-06
7466,839,1695,7.82251011897559e-06
7417,820,1763,1.150948546023144e-05
7347,832,1821,8.179686109453361e-06
7297,821,1882,9.848373440973274e-06
7238,812,1950,9.528256043296395e-06
7182,795,2023,8.93218370874776e-06
7131,798,2071,6.502021425742171e-06
7094,765,2141,7.92347763275971e-06
7051,738,2211,8.45562277775664e-06
7007,729,2264,8.026463052918079e-06
6966,703,2331,7.963900252761941e-06
6927,683,2390,7.397792625499853e-06
6892,667,2441,9.136464849409306e-06
6850,657,2493,8.888000088880001e-06
6810,634,2556,6.7167878004604475e-06
6781,606,2613,7.300538341697316e-06
6751,579,2670,8.954088296008855e-06
6716,564,2720,8.448122193639409e-06
6684,544,2772,1.04507691766114e-05
6646,545,2809,1.0491238435480265e-05
6608,544,2848,8.345499216635807e-06
6578,536,2886,6.523327418849807e-06
6555,517,2928,5.0163251877064625e-06
6538,500,2962,8.871214438666258e-06
6509,487,3004,4.732035851165484e-06
6494,460,3046,7.029900510169923e-06
6473,447,3080,6.566598615968378e-06
6454,434,3112,4.998150684246829e-06
6440,423,3137,5.506365358354257e-06
6425,404,3171,6.934545594637285e-06
6407,385,3208,8.10801497550366e-06
6387,369,3244,5.515946814392208e-06
6374,356,3270,4.4069481707639536e-06
6364,340,3296,6.470218508522202e-06
6350,322,3328,1.0270455323519343e-05
6329,316,3355,5.500099001782032e-06
6318,303,3379,5.746063685190932e-06
6307,288,3405,9.90962422704931e-06
6289,279,3432,9.688646786703302e-06
6272,281,3447,9.645762219478538e-06
6255,276,3469,8.109454465413176e-06
6241,269,3490,7.1478393570756755e-06
6229,261,3510,8.61130947877589e-06
6215,257,3528,5.634666975529893e-06
6206,244,3550,5.2830946255078375e-06
6198,230,3572,5.611908469772858e-06
6190,218,3592,5.928472973573832e-06
6182,213,3605,8.353800143685363e-06
6171,203,3626,7.982674403474698e-06
6161,187,3652,8.679749363557378e-06
6151,184,3665,3.5342432831706403e-06
6147,174,3679,4.6747408791130705e-06
6142,162,3696,1.1055231938766075e-05
6131,162,3707,7.047769783593195e-06
6124,151,3725,5.4070187428897705e-06
6119,142,3739,8.056181508071143e-06
6112,135,3753,6.059724646112081e-06
6107,126,3767,5.198302234490215e-06
6103,117,3780,7.002300956094173e-06
6098,110,3792,5.963207012731447e-06
6094,102,3804,1.6087826663320398e-06
6093,95,3812,8.638040201439097e-06
6088,92,3820,5.356224647203337e-06
6085,95,3820,1.3839034727327768e-05
6077,97,3826,6.785768208336655e-06
6073,91,3836,9.047432067356323e-06
6068,90,3842,9.155496960375008e-06
6063,95,3842,8.680781617576846e-06
6058,95,3847,3.4751785372973536e-06
6056,89,3855,1.2987398512757336e-05
6049,92,3859,1.257843553012715e-05
6042,94,3864,5.282173720129308e-06
6039,90,3871,9.19946275137532e-06
6034,88,3878,5.649802633561334e-06
6031,82,3887,6.066218844911049e-06
6028,79,3893,6.29971525287057e-06
6025,76,3899,4.367765887748417e-06
6023,74,3903,6.7309547634966865e-06
6020,70,3910,9.492168960607498e-06
6016,66,3918,1.0074145712443585e-05
6012,58,3930,5.735655126528552e-06
6010,56,3934,1.188495364868077e-05
6006,57,3937,5.842111105269e-06
6004,54,3942,6.168727021491845e-06
6002,48,3950,3.471065200488726e-06
6001,39,3960,0.0
6001,34,3965,4.90114392699256e-06
6000,31,3969,1.075268817204301e-05
5998,29,3973,0.0
5998,27,3975,0.0
5998,22,3980,1.5156567340628694e-05
5996,23,3981,1.4502421904458045e-05
5994,23,3983,1.4507260884072478e-05
5992,24,3984,1.3907432131731197e-05
5990,24,3986,6.956037840845854e-06
5989,24,3987,6.9571993098458285e-06
5988,23,3989,7.260898608811826e-06
5987,20,3993,8.351428094204109e-06
5986,19,3995,0.0
5986,18,3996,0.0
5986,16,3998,0.0
5986,16,3998,0.0
5986,15,3999,0.0
5986,13,4001,0.0
5986,13,4001,0.0
5986,12,4002,0.0
5986,10,4004,1.670564650851988e-05
5985,10,4005,0.0
5985,9,4006,0.0
5985,8,4007,2.0885547201336676e-05
5984,9,4007,0.0
5984,9,4007,0.0
5984,8,4008,0.0
5984,7,4009,0.0
