S,I,R,Beta
9950,50,0,1.2060301507537688e-05
9944,51,5,1.9718265423627213e-05
9934,53,13,1.709395215972589e-05
9925,55,20,1.8319212273872222e-05
9915,61,24,2.6454370344650845e-05
9899,74,27,2.3207367383546795e-05
9882,87,31,1.51209560166284e-05
9869,90,41,1.6887898132198468e-05
9854,97,49,1.5693035849171095e-05
9839,99,62,2.053259498121781e-05
9819,108,73,2.7346829465171457e-05
9790,128,82,3.112231869254341e-05
9751,158,91,2.9857372629097438e-05
9705,196,99,2.4182779757961918e-05
9659,230,111,1.9805813006117294e-05
9615,260,125,2.560102404096164e-05
9551,303,146,1.727740568005078e-05
9501,329,170,1.407626584819579e-05
9457,348,195,1.5800495649394294e-05
9405,381,214,1.3395454754758526e-05
9357,394,249,1.60036542581384e-05
9298,428,274,1.4071964024018832e-05
9242,447,311,1.1134849318861902e-05
9196,450,354,1.812382195157315e-05
9121,494,385,1.5757559078639986e-05
9050,525,425,1.4312023151802157e-05
8982,547,471,1.3229790883819233e-05
8917,569,514,1.1628427207918053e-05
8858,578,564,1.3867393344119952e-05
8787,592,621,1.268766205604717e-05
8721,606,673,1.1920696713634211e-05
8658,620,722,1.0804849514526934e-05
8600,618,782,1.2041845412809513e-05
8536,624,840,1.0513541441376493e-05
8480,620,900,1.3694461351186854e-05
8408,651,941,1.1875165338840488e-05
8343,679,978,1.2709851564821037e-05
8271,685,1044,9.354644272001286e-06
8218,696,1086,1.1888677223812041e-05
8150,706,1144,1.077530023114757e-05
8088,722,1190,1.078852840362659e-05
8025,731,1244,1.2103080745447494e-05
7954,754,1292,9.837734079711657e-06
7895,765,1340,9.934309379229843e-06
7835,757,1408,1.1970808088557004e-05
7764,760,1476,9.998915371891863e-06
7705,762,1533,1.0049035888683935e-05
7646,748,1606,9.616716160699173e-06
7591,730,1679,9.022941731646885e-06
7541,723,1736,1.0454604730653616e-05
7484,724,1792,1.2365237368264084e-05
7417,733,1850,1.1404058483690633e-05
7355,756,1889,1.0790629417413917e-05
7295,762,1943,1.0254030103673642e-05
7238,760,2002,7.998720204767237e-06
7194,750,2056,8.340283569641367e-06
7149,734,2117,1.0672020972045785e-05
7093,721,2186,8.799283073523094e-06
7048,699,2253,1.0758031174744528e-05
6995,694,2311,9.68167876189868e-06
6948,676,2376,6.174353523895174e-06
6919,652,2429,8.64517284582243e-06
6880,632,2488,1.1729099205181043e-05
6829,631,2540,7.658213468755302e-06
6796,615,2589,1.028821353546084e-05
6753,603,2644,8.104008316185989e-06
6720,598,2682,8.46074215639433e-06
6686,578,2736,1.0609371231732474e-05
6645,578,2777,1.0414469864429639e-05
6605,575,2820,8.425764407728006e-06
6573,555,2872,9.86838047540923e-06
6537,547,2916,8.389874093159483e-06
6507,538,2955,8.283901294745207e-06
6478,526,2996,8.217341643022244e-06
6450,498,3052,8.094393076180692e-06
6424,492,3084,8.226265326165092e-06
6398,474,3128,1.187079823204245e-05
6362,470,3168,4.34762251934692e-06
6349,448,3203,1.0547217784577999e-05
6319,440,3241,8.631975715374987e-06
6295,434,3271,9.516732978774025e-06
6269,416,3315,7.285544253162693e-06
6250,408,3342,6.274509803921568e-06
6234,397,3369,8.485198177864299e-06
6213,380,3407,6.353401611222649e-06
6198,377,3425,1.0271132212581624e-05
6174,369,3457,7.023069906759968e-06
6158,356,3486,2.736916626221121e-06
6152,335,3513,7.76352308677678e-06
6136,329,3535,6.439647622482098e-06
6123,317,3560,9.273613324327624e-06
6105,309,3586,6.361171409715099e-06
6093,293,3614,6.7217514195498775e-06
6081,278,3641,7.689950654178186e-06
6068,264,3668,7.490861149397735e-06
6056,259,3685,3.825301051192729e-06
6050,244,3706,8.80639479745292e-06
6037,236,3727,6.3169775087525235e-06
6028,228,3744,5.093190840405593e-06
6021,219,3760,6.825426077222871e-06
6012,213,3775,3.904553959373897e-06
6007,194,3799,4.290527031178402e-06
6002,182,3816,5.492674602971171e-06
5996,168,3836,3.970901235744465e-06
5992,156,3852,5.349012358358153e-06
5987,150,3863,7.794666221257168e-06
5980,147,3873,1.2513366550633632e-05
5969,143,3888,5.857770977556536e-06
5964,138,3898,2.4300391722314562e-06
5962,126,3912,5.324728571961044e-06
5958,119,3923,5.641733027551403e-06
5954,118,3928,8.540049987759262e-06
5948,117,3935,7.184775174015254e-06
5943,114,3943,5.904041611685279e-06
5939,113,3948,7.450376765553034e-06
5934,104,3962,8.101941873428223e-06
5929,97,3974,5.216366174995175e-06
5926,93,3981,9.072467239320799e-06
5921,90,3989,3.7531197808178047e-06
5919,86,3995,9.822526589579477e-06
5914,82,4004,6.186230276235802e-06
5911,80,4009,6.344104212485197e-06
5908,77,4015,4.396416041642853e-06
5906,74,4020,9.152396555037937e-06
5902,73,4025,1.1605074667050408e-05
5897,72,4031,2.355246547208562e-06
5896,67,4037,7.59432147269082e-06
5893,63,4044,8.0806121871793e-06
5890,61,4049,5.56653399760639e-06
5888,61,4051,5.568424803991447e-06
5886,57,4057,8.941824489868913e-06
5883,55,4062,3.0905691283049775e-06
5882,51,4067,1.3334133381336213e-05
5878,46,4076,7.396777963519091e-06
5876,44,4080,0.0
5876,41,4083,4.150824353716648e-06
5875,37,4088,1.3801035077630822e-05
5872,33,4095,0.0
5872,31,4097,5.493539597433419e-06
5871,29,4100,1.174680927293124e-05
5869,29,4102,0.0
5869,25,4106,6.8154711194411315e-06
5868,25,4107,0.0
5868,23,4109,7.409383242938858e-06
5867,23,4110,1.4821292268472888e-05
5865,22,4113,7.750135627373478e-06
5864,22,4114,0.0
5864,22,4114,0.0
5864,21,4115,8.120574287013577e-06
5863,20,4117,0.0
5863,20,4117,0.0
5863,18,4119,0.0
5863,16,4121,2.1320143271362784e-05
5861,15,4124,1.1374623215605983e-05
5860,16,4124,1.0665529010238908e-05
5859,14,4127,0.0
5859,11,4130,0.0
5859,11,4130,0.0
5859,9,4132,0.0
5859,8,4133,0.0
5859,8,4133,0.0
5859,7,4134,0.0
5859,6,4135,0.0
5859,5,4136,0.0
5859,3,4138,0.0
5859,3,4138,5.6892530010809584e-05
5858,4,4138,0.0
5858,4,4138,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,3,4139,0.0
5858,2,4140,0.0
5858,2,4140,0.0
5858,2,4140,0.0
5858,1,4141,0.0
5858,1,4141,0.0
5858,1,4141,0.0
5858,1,4141,0.0
5858,1,4141,0.0
5858,1,4141,0.0
5858,1,4141,0.0
5858,1,4141,0.0001707067258449983
5857,2,4141,0.0
5857,2,4141,0.0
5857,2,4141,0.0
5857,2,4141,0.0
5857,2,4141,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,1,4142,0.0
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
5857,0,4143,
