S,I,R,Beta
9950,50,0,1.0050251256281408e-05
9945,48,7,1.2569130216189039e-05
9939,51,10,5.918455519847541e-06
9936,51,13,9.867070821887531e-06
9931,49,20,1.2329974785201564e-05
9925,54,21,7.463382778244239e-06
9921,51,28,7.905591427176657e-06
9917,49,34,1.4405278093893603e-05
9910,49,41,1.6474803846866697e-05
9902,52,46,1.3594767179901496e-05
9895,57,48,1.24110174374795e-05
9888,59,53,2.399758652844057e-05
9874,64,62,2.0571703463641888e-05
9861,72,67,2.5352398336882668e-05
9843,81,76,2.2576676035987223e-05
9825,95,80,9.642426677380475e-06
9816,98,86,1.2474427423781249e-05
9804,109,87,1.7779674276367258e-05
9785,115,100,2.4882806425096086e-05
9757,137,106,1.7954543584280498e-05
9733,151,116,1.4288795611026323e-05
9712,156,132,1.9141004519917205e-05
9683,178,139,1.682550328561466e-05
9654,190,156,1.9081264379095658e-05
9619,213,168,1.952317571785497e-05
9579,241,180,1.7326976065814785e-05
9539,267,194,1.806108021750252e-05
9493,299,208,1.6558583740809545e-05
9446,321,233,1.5500470620671825e-05
9399,340,261,1.5959144589849985e-05
9348,363,289,1.8271170097520896e-05
9286,408,306,1.4252955112693365e-05
9232,419,349,1.913030529899116e-05
9158,462,380,1.607186582071928e-05
9090,499,411,1.477101617977429e-05
9023,523,454,1.3774020036749085e-05
8958,539,503,1.5533218097566007e-05
8883,580,537,1.4945246053096384e-05
8806,609,585,1.342568714345011e-05
8734,630,636,1.1449507671170139e-05
8671,634,695,1.2915163384092957e-05
8600,661,739,1.231397107975935e-05
8530,674,796,1.2349501323657818e-05
8459,697,844,1.3907915690215086e-05
8377,719,904,1.2950221506897735e-05
8299,744,957,1.1822903912506624e-05
8226,766,1008,1.3172269801095551e-05
8143,785,1072,9.699237592993395e-06
8081,784,1135,1.041748217663504e-05
8015,792,1193,1.0554704877848983e-05
7948,798,1254,1.0563651201481308e-05
7881,825,1294,1.0150996066489024e-05
7815,837,1348,1.1618743173032897e-05
7739,843,1418,9.35012493146435e-06
7678,829,1493,8.483813669057741e-06
7624,827,1549,9.67478756704152e-06
7563,807,1630,8.519923759789925e-06
7511,795,1694,7.368647576845365e-06
7467,780,1753,7.554607795668462e-06
7423,743,1834,8.703079747951559e-06
7375,727,1898,7.833446016832584e-06
7333,711,1956,9.014602313146953e-06
7286,696,2018,8.479496183832323e-06
7243,691,2066,8.191950589350904e-06
7202,681,2117,8.563455819296402e-06
7160,659,2181,1.0172853739795356e-05
7112,653,2235,8.182361584587532e-06
7074,634,2292,7.357997340418416e-06
7041,620,2339,8.017556157254056e-06
7006,606,2388,9.421438860985728e-06
6966,606,2428,7.106653817836564e-06
6936,597,2467,8.210989588465201e-06
6902,577,2521,6.779739326555938e-06
6875,568,2557,9.987195902688861e-06
6836,567,2597,9.803891216023068e-06
6798,554,2648,1.0090034975247552e-05
6760,546,2694,8.669831155038255e-06
6728,527,2745,7.332916673247489e-06
6702,513,2785,6.689690837392231e-06
6679,491,2830,5.488827339483056e-06
6661,473,2866,8.252257547879756e-06
6635,460,2905,8.191081550407916e-06
6610,451,2939,9.05702909319012e-06
6583,450,2967,7.42653636471045e-06
6561,437,3002,7.324328594492732e-06
6540,422,3038,6.884357290896706e-06
6521,402,3077,7.629388710488349e-06
6501,391,3108,5.507710598133437e-06
6487,376,3137,9.019676013237604e-06
6465,378,3157,7.774872430711565e-06
6446,368,3186,1.1382185109741128e-05
6419,366,3215,8.087329538247536e-06
6400,358,3242,1.0911312849162012e-05
6375,356,3269,7.931262392597488e-06
6357,347,3296,9.973348492823042e-06
6335,335,3330,6.596850004123031e-06
6321,318,3361,5.969917585287735e-06
6309,303,3388,3.661802223969425e-06
6302,287,3411,6.6346948095676725e-06
6290,284,3426,3.3587854631765156e-06
6284,261,3455,1.0974779955661888e-05
6266,259,3475,7.394198265567561e-06
6254,246,3500,8.449876631801175e-06
6241,239,3520,2.6816858954719065e-06
6237,230,3533,5.57681717102007e-06
6229,220,3551,8.756695223222755e-06
6217,213,3570,4.530965752695358e-06
6211,200,3589,8.85525680244727e-06
6200,192,3608,8.400537634408602e-06
6190,189,3621,3.4190664239129506e-06
6186,182,3632,4.441081065717341e-06
6181,173,3646,8.416618894561275e-06
6172,164,3664,4.9396961889255966e-06
6167,157,3676,8.262593483499085e-06
6159,148,3693,3.291162570266321e-06
6156,140,3704,4.64123271140815e-06
6152,136,3712,3.5856345138835767e-06
6149,129,3722,7.5640962606890136e-06
6143,123,3734,3.970412486153187e-06
6140,114,3746,8.571918395336876e-06
6134,111,3755,1.4687005231511262e-06
6133,103,3764,7.915162126265832e-06
6128,102,3770,4.799569958531716e-06
6125,90,3785,5.4421768707483e-06
6122,88,3790,5.568590181461792e-06
6119,78,3803,4.19039477709195e-06
6117,75,3808,1.3078306359326466e-05
6111,75,3814,2.181857851960945e-06
6110,72,3818,2.2731405710129115e-06
6109,68,3823,0.0
6109,64,3827,7.673105254542479e-06
6106,64,3830,7.676875204716672e-06
6103,58,3839,5.650132495607022e-06
6101,52,3847,6.304136774551461e-06
6099,47,3854,3.4885384070635925e-06
6098,43,3859,1.1441036710473124e-05
6095,40,3865,0.0
6095,34,3871,0.0
6095,29,3876,5.657548584198467e-06
6094,28,3878,5.860565427352431e-06
6093,27,3880,0.0
6093,26,3881,6.31241399335934e-06
6092,25,3883,0.0
6092,24,3884,4.103742613263296e-05
6086,28,3886,5.868269095347636e-06
6085,27,3888,6.086612495815454e-06
6084,26,3890,6.321751883882061e-06
6083,27,3890,0.0
6083,24,3893,0.0
6083,24,3893,0.0
6083,22,3895,7.472389520720936e-06
6082,20,3898,1.644195988161789e-05
6080,21,3899,7.832080200501253e-06
6079,21,3900,0.0
6079,19,3902,8.657933697543744e-06
6078,19,3903,8.659358168372561e-06
6077,19,3904,8.660783108008626e-06
6076,18,3906,0.0
6076,16,3908,2.0572745227123106e-05
6074,16,3910,2.057951926243003e-05
6072,17,3911,0.0
6072,16,3912,0.0
6072,14,3914,0.0
6072,11,3917,1.4971852916516949e-05
6071,12,3917,0.0
6071,11,3918,1.4974319042841527e-05
6070,11,3919,1.497678598172832e-05
6069,12,3919,0.0
6069,11,3920,0.0
6069,7,3924,2.353882729562413e-05
6068,8,3924,2.059986816084377e-05
6067,9,3924,0.0
6067,8,3925,0.0
6067,8,3925,0.0
6067,8,3925,0.0
6067,8,3925,0.0
6067,7,3926,2.3546586922225625e-05
6066,7,3927,2.355046865432622e-05
6065,6,3929,0.0
6065,6,3929,0.0
6065,6,3929,0.0
6065,5,3930,0.0
6065,4,3931,0.0
6065,4,3931,0.0
6065,4,3931,0.0
6065,4,3931,4.122011541632317e-05
6064,5,3931,0.0
6064,5,3931,0.0
6064,5,3931,3.2981530343007914e-05
6063,6,3931,0.0
6063,6,3931,0.0
6063,5,3932,0.0
6063,5,3932,0.0
6063,5,3932,0.0
6063,4,3933,4.123371268349002e-05
6062,5,3933,0.0
6062,5,3933,0.0
6062,5,3933,0.0
6062,5,3933,0.0
6062,4,3934,0.0
6062,3,3935,0.0
6062,3,3935,0.0
6062,2,3936,0.0
6062,1,3937,0.0
6062,1,3937,0.0
6062,1,3937,0.0
6062,1,3937,0.0
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
6062,0,3938,
