S,I,R,Beta
9950,50,0,8.040201005025125e-06
9946,49,5,1.0259482839989002e-05
9941,51,8,5.9172648035172224e-06
9938,47,15,1.2845600167849175e-05
9932,49,19,1.0273944454946699e-05
9927,48,25,1.259192102347134e-05
9921,48,31,2.3099149951281793e-05
9910,55,35,2.2016328777176407e-05
9898,63,39,2.4054883622473033e-05
9883,76,41,1.5976397535374408e-05
9871,85,44,1.3110299331970656e-05
9860,92,48,1.984301966663727e-05
9842,106,52,1.917082354023764e-05
9822,120,58,1.866558066924591e-05
9800,133,67,2.224950130428111e-05
9771,152,77,1.9526094942606747e-05
9742,170,88,1.690678324296255e-05
9714,192,94,1.7157367373550202e-05
9682,202,116,1.9941056282864394e-05
9643,219,138,1.799398338018872e-05
9605,241,154,1.8144076930886186e-05
9563,267,170,1.9582340019135863e-05
9513,295,192,1.6391485692192844e-05
9467,315,218,1.7772680707084424e-05
9414,341,245,1.8067556462671492e-05
9356,361,283,1.9244912533352915e-05
9291,391,318,1.761735706061004e-05
9227,411,362,1.5030468341482748e-05
9170,432,398,1.7417908639282684e-05
9101,468,431,1.4321709739795664e-05
9040,490,470,1.5577027271085425e-05
8971,530,499,1.7877311168271768e-05
8886,569,545,1.7800161150792284e-05
8796,619,585,1.3407474832516763e-05
8723,637,640,1.4937323530369829e-05
8640,672,688,1.1711860670194004e-05
8572,684,744,1.227988309551293e-05
8500,708,792,1.1299435028248587e-05
8432,711,857,1.2343306725167268e-05
8358,728,914,1.1175711103923594e-05
8290,743,967,1.3150482103167967e-05
8209,769,1022,1.0771900104566637e-05
8141,776,1083,1.1080479740450843e-05
8071,779,1150,1.2087842350360067e-05
7995,789,1216,9.828703142252247e-06
7933,791,1276,8.924298522247718e-06
7877,783,1340,1.0376654731892373e-05
7813,780,1407,9.845523732634958e-06
7753,790,1457,8.653244885197564e-06
7700,785,1515,8.93374141781785e-06
7646,770,1584,9.85151390592144e-06
7588,750,1662,7.380073800738008e-06
7546,735,1719,1.0637703265774903e-05
7487,740,1773,9.746623877784557e-06
7433,738,1829,9.479443644160644e-06
7381,735,1884,9.400861008269993e-06
7330,718,1952,7.600314653026635e-06
7290,688,2022,1.35579162280282e-05
7222,696,2082,9.350420331235657e-06
7175,666,2159,7.952203074154294e-06
7137,641,2222,8.743519139672691e-06
7097,637,2266,1.0396415315999043e-05
7050,635,2315,7.148042664879656e-06
7018,616,2366,1.1334490530842769e-05
6969,617,2414,8.604905307668389e-06
6932,598,2470,6.754579122174897e-06
6904,562,2534,8.762778192434734e-06
6870,555,2575,9.441756166646996e-06
6834,552,2614,1.1928846814520747e-05
6789,567,2644,5.715231325286807e-06
6767,555,2678,6.922838310454684e-06
6741,538,2721,8.547814544409757e-06
6710,530,2760,8.435733768242274e-06
6680,515,2805,8.139061682460322e-06
6652,503,2845,7.172837897449936e-06
6628,486,2886,9.313276261576402e-06
6598,475,2927,6.700595076657998e-06
6577,464,2959,7.209030424729858e-06
6555,449,2996,7.4748699967212505e-06
6533,449,3018,5.113664837451936e-06
6518,422,3060,7.2711514159113155e-06
6498,408,3094,6.412229403919155e-06
6481,393,3126,7.06704624557279e-06
6463,367,3170,8.853583234854787e-06
6442,358,3200,8.672139364748448e-06
6422,348,3230,6.2643857143368525e-06
6408,333,3259,7.0295014115238834e-06
6393,317,3290,4.4409771926214645e-06
