S,I,R,Beta
9950,50,0,6.030150753768844e-06
9947,50,3,6.031969438021514e-06
9944,49,7,8.209237033510106e-06
9940,50,10,1.2072434607645876e-05
9934,53,13,2.6590592248462493e-05
9920,63,17,1.1200716845878136e-05
9913,66,21,2.139828630295694e-05
9899,74,27,1.0921114062845551e-05
9891,76,33,1.0642317045267095e-05
9883,80,37,1.644237579682283e-05
9870,86,44,5.890530383355717e-06
9865,87,48,1.5147013416758423e-05
9852,92,56,1.7652562269413405e-05
9836,101,63,1.610571793250899e-05
9820,110,70,1.7589335308276245e-05
9801,124,75,6.582606778110199e-06
9793,124,83,1.317596835132402e-05
9777,132,91,1.5497100492497852e-05
9757,141,102,1.5991428594273468e-05
9735,147,118,1.3975800900740368e-05
9715,158,127,1.3029570610500531e-05
9695,167,138,1.5441010706796825e-05
9670,181,149,1.714021265290498e-05
9640,194,166,1.9784403473499594e-05
9603,225,172,1.851273328936559e-05
9563,249,188,1.6798344691114136e-05
9523,270,207,2.1779629046246708e-05
9467,308,225,1.4061147471942867e-05
9426,326,248,1.5620545703764162e-05
9378,347,275,1.6594113514799185e-05
9324,362,314,1.8665073913692697e-05
9261,400,339,1.9166396717417125e-05
9190,436,374,1.7470126084395685e-05
9120,470,410,1.6097424412094063e-05
9051,494,455,1.7445004622926224e-05
8973,542,485,1.542141800555418e-05
8898,577,525,1.4997625700554678e-05
8821,608,571,1.2679073264160287e-05
8753,635,612,1.3673602121567318e-05
8677,670,653,1.3416838820763075e-05
8599,698,703,1.1995797472285542e-05
8527,710,763,1.5361312946283305e-05
8434,751,815,1.3419779871403775e-05
8349,770,881,1.213303405182672e-05
8271,792,937,1.190724803347219e-05
8193,813,994,1.1409854120511179e-05
8117,827,1056,1.072584312947925e-05
8045,832,1123,1.225080078405125e-05
7963,863,1174,1.1932359817691003e-05
7881,869,1250,1.0221083496177096e-05
7811,874,1315,9.374797672823663e-06
7747,873,1380,9.906654181325189e-06
7680,871,1449,8.969575200918485e-06
7620,867,1513,1.271467364157335e-05
7536,877,1587,8.775816029845037e-06
7478,860,1662,1.0573651703912873e-05
7410,863,1727,7.036934523669902e-06
7365,840,1795,7.4354249506999e-06
7319,822,1859,8.975738578621984e-06
7265,807,1928,1.0916183327065056e-05
7201,806,1993,7.753265589318826e-06
7156,785,2059,9.256852741274526e-06
7104,776,2120,7.981564038265069e-06
