S,I,R,Beta
9950,50,0,4.020100502512563e-06
9948,51,1,5.913101066723433e-06
9945,50,5,1.0055304172951232e-05
9940,50,10,1.2072434607645876e-05
9934,52,14,1.1615121339300925e-05
9928,54,18,1.4922255051183334e-05
9920,57,23,2.1222410865874364e-05
9908,65,27,2.3291202136579608e-05
9893,72,35,2.9482125408538023e-05
9872,88,40,2.8777442168852218e-05
9847,106,47,1.5328871354363266e-05
9831,112,57,2.6337968815844923e-05
9802,127,71,2.168929047101106e-05
9775,144,81,2.4865018471156577e-05
9740,169,91,2.4300450773361845e-05
9700,198,102,2.082682495053629e-05
9660,218,122,1.8044712899120557e-05
9622,245,133,2.1209897386516445e-05
9572,281,147,2.1935270874570403e-05
9513,324,163,1.7844327385656793e-05
9458,351,191,1.656747268927434e-05
9403,380,217,1.5672489742915196e-05
9347,399,254,1.9842051904126424e-05
9273,447,280,1.3027646837864422e-05
9219,464,317,1.566293000587243e-05
9152,494,354,1.813722714532431e-05
9070,532,398,1.7822947666851804e-05
8984,574,442,1.7064793469458674e-05
8896,619,485,1.2530363431387361e-05
8827,642,531,1.4293443332849827e-05
8746,674,580,1.4419478578083342e-05
8661,708,631,1.6797162681988288e-05
8558,738,704,1.234997159506533e-05
8480,752,768,1.2701977117623444e-05
8399,770,831,1.407093918107134e-05
8308,793,899,1.4419623802639975e-05
8213,819,968,1.3677354478523357e-05
8121,850,1029,1.347269606032291e-05
8028,870,1102,1.2742756673481894e-05
7939,905,1156,1.1969722170221976e-05
7853,918,1229,9.848726337741402e-06
7782,918,1300,9.098702161123737e-06
7717,911,1372,8.961354797532412e-06
7654,894,1452,9.937632587017126e-06
7586,906,1508,9.457412254129107e-06
7521,899,1580,8.578131768682098e-06
7463,878,1659,1.0530309435431958e-05
7394,875,1731,8.655666756829862e-06
7338,862,1800,9.011350507386462e-06
7281,842,1877,1.1744360504890058e-05
7209,847,1944,1.1136545014651926e-05
7141,853,2006,8.372634094712222e-06
7090,828,2082,7.665419758385969e-06
7045,801,2154,7.265580905344543e-06
7004,769,2227,6.4982373067145726e-06
6969,756,2275,9.300446952907852e-06
6920,738,2342,7.440825853345238e-06
6882,709,2409,1.0452237578130475e-05
6831,701,2468,7.100298609322985e-06
6797,685,2518,6.013816743969269e-06
6769,654,2577,9.713286375240968e-06
6726,650,2624,7.319472083076008e-06
6694,641,2665,6.2924536700619505e-06
6667,614,2719,9.282923475976038e-06
6629,592,2779,7.3897249187639895e-06
6600,573,2827,1.0048125231371305e-05
6562,569,2869,5.0886796161957136e-06
6543,541,2916,7.910134096548272e-06
6515,517,2968,7.719130529012798e-06
6489,497,3014,7.441784316625597e-06
6465,483,3052,1.1208626158691729e-05
6430,470,3100,5.956123225571622e-06
6412,444,3144,7.025116195421873e-06
6392,435,3173,8.631479003927324e-06
6368,423,3209,7.796072561388502e-06
6347,413,3240,8.011258488595974e-06
6326,398,3276,6.752065734934552e-06
6309,386,3305,9.444522464412628e-06
6286,384,3330,6.628486583943154e-06
6270,382,3348,4.592633416000735e-06
6259,367,3374,8.271467832914609e-06
6240,355,3405,4.965691585409895e-06
6229,346,3425,7.423787857838174e-06
6213,338,3449,6.190493877601555e-06
6200,328,3472,5.40912667191188e-06
6189,309,3502,4.706125964167557e-06
6180,290,3530,6.137707845106573e-06
6169,267,3564,5.464072810591559e-06
6160,251,3589,5.8208723547368966e-06
6151,245,3604,3.98143324961264e-06
6145,230,3625,7.782927088123961e-06
6134,219,3647,8.188508396198746e-06
6123,211,3666,6.1921757215626265e-06
6115,206,3679,8.732307154934944e-06
6104,205,3691,6.393248729341815e-06
6096,203,3701,4.848531864551414e-06
6090,184,3726,4.462054686942243e-06
6085,177,3738,5.570797877526009e-06
6079,172,3749,5.738397915813877e-06
6073,159,3768,7.249326071579845e-06
6066,153,3781,5.387362110466782e-06
6061,147,3792,7.856632176051413e-06
6054,145,3801,1.0252554594853217e-05
6045,147,3808,6.752080484799379e-06
6039,142,3819,9.329032649282014e-06
6031,139,3830,7.157265399751165e-06
6025,134,3841,7.431721062736112e-06
6019,128,3853,3.893919255690314e-06
6016,123,3861,1.3514097906936516e-06
6015,113,3872,5.884992533415723e-06
6011,107,3882,4.664345895453351e-06
6008,103,3889,4.847905058627332e-06
6005,98,3897,8.496321092966746e-06
6000,92,3908,5.4347826086956525e-06
5997,85,3918,9.80882598161826e-06
5992,84,3924,1.9867760188187423e-06
5991,80,3929,1.669170422300117e-05
5983,82,3935,1.0191477478873068e-05
5978,82,3940,4.080000652800104e-06
5976,76,3948,4.403579229197492e-06
5974,72,3954,0.0
5974,65,3961,5.150524065823698e-06
5972,60,3968,5.581603036392051e-06
5970,60,3970,2.7917364600781684e-06
5969,59,3972,2.839529660307067e-06
5968,55,3977,1.2186205215695833e-05
5964,52,3984,3.224475055460971e-06
5963,47,3990,0.0
5963,46,3991,0.0
5963,41,3996,8.180527889464707e-06
5961,40,3999,8.387854386847844e-06
5959,37,4004,0.0
5959,33,4008,5.085254288140678e-06
5958,30,4012,1.1189437171310284e-05
5956,29,4015,1.1579166763159722e-05
5954,27,4019,0.0
5954,26,4020,6.4597814009973904e-06
5953,26,4021,1.2921733062838388e-05
5951,25,4024,6.721559401781213e-06
5950,25,4025,6.722689075630252e-06
5949,25,4026,1.3447638258530846e-05
5947,26,4027,1.9402154932674524e-05
5944,26,4030,1.2941298271042551e-05
5942,27,4031,1.8699278207861176e-05
5939,27,4034,0.0
5939,27,4034,0.0
5939,22,4039,7.653568859159025e-06
5938,19,4043,8.863519526333516e-06
5937,18,4045,9.357513147305972e-06
5936,19,4045,0.0
5936,18,4046,2.807726864330638e-05
5933,21,4046,8.026133089338887e-06
5932,21,4047,8.027486112449025e-06
5931,21,4048,8.028839591813796e-06
5930,21,4049,1.6060387055328034e-05
5928,22,4050,7.667770825665563e-06
5927,22,4051,0.0
5927,20,4053,1.6871941960519657e-05
5925,22,4053,0.0
5925,20,4055,8.438818565400844e-06
5924,19,4057,8.88446639894808e-06
5923,17,4060,0.0
5923,14,4063,1.205952581944478e-05
5922,15,4063,3.3772374197906115e-05
