S,I,R,Beta
9950,50,0,4.020100502512563e-06
9948,50,2,8.041817450743868e-06
9944,54,2,1.1173683740055422e-05
9938,58,4,1.0409365653257091e-05
9932,58,10,2.6039135084089045e-05
9917,70,13,1.5845805903282962e-05
9906,72,22,1.9628956636830653e-05
9892,78,30,2.851306935415306e-05
9870,95,35,2.452940862795286e-05
9847,113,40,1.9771530972552623e-05
9825,127,48,2.1638516559475867e-05
9798,145,57,2.4635569539174076e-05
9763,163,74,2.1993641952306472e-05
9728,183,89,2.0783901351740005e-05
9691,207,102,2.143529755433225e-05
9648,229,123,2.1272820757927973e-05
9601,262,137,2.186477076576788e-05
9546,292,162,1.9013916752049916e-05
9493,321,186,1.7720878443634317e-05
9439,342,219,2.01354465019773e-05
9374,369,257,1.734602368426074e-05
9314,393,293,1.9123582601036716e-05
9244,436,320,2.4563416289862206e-05
9145,495,360,1.723081001375151e-05
9067,535,398,1.5048924465737413e-05
8994,576,430,1.640754330047192e-05
8909,615,476,1.5148653001851603e-05
8826,653,521,1.5268823249143125e-05
8738,682,580,1.4934599876898624e-05
8649,710,641,1.4818940234074117e-05
8558,739,703,1.5179396751798837e-05
8462,781,757,1.3920786488121483e-05
8370,801,829,1.237998499486156e-05
8287,828,885,1.428230818422895e-05
8189,857,954,1.3109198339748528e-05
8097,885,1018,1.1164070671358368e-05
8017,908,1075,9.616129601249328e-06
7947,905,1148,1.0984373685611931e-05
7868,911,1221,1.2277217335207656e-05
7780,915,1305,1.3064183067133044e-05
7687,943,1370,9.518763068468463e-06
7618,940,1442,1.0752808298375069e-05
7541,930,1529,8.983150176882504e-06
7478,921,1601,8.711765151719746e-06
7418,910,1672,9.036528313961585e-06
7357,892,1751,1.1428668953213162e-05
7282,882,1836,1.1365893972713136e-05
7209,884,1907,9.571996793851828e-06
7148,883,1969,8.872434044543421e-06
7092,870,2038,9.886483718095831e-06
7031,858,2111,7.2937066252384135e-06
6987,830,2183,8.104552171761326e-06
6940,830,2230,6.770598243116558e-06
6901,805,2294,7.560340971377809e-06
6859,773,2368,8.67595987708051e-06
6813,768,2419,8.218051274524194e-06
6770,744,2486,6.353139244929401e-06
6738,709,2553,9.838312566120787e-06
6691,705,2604,8.267695252752983e-06
6652,682,2666,8.37619889857393e-06
6614,667,2719,4.760244613103185e-06
6593,619,2788,7.3510187409322125e-06
6563,592,2845,7.206658128492655e-06
6535,572,2893,8.293160550237826e-06
6504,557,2939,5.244666450255167e-06
6485,525,2990,8.224106913389874e-06
6457,506,3037,8.87598775970681e-06
6428,495,3077,7.228476425738404e-06
6405,483,3112,8.08116071327557e-06
6380,472,3148,6.309441581212476e-06
6361,455,3184,6.910241150140537e-06
6341,437,3222,6.134931687535659e-06
6324,410,3266,7.327872140201478e-06
6305,404,3291,6.281357715470199e-06
