S,I,R,Beta
9950,50,0,6.030150753768844e-06
9947,45,8,8.936251019291132e-06
9943,46,11,2.1863753831622857e-06
9942,39,19,7.737183355771164e-06
9939,37,24,1.3596451869920025e-05
9934,42,24,1.6777397490101335e-05
9927,45,28,8.954254950024065e-06
9923,45,32,1.1197330556395356e-05
9918,50,32,1.8148820326678767e-05
9909,55,36,1.4679033752603236e-05
9901,60,39,1.6833316500016834e-05
9891,66,43,1.8382183987279528e-05
9879,73,48,2.0799620614919985e-05
9864,82,54,1.4835914782505489e-05
9852,90,58,1.24058284837822e-05
9841,96,63,2.540392236561325e-05
9817,108,75,1.5090979744132438e-05
9801,121,78,1.686452976210051e-05
9781,134,85,1.7548491058662316e-05
9758,143,99,1.79160867826578e-05
9733,156,111,1.844109519029893e-05
9705,168,127,1.1653296042785997e-05
9686,179,135,1.2112165574456942e-05
9665,187,148,1.7705431417734755e-05
9633,193,174,2.0977113968660192e-05
9594,219,187,2.2845328558659665e-05
9546,256,198,1.9641734758013828e-05
9498,282,220,1.3440679560758592e-05
9462,295,243,2.3644981352707886e-05
9396,340,264,1.659028873362883e-05
9343,363,294,1.6511824087743834e-05
9287,392,321,1.7305296189758342e-05
9224,420,356,1.7810680213108662e-05
9155,459,386,1.808600131599457e-05
9079,502,419,1.4261710729501862e-05
9014,518,468,1.5634195798384836e-05
8941,559,500,1.3405311184291217e-05
8874,587,539,1.6125818241295224e-05
8790,622,588,1.4632237012975137e-05
8710,648,642,1.3288259556916273e-05
8635,663,702,1.3799114585926125e-05
8556,678,766,1.46527269241961e-05
8471,722,807,1.258980043040767e-05
8394,739,867,1.2896640199536817e-05
8314,760,926,1.1078333312231746e-05
8244,753,1003,1.0470812850812502e-05
8179,759,1062,1.1759283914378881e-05
8106,774,1120,9.244436283838622e-06
8048,778,1174,1.3255939938773529e-05
7965,812,1223,1.3606325704513898e-05
7877,840,1283,9.823657786080027e-06
7812,847,1341,1.0428058186751106e-05
7743,852,1405,1.0610825831479471e-05
7673,870,1457,1.1684500510073388e-05
7595,869,1536,1.121202777855639e-05
7521,877,1602,9.399754423835231e-06
7459,863,1678,7.922801465314364e-06
7408,845,1747,1.054353521540762e-05
7342,847,1811,7.397075325061259e-06
7296,834,1870,8.710137153435147e-06
7243,819,1938,9.440296614119616e-06
7187,809,2004,8.94349311858401e-06
7135,794,2071,6.3545971097174146e-06
7099,782,2119,1.2429256813304276e-05
7030,783,2187,8.901823783856452e-06
6981,773,2246,7.968403611873514e-06
6938,756,2306,8.388737129008101e-06
6894,733,2373,8.11350677240347e-06
6853,714,2433,9.605476511339981e-06
6806,706,2488,7.908369469032074e-06
6768,683,2549,7.138926097837035e-06
6735,662,2603,8.747199214097793e-06
6696,651,2653,4.129296533042631e-06
6678,613,2709,7.8170535863909e-06
6646,607,2747,7.188676990928881e-06
6617,595,2788,8.381771931985731e-06
6584,567,2849,6.964668771068123e-06
6558,545,2897,6.155378541790823e-06
6536,529,2935,8.098233890877455e-06
6508,526,2966,6.13459655387578e-06
6487,501,3012,5.538483692396308e-06
6469,482,3049,9.300660860060974e-06
6440,480,3080,6.7934782608695655e-06
6419,471,3110,8.930493965466772e-06
6392,459,3149,7.839319846976477e-06
6369,455,3176,7.591717436277022e-06
6347,437,3216,4.3264462318275735e-06
6335,420,3245,5.637614161686774e-06
6320,398,3282,7.5535907385026396e-06
6301,388,3311,7.771635004752969e-06
6282,373,3345,7.681848560037488e-06
6264,361,3375,5.748895327651656e-06
6251,337,3412,8.544626924973903e-06
6233,326,3441,6.397770032648313e-06
6220,314,3466,6.144141561021566e-06
6208,292,3500,6.619827707950854e-06
6196,273,3531,4.138319180281737e-06
6189,263,3548,7.986695394195638e-06
6176,263,3561,7.387852400559507e-06
6164,262,3574,7.430487786754908e-06
6152,251,3597,4.5332324797040706e-06
6145,240,3615,4.0683482506102525e-06
6139,227,3634,5.023131520652605e-06
6132,223,3645,5.119069557917153e-06
6125,214,3661,6.866297921037574e-06
6116,201,3683,4.067302467388369e-06
6111,187,3702,4.375383392969809e-06
6106,177,3717,5.551638566122791e-06
6100,168,3732,8.782201405152225e-06
6091,168,3741,3.908967954280711e-06
6087,161,3752,7.142806122813409e-06
6080,150,3770,3.2894736842105265e-06
6077,140,3783,2.350783986459484e-06
6075,135,3790,6.0966316110349035e-06
6070,128,3802,7.722405271828666e-06
6064,125,3811,5.2770448548812665e-06
6060,120,3820,2.7502750275027504e-06
6058,114,3828,5.7919642288289226e-06
6054,111,3835,4.464325574335485e-06
6051,104,3845,7.94528558534508e-06
6046,100,3854,6.615944426066821e-06
6042,99,3859,1.0030794539235453e-05
6036,92,3872,1.4406315728815512e-05
