S,I,R,Beta
9950,50,0,6.030150753768844e-06
9947,46,7,1.3112977039177205e-05
9941,49,10,6.15878581590568e-06
9938,46,16,8.749901563607409e-06
9934,46,20,1.3130137166166263e-05
9928,48,24,2.0984421165726566e-05
9918,57,25,3.0071144790793278e-05
9901,72,27,3.086108025003086e-05
9879,93,28,2.2857217492955078e-05
9858,107,35,2.2752999129697784e-05
9834,125,41,2.928615009151922e-05
9798,154,48,2.1207614594019983e-05
9766,170,64,1.9274553974774428e-05
9734,197,69,2.3988343750880006e-05
9688,228,84,1.8108855954916192e-05
9648,244,108,1.7841122257564635e-05
9606,266,128,1.76111734677105e-05
9561,283,156,1.810949443835251e-05
9512,312,176,1.9543464665415885e-05
9454,351,195,1.4163648604097092e-05
9407,369,224,1.2387707591331255e-05
9364,385,251,1.4978613867977388e-05
9310,420,270,1.3042811109406169e-05
9259,429,312,1.032196733676375e-05
9218,434,348,1.2748049548419091e-05
9167,444,389,1.8918230983246802e-05
9090,485,425,1.519739602826262e-05
9023,522,455,1.1464953547829876e-05
8969,527,504,1.3540207964900396e-05
8905,537,558,1.4847390780188562e-05
8834,567,599,1.9365614415044648e-05
8737,617,646,1.0573709047514725e-05
8680,614,706,1.3884927723322175e-05
8606,630,764,1.0328711235055646e-05
8550,630,820,1.5965840527244035e-05
8464,661,875,1.3048054016798744e-05
8391,685,924,1.0612691561257412e-05
8330,689,981,1.027987392344456e-05
8271,695,1034,1.0611749990649482e-05
8210,693,1097,1.3357869630707634e-05
8134,718,1148,1.1985866266498544e-05
8064,731,1205,1.1365980500727423e-05
7997,735,1268,9.35725046552321e-06
7942,735,1323,9.59336139391541e-06
7886,734,1380,1.0883979542264738e-05
7823,741,1436,9.142907613678687e-06
7770,746,1484,7.763412589149855e-06
7725,742,1533,9.42087771177348e-06
7671,726,1603,8.978037207140915e-06
7621,727,1652,8.48303942609892e-06
7574,706,1720,6.732440113075072e-06
7538,700,1762,7.201607095478149e-06
7500,679,1821,7.854688267059402e-06
7460,660,1880,7.717929969940694e-06
7422,639,1939,9.488350203619995e-06
7377,635,1988,7.898565343016548e-06
7340,607,2053,8.30456661384663e-06
7303,605,2092,9.505886293756782e-06
7261,601,2138,6.416336359017851e-06
7233,576,2191,7.920871929582008e-06
7200,564,2236,8.372734436564223e-06
7166,560,2274,6.479008014034528e-06
7140,540,2320,1.1152609191824879e-05
7097,540,2363,7.306164837516113e-06
7069,525,2406,9.969753922222446e-06
7032,525,2443,8.39698791917222e-06
7001,517,2482,7.459558830639558e-06
6974,500,2526,7.743045597935187e-06
6947,485,2568,8.310343855316914e-06
6919,480,2601,1.0237510237510238e-05
6885,479,2636,6.9741033349858924e-06
6862,470,2668,4.961024947754206e-06
6846,452,2702,6.786470492426299e-06
6825,434,2741,6.076872436319441e-06
6807,425,2768,5.530638875206319e-06
6791,408,2801,9.38381537271071e-06
6765,397,2838,7.074492544788054e-06
6746,388,2866,6.494875924946742e-06
6729,371,2900,7.210212545048807e-06
6711,367,2922,6.902328398980567e-06
6694,348,2958,6.439116862244109e-06
6679,323,2998,6.953081072461766e-06
6664,313,3023,5.273674965193745e-06
6653,295,3052,6.623748175284758e-06
6640,283,3077,9.578951849802035e-06
6622,284,3094,6.380779390933338e-06
6610,273,3117,1.0529057427695854e-05
6591,270,3139,6.743202009474199e-06
6579,253,3168,6.007857075483317e-06
6569,243,3188,5.638154519262755e-06
6560,230,3210,6.627783669141039e-06
6550,212,3238,5.041048538095924e-06
6543,196,3261,8.577479593396276e-06
6532,193,3275,5.552576554166177e-06
6525,187,3288,9.834654865080829e-06
6513,192,3295,8.79650954501254e-06
6502,189,3309,7.323753863280163e-06
6493,177,3330,8.701243668757575e-06
6483,174,3343,7.978426335189647e-06
6474,171,3355,9.032983034251265e-06
6464,170,3366,5.460104834012813e-06
6458,167,3375,9.272257590733677e-07
6457,158,3385,4.900970980370631e-06
6452,155,3393,5.999640021598704e-06
