S,I,R,Beta
9950,50,0,1.2060301507537688e-05
9944,55,1,1.0970525853872595e-05
9938,59,3,2.3876850029504965e-05
9924,69,7,2.1905613094299285e-05
9909,78,13,3.105180216896838e-05
9885,98,17,1.858102876962621e-05
9867,114,19,2.4892473405059218e-05
9839,129,32,1.8909087471075005e-05
9815,143,42,1.8524521835780114e-05
9789,162,49,1.576473466690377e-05
9764,170,66,1.686868930284117e-05
9736,182,82,2.2009625542904096e-05
9697,212,91,1.6538863410391465e-05
9663,222,115,2.5172642372269817e-05
9609,264,127,1.734485031394179e-05
9565,294,141,1.4935404376073483e-05
9523,317,160,1.391285451692416e-05
9481,335,184,1.7946340442078185e-05
9424,364,212,1.3409765107557978e-05
9378,382,240,1.646942437407813e-05
9319,411,270,1.5926439691403038e-05
9258,439,303,1.2794450751452539e-05
9206,461,333,1.3666461983908447e-05
9148,481,371,1.2726728948854003e-05
9092,492,416,1.5201427861176983e-05
9024,526,450,1.3693943316344416e-05
8959,544,497,1.57990978509944e-05
8882,577,541,1.1122137854410825e-05
8825,585,590,1.200939444565507e-05
8763,611,626,1.2700326641195041e-05
8695,624,681,1.6772091240176345e-05
8604,669,727,1.528819285916308e-05
8516,693,791,1.3047335734043108e-05
8439,715,846,1.358991760698124e-05
8357,750,893,1.1487375852578676e-05
8285,769,946,1.0202215764306842e-05
8220,772,1008,1.2449100513092042e-05
8141,785,1074,9.232187159905394e-06
8082,772,1146,1.1700022951277899e-05
8009,779,1212,1.234169967002783e-05
7932,784,1284,1.3025255487974313e-05
7851,803,1346,1.1896541960769012e-05
7776,816,1408,9.45594287097555e-06
7716,814,1470,1.1304249251372113e-05
7645,814,1541,9.159525183069984e-06
7588,797,1615,9.42517043023092e-06
7531,801,1668,1.21014579604468e-05
7458,805,1737,9.827289550259924e-06
7399,783,1818,1.2255289063431823e-05
7328,795,1877,8.582571201010683e-06
7278,785,1937,7.0012934889720875e-06
7238,764,1998,1.0307727251026794e-05
7181,758,2061,1.010435409478031e-05
7126,757,2117,9.454280397643326e-06
7075,752,2173,7.894143297496428e-06
7033,736,2231,6.761602136511724e-06
6998,717,2285,9.566391353895494e-06
6950,705,2345,1.163324659421399e-05
6893,711,2396,6.529382322472726e-06
6861,683,2456,9.602943878475385e-06
6816,683,2501,7.518267241320053e-06
6781,659,2560,9.846310285433345e-06
6737,639,2624,6.271860045533704e-06
6710,617,2673,6.521628861347755e-06
6683,594,2723,8.816782720718079e-06
6648,582,2770,9.821314112504704e-06
6610,578,2812,1.073135492516843e-05
6569,563,2868,8.111732079223501e-06
6539,548,2913,7.813869171272198e-06
6511,522,2967,5.590303706489048e-06
6492,498,3010,7.423408977870817e-06
6468,481,3051,6.75000675000675e-06
6447,461,3092,5.719924887292244e-06
6430,441,3129,8.81638295546316e-06
6405,421,3174,5.56275623445905e-06
6390,401,3209,5.463649171281499e-06
