rmse_I,rmse_Beta,time_predict,norm_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2969.560771475892,8.044593113985691e-07,0.0019948482513427734,97,4324,6994.109254425539,105,148
3070.3252674455457,8.023457569868287e-07,0.000997781753540039,93,4219,6961.543354193807,99,146
3203.5969378540603,8.867209634245521e-07,0.001992940902709961,91,4649,7575.986689989291,98,140
3533.438966026083,9.410501150836972e-07,0.001994609832763672,81,4693,8792.700895141114,95,132
2994.2141764699372,7.86704510589808e-07,0.0019936561584472656,99,4172,6677.749342374908,110,152
3338.983900745253,8.420731604871237e-07,0.0019943714141845703,79,4296,8243.059689558719,92,135
3264.414580766591,8.720379481559566e-07,0.001995563507080078,89,4675,7926.323509951191,99,140
3279.416568775422,8.246074121037573e-07,0.0019948482513427734,84,4179,7900.659164626273,93,140
3354.996883476637,8.96033017440015e-07,0.001995086669921875,85,4475,8075.4310074029645,95,137
3298.316064745746,8.455766861186807e-07,0.0019941329956054688,96,4293,7197.365256694073,102,149
3526.1408669959087,9.432597294433982e-07,0.001995086669921875,72,4310,8835.103656534739,89,127
3050.0129794330583,8.032515361219278e-07,0.000997304916381836,90,4385,7161.564248430208,102,142
3297.4011086989685,8.55769974838239e-07,0.0019948482513427734,80,4555,8254.948857269956,91,132
3567.6994005815905,9.633363370365276e-07,0.002003908157348633,72,4594,9344.481680150951,85,125
2977.8307602904697,8.215618138431867e-07,0.000997304916381836,91,4611,6914.202025332209,95,139
3275.2325280832283,8.64880225519771e-07,0.0019948482513427734,85,4611,7881.79701666508,90,135
3430.8295158708297,8.690565199482385e-07,0.001994609832763672,80,4380,8273.261581936327,88,134
3330.82311726087,9.166281267293969e-07,0.001994609832763672,77,4712,8403.731757001457,84,128
3227.916745852495,8.584131522472407e-07,0.001995086669921875,85,4402,7622.517620801908,96,137
3217.5899537819214,8.497387010813178e-07,0.001994609832763672,84,4609,7838.169766809429,94,135
2959.120390706776,7.774635981103643e-07,0.001995563507080078,85,4205,6942.861602210615,93,137
2927.6812733228003,8.293156537130256e-07,0.0019941329956054688,83,4501,7395.750952166606,89,134
3466.7273456652542,9.109003729408602e-07,0.0019948482513427734,74,4437,8770.302493872068,89,128
3096.1475366434925,8.082359975961665e-07,0.001994609832763672,78,4329,7883.158307960834,92,132
2951.426296165185,7.912531457073656e-07,0.001994609832763672,89,4278,6889.429711507068,96,141
3328.019084757074,8.75585903424582e-07,0.001995563507080078,76,4261,8060.903765844573,93,130
2870.961938180978,7.728648138291631e-07,0.0019943714141845703,87,4367,6880.654304319902,95,138
2659.153681251253,7.555122260794784e-07,0.001994609832763672,96,4389,6092.894674394313,100,143
3517.6647795476138,9.485042492907876e-07,0.0019943714141845703,72,4603,9052.097232489814,82,125
2831.1170758703174,7.722690946441151e-07,0.001994609832763672,90,4370,6645.041573723409,93,140
3082.632841216891,8.536847237608385e-07,0.0019943714141845703,76,4643,7910.132620269245,92,127
2792.1972645042165,7.767060174102587e-07,0.0019943714141845703,88,4330,6512.765765934773,96,138
3321.869868325111,8.950830505415119e-07,0.0019943714141845703,69,4490,8591.558913268573,78,123
3273.5645886224606,9.035287295799283e-07,0.001995086669921875,69,4592,8526.939537412152,83,121
3247.109186435316,8.862527591934038e-07,0.001994609832763672,73,4848,8355.244954656675,85,125
3069.2919765782394,8.051555364807365e-07,0.0019948482513427734,77,4211,7567.390215139887,87,131
3051.9962842051705,8.440440532463967e-07,0.0019948482513427734,78,4590,7625.80245584387,88,130
3325.4007360123255,8.539374868405508e-07,0.001994609832763672,73,4464,8485.984713813135,85,126
3313.1649917196496,9.032994223703814e-07,0.001994609832763672,68,4534,8730.423330031495,86,122
2967.5880453026675,8.327909309481952e-07,0.0019943714141845703,84,4541,7109.18233911742,96,134
2774.7736324591997,7.450033650104639e-07,0.001994609832763672,82,4520,6770.179507832911,88,131
2903.461998986474,7.913841596591274e-07,0.0029506683349609375,79,4578,7231.1133878232795,90,129
3099.5744258517884,8.681131084158023e-07,0.0019948482513427734,72,4620,8171.919499142361,82,124
3012.84159197006,8.309156505909402e-07,0.001994609832763672,75,4666,7690.939925397923,88,126
2848.2575960580684,8.124546121464187e-07,0.001994609832763672,81,4574,7005.850572463928,86,130
2766.164021994773,7.377800660848369e-07,0.001994609832763672,82,4260,6627.434330763934,91,133
2974.9531106432078,7.990227655825236e-07,0.0019779205322265625,79,4508,7346.585019236,88,129
2846.8197413214616,7.983061586116841e-07,0.001994609832763672,81,4430,6821.282410730343,85,131
2789.115013334457,7.641997824498237e-07,0.001994609832763672,79,4485,6860.445762479925,87,129
2928.875313891192,8.362774740210964e-07,0.001994609832763672,79,4748,7410.790684056068,85,127
3093.75392128702,8.45194680735586e-07,0.0029916763305664062,68,4607,8029.807937121215,82,120
2572.427561200728,7.498247919671286e-07,0.0009975433349609375,84,4578,6286.3177294937805,90,131
3108.6191418333797,8.391967449268067e-07,0.001994609832763672,68,4355,8010.387141316422,79,122
2785.2524259138536,7.965157378891159e-07,0.0019948482513427734,77,4696,7062.4959133827015,82,125
2949.0723729331003,8.428571856702309e-07,0.0019953250885009766,77,4812,7442.057100521192,84,124
2719.2915899000463,7.605538192377147e-07,0.0019941329956054688,80,4547,6798.156744185944,87,129
3230.6349399775536,9.036804957476354e-07,0.0019943714141845703,67,4605,8470.276837165384,74,119
2801.8006015091537,7.616916730384549e-07,0.001995086669921875,76,4361,7100.816011789959,80,128
2795.256871395783,7.92997927703127e-07,0.0019948482513427734,77,4654,7141.802007774871,80,126
3074.0650904672,8.752136894681106e-07,0.001994609832763672,72,4716,7972.116518706594,85,122
2806.686166768021,2.010819717327518e-06,0.0019948482513427734,55,12665,18561.909212490435,70,80
3168.2097979646105,2.2823810786755885e-06,0.002991914749145508,46,13052,21075.828533601052,67,74
2706.3549415526873,1.9740537125632325e-06,0.0019948482513427734,58,12693,17949.635606361175,70,81
3144.434993366444,2.34987034516791e-06,0.001995563507080078,44,13213,21384.589574128127,68,72
3104.6979358068124,2.205693026090961e-06,0.001994609832763672,46,12957,20740.005814781645,66,72
3000.7157125861518,2.117357187779494e-06,0.0019948482513427734,47,12822,20255.15566046417,71,75
2985.081453235471,2.0380792692035967e-06,0.002991914749145508,47,12857,20368.30558929383,68,76
2538.0776177559396,1.8769400575940173e-06,0.0019948482513427734,58,13139,17961.563296135497,74,82
2905.8465311862824,2.124482518128784e-06,0.0019943714141845703,50,12987,19877.157563937362,70,76
3100.570042127856,2.1764531505033543e-06,0.0019943714141845703,49,12821,20081.607339836955,66,75
2944.3266352218993,2.2254686320221705e-06,0.001993894577026367,46,13075,20270.554092853916,64,72
2657.70074779849,1.9391329576953054e-06,0.0019948482513427734,50,12967,18937.0792723274,68,77
3225.366754842912,2.264134455427594e-06,0.0019936561584472656,41,12895,21525.323244089905,66,71
2807.849002917583,1.9712322453990747e-06,0.0019948482513427734,51,12677,18887.848658731848,69,78
2754.2773256625105,2.0525255251912414e-06,0.002992868423461914,50,13253,19418.462928384757,68,76
2971.0739654590784,2.0394129789614897e-06,0.001994609832763672,49,12285,19001.57470623819,69,76
2715.7035082605403,2.0728660789396963e-06,0.001994609832763672,53,13034,18648.267815697334,67,77
2746.299875496627,1.97624346522076e-06,0.0029914379119873047,53,13007,18461.029466782304,66,77
3026.6899831740575,2.1197303249697618e-06,0.001994609832763672,46,12722,20286.61639692514,67,74
2977.195155696229,2.0139263322837655e-06,0.0029909610748291016,49,12482,19327.0185826651,66,76
2946.069918907209,2.01160288703125e-06,0.0019948482513427734,46,12815,19810.668390007344,62,73
2587.6500325836664,1.958652964132371e-06,0.0019943714141845703,55,12882,17822.716285702656,69,79
2979.532603527715,2.1244437167560833e-06,0.002991914749145508,46,12807,19998.212596054862,62,73
2729.8953141129327,2.0882860782882695e-06,0.002992391586303711,48,13543,19610.491888793433,65,73
2678.6263593193407,2.0227050885328845e-06,0.001994609832763672,50,13102,18743.33995199587,66,75
2756.886863254618,1.9690546665614956e-06,0.0019948482513427734,48,12864,19297.48545941013,67,74
2956.5959058734043,2.0231943291753833e-06,0.0029914379119873047,45,12443,19622.566164011085,68,74
2919.922959431007,1.9790696969526436e-06,0.002992391586303711,48,12576,19239.625145616425,67,74
3032.9072099239816,2.1374857634023453e-06,0.0019948482513427734,41,12819,20740.597012866136,65,71
2826.217609736407,2.002083830673674e-06,0.0029926300048828125,48,12821,19168.860579780023,66,74
2566.658440091977,1.9434589369496144e-06,0.0029916763305664062,51,12853,17891.766897235164,67,75
2580.235684765885,1.9147441719971677e-06,0.001994609832763672,52,12858,17727.954540590363,66,75
2987.644011567632,2.0306457850908918e-06,0.001994609832763672,43,12417,19816.1603257084,63,71
2741.850377663942,1.9714272837058917e-06,0.001995086669921875,48,13047,18875.69070183375,66,73
2645.391278818952,2.023963282153202e-06,0.001993894577026367,51,13086,18166.49896769624,64,74
2796.30857008799,1.950957047182839e-06,0.002991914749145508,44,12930,19612.748585064048,64,72
2901.8800768047136,2.0203147686204306e-06,0.0029916763305664062,42,12944,20166.753201500003,63,70
2729.967710749339,2.07304623256629e-06,0.001994609832763672,47,13116,19131.882025130257,64,72
2415.582854544424,1.8815382232110255e-06,0.0020895004272460938,52,12973,17407.26656354168,65,76
2613.7535743794874,1.872280134091264e-06,0.0019948482513427734,50,13002,18308.55212949141,65,75
2624.579713434439,2.0050240159678565e-06,0.0029921531677246094,48,12991,18456.15501742421,63,72
2844.7701566033898,2.073982865196499e-06,0.001994609832763672,45,12719,19244.150637130442,63,70
2818.019060022707,1.991478870076855e-06,0.001994609832763672,42,12933,19848.171534240584,64,70
2684.7501726139917,1.970154545732503e-06,0.001993894577026367,46,12978,18797.634433862455,64,72
2663.979935678083,1.9527885134217867e-06,0.0029916763305664062,45,13122,19061.648167929285,66,71
2605.6331356725946,1.8913633738177964e-06,0.002989530563354492,49,13037,18322.20711364786,62,74
2632.368768763584,2.0497936832498848e-06,0.0019943714141845703,48,13221,18534.522047722454,65,72
2510.4925986603407,2.00301707840049e-06,0.001996755599975586,50,13608,18528.92309694959,66,73
2628.79093022537,1.8436720510357282e-06,0.001994609832763672,48,12958,18554.16195852761,65,73
2783.9671571670165,2.1104366225242344e-06,0.0029921531677246094,43,13012,19431.470054288548,62,69
2437.388161008707,1.7367679643427183e-06,0.0029914379119873047,50,12565,17170.630812568466,65,75
2510.3415767317806,1.7850939571275207e-06,0.001995086669921875,50,12641,17245.81623863601,65,74
2645.415904031168,1.9731199254867928e-06,0.0019948482513427734,45,12885,18707.094240806313,61,72
2710.4764847777983,1.997964347812172e-06,0.001994609832763672,45,12875,18789.37656532864,62,70
2658.0856371823825,1.9184203948174294e-06,0.002991199493408203,45,12991,18787.258370053944,61,71
2843.048715574431,2.024385114269914e-06,0.001994609832763672,42,12727,19453.11386432084,61,69
2566.3942124344903,1.7696893276957108e-06,0.0029935836791992188,46,12661,18305.760208310636,63,73
2822.0336777301704,1.942061088008675e-06,0.0019953250885009766,41,12751,19604.814213210604,65,70
2580.4686146700265,1.9055887505474993e-06,0.0019943714141845703,47,13061,18427.62591496441,64,71
2584.3236976222684,1.944110401684873e-06,0.0019958019256591797,47,13073,18543.35238797642,64,72
1.1155789692738238,1.6111715287688615e-06,0.0009970664978027344,227,18772,5.0,56,227
1.1339685315614236,9.344381335437081e-06,0.000997304916381836,244,18734,3.0,58,244
0.9678202684983847,1.626561555932668e-06,0.0,226,18698,4.0,60,226
2.6875645907560735,1.765028371332811e-06,0.0009970664978027344,207,18918,15.0,57,207
3.1284706317046096,1.7454227827228652e-06,0.0009970664978027344,206,18837,18.0,55,206
1.3257502736031719,1.7440164424309848e-06,0.0,218,18797,7.0,57,218
1.5636633711488985,1.7705828636945315e-06,0.0009961128234863281,214,18955,15.0,55,214
0.3789533224722883,1.6867077183077117e-06,0.0,238,18814,3.0,58,238
0.8060966292757913,9.448840447629627e-06,0.000997304916381836,219,18831,3.100077560666314,60,222
2.1384598464706177,1.7964174387423494e-06,0.0009970664978027344,201,18830,32.0,59,201
0.7650071574401851,1.763913651859057e-06,0.0009961128234863281,220,18823,6.0,57,220
2.1747825011938398,1.6486909562216037e-06,0.0009970664978027344,206,18758,12.0,56,206
0.5969766507715744,1.7346288655104956e-06,0.0,229,18670,10.0,56,229
1.6743950651808148,1.7627576520554082e-06,0.0,231,18565,4.0,60,231
0.8062481042796394,1.7579524838850061e-06,0.000997304916381836,210,18952,10.0,56,210
1.0145341149066511,1.5952678540674203e-06,0.000997304916381836,222,18638,9.0,58,222
3.568713563511889,1.6985848449006101e-06,0.000997304916381836,198,18922,30.0,55,198
0.6414426078700911,1.6548512858340988e-06,0.0009975433349609375,224,18889,7.0,58,224
1.9089964247618723,1.6694093454812665e-06,0.0,208,18974,9.0,56,208
2.0560330784403984,1.8108862219385754e-06,0.0,216,18917,5.0,55,216
2.233139651398259,1.6171188618256221e-06,0.0009279251098632812,200,19189,15.0,54,200
1.517770856727343,1.6804948081021059e-06,0.0009965896606445312,204,18766,21.0,53,204
2.0004864001842364,1.7018845821476746e-06,0.0009970664978027344,209,19064,8.0,53,209
2.721346852302437,1.6156020883865282e-06,0.0009965896606445312,222,18732,9.0,54,222
2.164875924521735,6.295129734268838e-06,0.0009975433349609375,207,18873,8.0,54,207
2.28313120364461,1.7294242097013365e-06,0.000997304916381836,210,19110,10.0,57,210
1.7136768642684226,1.661799700876205e-06,0.0009961128234863281,224,19058,5.0,54,224
1.2276694562221735,1.6828545486871319e-06,0.000997304916381836,201,19080,20.0,55,201
2.2065193543182096,1.664734751380343e-06,0.000997304916381836,199,18725,21.0,54,199
0.5233133129667475,1.6067105884921064e-05,0.000997304916381836,219,18477,2.0,55,219
1.3716250205592089,1.6159283288851718e-06,0.0009975433349609375,224,19158,2.3876333459940406,53,230
0.4578305044501108,1.622948973880406e-06,0.0009970664978027344,240,18637,4.0,56,240
2.435211034771957,1.7030858940186423e-06,0.000997304916381836,201,19069,21.0,55,201
0.8476649800153523,1.616563258597807e-06,0.0,219,18824,8.0,53,219
1.4380149850340718,1.647918867097791e-06,0.0009970664978027344,207,18990,9.0,52,207
1.6718175904442434,1.7014639575594993e-06,0.0009970664978027344,195,18527,20.0,53,195
1.2918023521451591,1.5993715101896279e-06,0.0009968280792236328,215,18781,7.0,54,215
2.0618798409136927,1.7178483893429132e-06,0.0019953250885009766,191,18975,32.0,53,191
3.319008682512093,1.6264666469849817e-06,0.0009963512420654297,199,18810,18.0,53,199
1.6801284427304393,1.8300523822782328e-05,0.0009975433349609375,229,18727,1.0,56,229
1.2710015799525984,1.665568526510487e-05,0.000997304916381836,228,19179,5.0,53,228
0.9254789793907146,5.394948248168808e-06,0.000997781753540039,209,19075,10.0,54,209
1.0803087326146699,1.71320545916183e-06,0.000997781753540039,218,18760,3.0,53,218
1.319965957000034,1.5962819162478108e-06,0.0009968280792236328,205,18864,11.0,53,205
1.2372762843560665,1.5544846242161652e-06,0.0009975433349609375,224,19059,6.0,54,224
1.0562053622019585,6.9068105471108494e-06,0.0009970664978027344,221,18973,6.0,54,221
1.3530893550074385,1.668421232178785e-06,0.0009970664978027344,219,18857,10.0,54,219
3.16397153525897,1.697063440613108e-06,0.0009984970092773438,192,18591,26.0,53,192
1.479137821359745,8.822251839923875e-06,0.0,223,18947,4.0,54,223
1.5168774356755612,1.5812631278193491e-06,0.0009989738464355469,209,18920,17.0,54,209
1.3635616693968418,1.6495694224388563e-06,0.0009982585906982422,217,19224,10.0,52,217
1.8001460063432015,5.9183300350008576e-06,0.0009970664978027344,213,18722,8.0,52,213
1.9806775460132653,1.6494178883128121e-06,0.0019941329956054688,196,18840,21.0,52,196
3.144038200418681,1.6990081065273076e-06,0.0009968280792236328,182,19007,50.0,52,182
0.8334495755550692,2.0056719982749864e-05,0.0,221,18857,1.0,54,221
1.0859508664756625,1.6274029113067697e-06,0.0009965896606445312,198,19137,14.0,50,198
1.7227337908915428,1.5749382268894605e-06,0.000997304916381836,206,18661,9.0,51,206
0.5920628383198858,1.4886172439195604e-06,0.0009963512420654297,230,18984,3.0,53,230
0.6790383778713479,1.5873249137997872e-06,0.0009970664978027344,202,18928,13.0,52,202
1.533729275351459,1.4981857344249376e-06,0.000997304916381836,227,18958,4.0,52,227
0.5992518227903986,2.0534738326670734e-06,0.000997304916381836,194,23156,4.0,51,194
1.0395626124104818,2.275913189037892e-06,0.0009975433349609375,205,22887,2.063326992227987,51,208
1.843571429858335,2.092955816265555e-06,0.0009970664978027344,190,23027,14.0,51,190
2.45490575740897,2.0660457792602563e-06,0.000997304916381836,172,23041,29.0,50,172
1.4814629756519582,2.054385006433636e-06,0.0009987354278564453,181,23003,26.0,51,181
2.400939829112102,2.1960034372063367e-06,0.0009963512420654297,162,23073,59.0,52,162
1.752748730484208,2.0386710676404817e-06,0.0009970664978027344,177,22825,21.0,50,177
0.8921946907695191,1.9438023513525995e-05,0.0009510517120361328,197,22838,4.0,48,197
0.6483415456747498,2.1868456843344074e-06,0.0009970664978027344,203,23031,3.0,49,203
2.5329052008801654,2.0860023040352335e-06,0.000997781753540039,175,23052,28.0,51,175
3.349018112466257,2.1703081702630944e-06,0.001993417739868164,158,22942,67.0,47,158
3.0588370605732025,2.0984030330010376e-06,0.0009965896606445312,169,22826,33.0,48,169
2.543026779257337,2.1458522821648207e-06,0.0019943714141845703,163,22993,50.0,50,163
0.8898063153272951,1.9269467669724956e-06,0.001993417739868164,189,22882,5.0,48,189
1.8734515172300827,2.021157368833098e-06,0.000997304916381836,182,22940,29.0,49,182
2.9006503465543303,2.0923752634204814e-06,0.001994609832763672,170,22776,34.0,48,170
0.9746113709889754,2.0361194563079703e-06,0.0019943714141845703,202,23159,5.0,49,202
0.5849003615905697,2.5126016474821405e-05,0.0009975433349609375,222,22745,1.0,47,222
1.1492215753762314,2.028083561422358e-06,0.000997304916381836,185,22920,10.0,49,185
1.263177722939622,2.039535002516796e-06,0.0009970664978027344,182,23120,26.0,50,182
1.3637142829576967,1.9746167827454206e-06,0.001994609832763672,182,22801,10.0,48,182
0.6092961185218094,2.1162250099403033e-06,0.000997304916381836,201,22774,3.0,49,201
1.2498596445230234,1.9843902297382765e-06,0.0008573532104492188,180,22586,18.0,48,180
2.042631798479574,2.0574566144905987e-06,0.0019953250885009766,177,23246,18.0,48,177
1.5158939382062049,2.0333397877953556e-06,0.0009970664978027344,178,23093,11.0,49,178
2.043267246378004,1.961442805042745e-06,0.0009970664978027344,184,22578,14.0,50,184
1.0397431444377765,2.0775319148054254e-06,0.0009970664978027344,203,23192,2.0624478124571097,48,206
1.8071329983015196,2.0634790150321106e-06,0.0009970664978027344,179,23306,26.0,47,179
0.9474569442094442,1.9204218026536544e-06,0.0009970664978027344,186,22914,10.0,49,186
0.5239928530170119,2.243367965196053e-06,0.0009975433349609375,215,23205,3.0,48,215
0.970942517885903,2.0380348581563774e-06,0.000997781753540039,192,23305,6.0,47,192
