rmse_I,rmse_Beta,time_predict,norm_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
153.03453382813737,4.939891893353202e-06,0.002505779266357422,53,421,228.27000342616742,130,80
15.744614428314081,3.6090603093780204e-06,0.0,67,429,419.6024618516607,94,105
12.905230843092006,3.399477746737862e-06,0.0,68,504,497.73902723033245,99,92
43.093589942496926,3.8116462984697154e-06,0.0,64,526,559.7672685727986,84,87
84.49901941910805,4.089155437224552e-06,0.0,109,400,417.5558853202656,118,134
59.97443451764931,3.5340667886696274e-06,0.016565322875976562,88,417,450.2095111934319,119,119
114.57834665245201,4.282373516345891e-06,0.0044171810150146484,80,392,482.8711827707589,106,118
93.82984259580394,3.8234772651316805e-06,0.016695261001586914,86,352,415.6195682359463,110,127
65.38514855511977,4.172493363858223e-06,0.0,58,334,349.04067296635,110,84
104.67770075569904,4.6092335972792274e-06,0.021000385284423828,105,401,415.0686578141033,116,132
72.40159803293567,3.86939983353428e-06,0.01673102378845215,57,479,394.1584562901104,94,85
25.691443068146587,5.098113786655274e-06,0.0006797313690185547,62,554,571.0383187303042,85,82
47.15485984666406,3.7426960970900636e-06,0.0168914794921875,78,491,487.99702382430655,98,104
52.16114609642368,4.046133076742553e-06,0.009129762649536133,60,523,516.0095781825488,96,79
52.1282003111066,3.27139440845984e-06,0.016597747802734375,63,435,392.90195959247103,110,92
84.93440784458866,3.5044361649918927e-06,0.0,83,425,469.13055136233464,102,113
17.39400237455789,4.664412790957635e-06,0.0,70,403,401.94798745345844,83,87
47.55936545421701,3.7040994832894898e-06,0.012542009353637695,74,460,482.86656161617566,97,98
101.92811204133666,4.136657910468275e-06,0.0,89,448,511.13344821446503,110,127
88.76248208960892,4.366320078209215e-06,0.0,73,541,620.4722885443246,87,105
127.14123636458552,4.791918588460224e-06,0.016657590866088867,95,439,495.4719061047277,106,125
30.705608349876673,3.7499312902462376e-06,0.0,74,491,475.42941785281965,101,100
15.46075070605475,3.1751368396489977e-06,0.01657724380493164,72,472,458.8955376195677,92,91
104.87528485308518,4.587226079930765e-06,0.016614913940429688,101,400,435.95397586857,126,130
52.91877300492765,3.518920060161007e-06,0.0014505386352539062,64,415,391.9012246752923,92,90
69.99598957755755,4.724770612304904e-06,0.0,50,473,444.3978912704253,80,76
50.699071951063324,3.524945091295125e-06,0.016609907150268555,101,389,395.742345869508,106,116
192.86377396599053,5.125018743679057e-06,0.015625715255737305,90,439,564.5609853338731,111,134
32.52864865017643,3.246550451326527e-06,0.0,80,413,399.81353365482124,96,101
52.63145813506875,4.58888589399743e-06,0.0,105,401,395.2417673901186,100,107
93.48996175410318,4.893646841474492e-06,0.017217397689819336,85,443,469.43745786628153,95,112
48.83538945417048,4.270739149006704e-06,0.016626358032226562,68,468,513.0367642110825,81,95
62.32652676370133,3.959066299836849e-06,0.0,78,439,453.28916044817396,93,99
84.10147631351305,4.237767032334081e-06,0.0,85,481,509.41533420770395,101,116
32.31107363484872,4.534388388594576e-06,0.0,60,507,537.5065079099135,79,79
90.60800880868584,4.365366792193919e-06,0.01652693748474121,96,490,488.1757310913283,113,118
105.2364027058736,4.458917590207788e-06,0.016521215438842773,81,482,538.0399553130419,93,110
74.65751372111595,4.376200692339853e-06,0.0,121,461,449.0,124,121
50.92561907915828,3.836700800127559e-06,0.01572561264038086,80,465,474.8961901665577,84,94
32.83780620866474,4.269324066407356e-06,0.0,87,467,442.5435926606439,110,102
18.646717040729953,4.050198920245343e-06,0.0,80,420,402.3168420562163,97,97
90.98348539443623,5.850500282121882e-06,0.016787290573120117,51,524,499.0469812171626,79,68
46.114967663612845,3.6309771120820974e-06,0.0027985572814941406,62,466,513.8799796357027,73,81
82.16780502226395,4.4765217161929954e-06,0.01657390594482422,91,462,468.58597207531653,111,112
79.95370856486959,4.170055614806401e-06,0.0,62,415,362.832645891976,102,85
