rmse_I,rmse_Beta,time_predict,norm_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
114.85584908443741,4.616131150264753e-06,0.006568193435668945,82,475,549.2908320120555,103,115
86.55475443508213,4.3469843835902336e-06,0.004002571105957031,100,480,504.70030656914145,119,121
130.77531674028938,4.049495504244702e-06,0.0060002803802490234,72,403,541.6240607473262,89,114
120.0196585139661,4.004362016903746e-06,0.004000425338745117,79,494,567.5395886141287,95,112
79.05346250464846,4.338186632733386e-06,0.004000186920166016,120,444,458.4046761459957,129,134
118.41988321205996,4.621478163394851e-06,0.0059964656829833984,71,523,622.4262468735318,95,109
83.77841346154833,3.871942707484464e-06,0.0050008296966552734,91,451,480.56903212038196,102,122
116.19332491555926,4.944836904054341e-06,0.004000425338745117,101,509,547.2447901804962,105,122
121.2423667946466,3.7670580806873387e-06,0.003999948501586914,86,412,480.9026286834463,104,123
93.70084075512057,4.043045581234648e-06,0.00400233268737793,101,431,461.17312192795106,116,125
126.1536520401649,4.435770966767942e-06,0.006003618240356445,66,431,561.613625199116,88,110
135.70769575472866,4.777055400683647e-06,0.005002737045288086,82,455,547.663763905461,94,115
73.02199752095419,3.066466635122464e-06,0.0070035457611083984,98,444,449.16216508745174,110,128
102.57979330122424,3.85248158836392e-06,0.004999876022338867,80,392,485.5674291911565,94,121
141.03035776006683,4.349444130632177e-06,0.0050029754638671875,77,472,591.2249370878325,94,113
153.24212134110726,4.620647184376156e-06,0.004000186920166016,47,460,676.8957155843314,102,103
88.28602461381139,4.696175727523839e-06,0.004997730255126953,84,481,515.4511689556898,106,118
148.34847878759808,4.0465130046792335e-06,0.007001161575317383,74,424,548.1939917572122,105,115
128.289859496067,5.7079921320928535e-06,0.004000186920166016,73,516,618.0755017119634,102,108
141.7988197432976,4.4452559479318125e-06,0.004998683929443359,69,460,600.4654157948461,90,110
144.433191645915,4.319045213113073e-06,0.004999876022338867,58,422,622.3225784477233,94,105
138.25606164427617,4.90739708024414e-06,0.00600123405456543,59,507,684.0084610507693,92,102
106.897434273158,4.2050586501382785e-06,0.009001493453979492,71,494,555.7270249445737,107,116
121.59199055771404,4.525311288495717e-06,0.004999637603759766,75,553,591.500255485092,98,112
168.11160544830213,4.277468056419102e-06,0.005000114440917969,50,348,619.4969032400809,111,108
99.95220973876593,4.215912744817762e-06,0.005001068115234375,87,509,531.1298120941552,109,115
81.28892198934723,3.384460198227304e-06,0.003999471664428711,94,446,477.3092279269923,117,126
104.76779344329347,4.292470965340946e-06,0.005000591278076172,88,457,473.9397338850495,98,120
102.69627158980019,3.960469716491782e-06,0.005000591278076172,71,388,500.2717118041534,107,120
93.35692430982665,3.8128035745326124e-06,0.005006551742553711,100,389,414.09889752503375,112,127
