,last_value_mean,last_value_std,rolling_mean_last_value_mean,rolling_mean_last_value_std,expanding_mean_last_value_mean,expanding_mean_last_value_std,biexponential_decay_mean,biexponential_decay_std,median_beta_mean,median_beta_std,regression_day_mean,regression_day_std,median_beta_shifted_forecast_mean,median_beta_shifted_forecast_std,regression_day_shifted_forecast_mean,regression_day_shifted_forecast_std,regression_day_incremental_learning_mean,regression_day_incremental_learning_std,regression_day_SEIR_previous_I_mean,regression_day_SEIR_previous_I_std,lstm_day_E_previous_I_mean,lstm_day_E_previous_I_std
rmse_I,408.78867131309653,146.3612946915355,470.1663076997488,117.4593037764537,329.0003170652234,77.1372609106666,195.87445729120222,244.0397161027129,65.93707032710597,36.862579923851676,113.70967601654414,30.912362691724226,147.31333143263652,73.37647277574241,184.11067669185002,121.34098333521627,120.32850505581581,19.512769966733856,72.1879162654474,44.95209306602157,55.039686758425944,49.05830353757597
rmse_Beta,1.0636946995878804e-05,5.04213045286439e-06,1.2710271243184831e-05,3.7577323736009174e-06,8.675132787799268e-06,2.090049676481737e-06,6.791894923431496e-06,0.00011572442049914781,3.825986720929637e-06,3.890765553851278e-07,4.268130299763414e-06,4.090793464489702e-07,4.6722653791028535e-06,1.769924983411475e-06,4.67012884862189e-06,2.158837509025407e-06,5.641569895574007e-06,6.295433641873061e-07,3.821714447352937e-06,4.804546592954458e-07,4.260618391353466e-06,8.966517858198215e-07
time_predict,0.0260109901428222,0.00846315193476257,0.0100009441375732,0.0037953512049020877,0.005505919456481901,0.002296415941780871,0.0079919099807739,0.0022347270695388037,0.009987354278564401,0.0025710349215909384,0.01200211048126215,0.0030009319862177174,0.0120116472244262,0.011327275595385423,0.0090036392211914,0.002203926770492948,0.014426589012145951,0.003438966309338929,0.20086956024169916,0.03274397062576445,40.652997612953186,3.359861040796273
40,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0
pt_diff,750.2689615221324,497.72677250893975,969.2601049661945,382.86304883002146,481.4162575152306,264.91786764019116,-66.95544157451482,897.0987683537252,70.19147672855138,111.61588455208323,104.09145731654559,94.91958148007225,-156.70943157757353,212.63922460086107,165.44679310167703,351.76978555964627,53.76515643235072,99.54752573268478,-131.16158175986354,116.2945262748833,-18.09669791903235,138.02298082438153
ph_fraq,0.3809863490869823,0.4403206587883998,0.31932845632106577,0.15004133223141575,0.5097582322310497,0.1987808342475883,1.2101034968746631,1.1533398252720908,0.8712865919096331,0.1998510291733218,0.8232824464611282,0.14903408082770633,1.5014863576886266,1.171388936800105,0.7521859125540618,0.8744586473152431,0.8982703570379338,0.1815138890484604,1.4090749049976399,0.5718495837737745,1.048792761909687,0.43247281246159297
