rmse_I,rmse_Beta,time_predict,50,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
3408.297611678046,8.716202183182013e-07,0.010971307754516602,50,4324,9979.416349585204,105,128
2704.5864590184983,6.756504312039188e-07,0.008976459503173828,50,4219,7488.799112541394,99,133
3494.9976736082926,9.250746091778266e-07,0.008975982666015625,50,4649,10266.584289661225,98,120
3822.754181603939,1.0007309497542781e-06,0.009972810745239258,50,4693,11111.180815835325,95,118
3045.4604326599897,7.630893275180972e-07,0.009971141815185547,50,4172,8599.421471486205,110,133
2437.130135285912,6.13985696360684e-07,0.009974002838134766,50,4296,7004.891375685539,92,128
4588.65883152248,1.2377768422936294e-06,0.009972810745239258,50,4675,13659.286743732988,99,115
3296.4219048305663,8.090876002130327e-07,0.009971380233764648,50,4179,9225.743243125544,93,127
3541.758732295513,9.192110932073037e-07,0.008974790573120117,50,4475,10085.70187465448,95,123
3134.2639912167524,7.738003561846586e-07,0.009972333908081055,50,4293,8790.415355805886,102,128
2420.64269333491,6.449420719894767e-07,0.00897526741027832,50,4310,6992.080450688585,89,119
3657.1602152237983,9.305785445926402e-07,0.00897669792175293,50,4385,10331.714208992933,102,124
2998.4992742935474,7.562963387644748e-07,0.008976221084594727,50,4555,8678.484119483819,91,122
3112.314996428456,8.152602129805212e-07,0.009972810745239258,50,4594,9097.633915475788,85,118
3025.8822460763367,7.940283227006431e-07,0.009972572326660156,50,4611,8778.282658164382,95,121
3600.2560940464946,9.208108795927436e-07,0.008975744247436523,50,4611,10349.905909226567,90,120
2747.6680597653035,6.819735621234634e-07,0.009972572326660156,50,4380,7671.067542435771,88,126
2586.796618289466,6.984923815081428e-07,0.008976221084594727,50,4712,7647.83299867563,84,119
3111.0370818894767,7.905106973508123e-07,0.008974075317382812,50,4402,8901.97112540465,96,121
3185.1616905147043,8.122036113854775e-07,0.008976936340332031,50,4609,9150.885830029833,94,123
2645.6354022786386,6.652465533330378e-07,0.011965036392211914,50,4205,7488.438899036053,93,124
2360.4292644654406,6.590264824231992e-07,0.009974002838134766,50,4501,7158.402421119327,89,124
2848.892739529151,7.346615419771045e-07,0.008975982666015625,50,4437,8080.489052656941,89,122
3283.307709225758,8.337747447905036e-07,0.008975505828857422,50,4329,9443.299040884915,92,121
3675.6565772941685,9.453734452934469e-07,0.008976221084594727,50,4278,10376.212026474792,96,123
2846.513806763392,7.246929633567724e-07,0.008975505828857422,50,4261,7926.719693034346,93,120
2347.2548574533594,6.185498312194553e-07,0.009973526000976562,50,4367,6883.140003421126,95,126
3021.0672551507146,7.834944837019087e-07,0.009973287582397461,50,4389,8816.556709756667,100,121
2995.653663316708,7.87017167853525e-07,0.00997304916381836,50,4603,8645.558015812598,82,117
2989.5679701109852,7.723161210962211e-07,0.009972810745239258,50,4370,8601.124533416918,93,123
2450.8831216121143,6.711008865510755e-07,0.008976221084594727,50,4643,7370.701832083283,92,118
2734.649680525777,7.21986467970204e-07,0.008976459503173828,50,4330,7766.9301204345265,96,123
2463.4741083642025,6.624161423592569e-07,0.008980035781860352,50,4490,7240.592573453113,78,116
2461.501180876111,6.751827911941186e-07,0.009973764419555664,50,4592,7383.929459191577,83,113
2479.0162046387745,6.807598388962935e-07,0.009971141815185547,50,4848,7337.271780029897,85,118
2909.3962250080313,7.417249991789805e-07,0.00897669792175293,50,4211,8215.62765898851,87,121
3008.5544048289958,8.047941914712074e-07,0.008974790573120117,50,4590,8723.279493522,88,118
3160.4355093516474,7.912628878477468e-07,0.009972095489501953,50,4464,8961.978683756206,85,119
2904.534467121604,7.810336215487331e-07,0.00897669792175293,50,4534,8391.812570126976,86,116
3217.547592203829,8.64451429576554e-07,0.009969472885131836,50,4541,9244.962227789625,96,118
2875.957633320089,7.419888680696273e-07,0.009974002838134766,50,4520,8178.4908613635625,88,120
2553.4732378080403,6.78539023541265e-07,0.008972883224487305,50,4578,7509.980948934112,90,118
2800.125452227255,7.683197842844092e-07,0.008975744247436523,50,4620,8343.751022050103,82,115
2870.2083549192866,7.718681531934218e-07,0.008975982666015625,50,4666,8299.856309714896,88,117
2742.111799886165,7.388546364553586e-07,0.009972810745239258,50,4574,8074.363544978281,86,116
2187.070096098736,5.695242629645823e-07,0.009974241256713867,50,4260,6438.82699034416,91,120
2729.983157589405,7.06605079583736e-07,0.009972810745239258,50,4508,7798.602927475515,88,119
