S,E,I,R,Beta
99400,0,600,0,3.437290409121395e-06
99195,205,552,48,2.9585993333289503e-06
99033,352,514,101,3.261106888043175e-06
98867,491,509,133,3.278799088366676e-06
98702,607,523,168,3.7194059969145204e-06
98510,737,547,206,3.37756520974216e-06
98328,851,581,240,3.7634410860779846e-06
98113,977,623,287,4.3027007921992e-06
97850,1123,692,335,5.0064833220601306e-06
97511,1358,741,390,5.0930272567885385e-06
97143,1570,847,440,5.1288208484768755e-06
96721,1814,950,515,5.702783752943219e-06
96197,2133,1073,597,5.725668903207238e-06
95606,2498,1222,674,5.563614141549916e-06
94956,2914,1353,777,5.666451434915186e-06
94228,3312,1583,877,5.209069245652492e-06
93451,3728,1827,994,5.4118963567728715e-06
92527,4276,2062,1135,5.325207876774942e-06
91511,4884,2318,1287,5.119683250194423e-06
90425,5461,2663,1451,5.095477390064919e-06
89198,6104,3009,1689,4.851026865143264e-06
87896,6797,3383,1924,4.553523214937515e-06
86542,7453,3802,2203,4.2427396057712e-06
85146,8106,4238,2510,4.303742242719379e-06
83593,8852,4716,2839,4.149918726023249e-06
81957,9570,5272,3201,4.182122002871967e-06
80150,10391,5849,3610,3.5687061797597618e-06
78477,11005,6442,4076,3.6257624916211357e-06
76644,11742,7009,4605,3.412151005921104e-06
74811,12384,7628,5177,3.362782900200938e-06
72892,13116,8220,5772,3.466448979679032e-06
70815,13823,8931,6431,3.1132956675154547e-06
68846,14427,9579,7148,2.985704552746356e-06
66877,14964,10207,7952,2.934310390230921e-06
64874,15461,10872,8793,2.9036872131800724e-06
62826,16018,11477,9679,2.9470746908079708e-06
60701,16485,12216,10598,2.798293290848687e-06
58626,16900,12902,11572,2.703622245129901e-06
56581,17285,13510,12624,2.51959254656383e-06
54655,17547,14119,13679,2.4582921482466278e-06
52758,17736,14707,14799,2.3649591993759146e-06
50923,17775,15274,16028,2.324511284166462e-06
49115,17793,15889,17203,2.269383264087778e-06
47344,17759,16450,18447,2.21492104352185e-06
45619,17665,16942,19774,2.264266860188423e-06
43869,17686,17251,21194,2.2225624953950707e-06
42187,17591,17673,22549,2.0346825495730117e-06
40670,17357,17994,23979,2.085223665107723e-06
39144,17199,18307,25350,2.045745412749427e-06
37678,16975,18561,26786,1.9589861007476694e-06
36308,16686,18723,28283,1.8579139109596215e-06
35045,16319,18846,29790,1.860829711718111e-06
33816,15916,18948,31320,1.8213157582074763e-06
32649,15408,19100,32843,1.8569717985637815e-06
31491,15083,19072,34354,1.8331779677542897e-06
30390,14643,19095,35872,1.8524995086568164e-06
29315,14264,19014,37407,1.711531854917858e-06
28361,13824,18845,38970,1.6315440481015858e-06
27489,13225,18869,40417,1.735140647348702e-06
26589,12760,18727,41924,1.618694262278915e-06
25783,12296,18524,43397,1.6268698020829345e-06
25006,11843,18276,44875,1.6214099423754845e-06
24265,11439,17949,46347,1.5957477890541276e-06
23570,10982,17670,47778,1.5294782318271214e-06
22933,10529,17362,49176,1.5521291386713513e-06
22315,10116,16928,50641,1.5539447005350017e-06
21728,9697,16582,51993,1.4099608337304907e-06
21220,9206,16246,53328,1.5315884904837882e-06
20692,8799,15861,54648,1.3345691321618692e-06
20254,8382,15429,55935,1.4624048388051306e-06
19797,8034,14990,57179,1.4388875640115418e-06
19370,7675,14551,58404,1.2595223884007284e-06
19015,7256,14198,59531,1.4964350213651289e-06
18611,6912,13754,60723,1.5118622942379833e-06
18224,6577,13335,61864,1.3003203396765922e-06
17908,6249,12866,62977,1.4626461357097424e-06
17571,5955,12485,63989,1.4359044067837869e-06
17256,5630,12121,64993,1.2574107390412017e-06
16993,5313,11769,65925,1.3850649803235519e-06
16716,5065,11340,66879,1.3821522156849588e-06
16454,4821,10952,67773,1.331822395623525e-06
16214,4579,10561,68646,1.3490149685416134e-06
15983,4350,10168,69499,1.1875816323923634e-06
15790,4079,9842,70289,1.3384367239238744e-06
15582,3883,9434,71101,1.3333280000213333e-06
15386,3698,9050,71866,1.1059778100633926e-06
15232,3508,8724,72536,1.2567355002523705e-06
15065,3295,8379,73261,1.124933934887794e-06
14923,3132,8024,73921,1.1691789203855297e-06
14783,2967,7642,74608,1.2038414651968636e-06
14647,2807,7353,75193,1.2163485678391625e-06
14516,2672,7062,75750,1.2583893599492242e-06
14387,2523,6771,76319,1.0984004958528863e-06
14280,2371,6497,76852,1.0562944586792698e-06
14182,2216,6235,77367,1.096977690753394e-06
14085,2085,5970,77860,1.0584219167069521e-06
13996,1967,5708,78329,1.0639740296206365e-06
13911,1872,5436,78781,1.0050225207033318e-06
13835,1770,5183,79212,1.0877628699256646e-06
13757,1684,4946,79613,1.1169551707984652e-06
13681,1594,4725,80000,1.144753721319762e-06
13607,1518,4483,80392,1.0983573966772329e-06
13540,1449,4243,80768,1.061788797327495e-06
13479,1371,4084,81066,9.264602048283618e-07
13428,1287,3882,81403,1.0167378843595326e-06
13375,1187,3689,81749,1.013368868801666e-06
13325,1124,3489,82062,8.603829672134938e-07
13285,1045,3342,82328,9.91025141181667e-07
13241,973,3206,82580,1.1542816097545372e-06
13192,904,3061,82843,1.2134506196918966e-06
13143,866,2912,83079,1.1757815341472041e-06
13098,804,2800,83298,7.362083633270074e-07
13071,763,2631,83535,1.134057158399957e-06
13032,729,2484,83755,7.413931667274609e-07
13008,688,2349,83955,6.218133701132669e-07
12989,633,2225,84153,1.2110506643045413e-06
12954,607,2088,84351,8.13370269216686e-07
12932,560,1987,84521,6.615845557210641e-07
12915,524,1893,84668,8.589626308307457e-07
12894,492,1782,84832,1.0445178740509903e-06
12870,462,1702,84966,1.05000105000105e-06
12847,431,1612,85110,1.4969073893336368e-06
12816,429,1523,85232,7.17258384340651e-07
12802,394,1440,85364,1.193389921713621e-06
12780,381,1367,85472,9.730822552154347e-07
12763,354,1306,85577,9.598956785376566e-07
12747,338,1239,85676,6.331705515162441e-07
12737,319,1155,85789,4.078515501927608e-07
12731,299,1089,85881,9.376763327392072e-07
12718,289,1040,85953,6.048362708214886e-07
12710,265,998,86027,1.2613740462829672e-06
12694,257,949,86100,4.980655962351554e-07
12688,229,909,86174,9.537523739763637e-07
12677,221,862,86240,1.0066278205940311e-06
12666,216,817,86301,1.1596307040060022e-06
12654,206,780,86360,1.01315890789575e-06
12644,193,736,86427,1.1820351292243787e-06
12633,186,693,86488,9.137981116133574e-07
12625,179,659,86537,8.413587944530416e-07
12618,171,635,86576,4.992243301969565e-07
12614,151,603,86632,6.573548409319608e-07
12609,140,582,86669,2.725375618081123e-07
12607,129,547,86717,8.700659466484262e-07
12601,125,518,86756,7.660114000880606e-07
12596,119,492,86793,4.840870892036961e-07
12593,109,468,86830,6.787110733747754e-07
12589,104,439,86868,1.2666081734949211e-06
12582,106,414,86898,5.759320308054524e-07
12579,100,389,86932,1.634911574785658e-06
12571,101,361,86967,1.9831952845786075e-06
12562,101,334,87003,9.53355190590003e-07
12558,91,316,87035,1.007981195102824e-06
12554,84,301,87061,1.058549987641429e-06
12550,79,283,87088,8.446778257992763e-07
12547,74,273,87106,1.7516555334360386e-06
12541,71,267,87121,8.959377287441013e-07
12538,66,257,87139,6.206812224689086e-07
12536,64,241,87159,3.309969362923577e-07
12535,58,229,87178,3.4836954344429485e-07
12534,56,206,87204,3.872960692547339e-07
12533,55,190,87222,0.0
12533,50,176,87241,1.3600458426118684e-06
12530,49,164,87257,4.866369493702918e-07
12529,48,155,87268,1.0298687689721137e-06
12527,47,144,87282,5.543581419689027e-07
12526,44,139,87291,0.0
12526,40,124,87310,6.438221402708173e-07
12525,34,125,87316,1.9161676646706586e-06
12522,35,117,87326,0.0
12522,34,109,87335,1.4653109609655813e-06
12520,35,97,87348,0.0
12520,30,97,87353,0.0
12520,28,91,87361,8.777165326686094e-07
12519,26,85,87370,1.8794961070936881e-06
12517,27,79,87377,0.0
12517,24,73,87386,3.283206072617952e-06
12514,25,65,87396,0.0
12514,24,64,87398,0.0
12514,21,61,87404,0.0
12514,20,59,87407,0.0
12514,15,59,87412,0.0
12514,14,58,87414,1.377767245512612e-06
12513,13,55,87419,0.0
12513,11,51,87425,0.0
12513,10,49,87428,0.0
12513,9,45,87433,0.0
12513,8,41,87438,3.898384704297774e-06
12511,10,39,87440,0.0
12511,10,35,87444,2.283704625643719e-06
12510,10,32,87448,0.0
12510,8,30,87452,0.0
12510,8,30,87452,0.0
12510,6,31,87453,2.5785822954539593e-06
12509,7,30,87454,0.0
12509,5,28,87458,2.855087194362916e-06
12508,6,28,87458,0.0
12508,4,29,87459,0.0
12508,4,29,87459,0.0
12508,3,29,87460,0.0
12508,2,25,87465,3.197953309881676e-06
12507,3,22,87468,0.0
12507,3,20,87470,0.0
12507,3,19,87471,0.0
12507,3,17,87473,0.0
12507,3,16,87474,0.0
12507,3,16,87474,0.0
12507,3,16,87474,0.0
12507,3,15,87475,0.0
12507,3,14,87476,0.0
12507,3,14,87476,0.0
12507,3,13,87477,0.0
12507,3,12,87478,0.0
12507,3,12,87478,0.0
12507,2,12,87479,0.0
12507,2,10,87481,0.0
12507,2,9,87482,0.0
12507,2,9,87482,0.0
12507,2,9,87482,0.0
12507,1,9,87483,0.0
12507,1,8,87484,0.0
12507,1,7,87485,0.0
12507,1,6,87486,0.0
12507,1,5,87487,0.0
12507,1,5,87487,0.0
12507,1,5,87487,0.0
12507,1,4,87488,0.0
12507,1,4,87488,0.0
12507,1,3,87489,0.0
12507,1,2,87490,0.0
12507,1,2,87490,0.0
12507,1,1,87491,0.0
12507,1,1,87491,0.0
12507,1,1,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,2,87491,0.0
12507,0,1,87492,0.0
12507,0,1,87492,0.0
12507,0,0,87493,
12507,0,0,87493,
12507,0,0,87493,
12507,0,0,87493,
12507,0,0,87493,
12507,0,0,87493,
12507,0,0,87493,
12507,0,0,87493,
