S,E,I,R,Beta
99500,0,500,0,3.1557788944723617e-06
99343,157,452,48,2.9619378075014795e-06
99210,274,438,78,3.4059020600644636e-06
99062,390,427,121,3.3806566956364515e-06
98919,488,444,149,4.417118419483992e-06
98725,639,439,197,4.291620207762872e-06
98539,757,468,236,5.269292049145711e-06
98296,937,490,277,4.422294676802926e-06
98083,1068,519,330,4.970034717755166e-06
97830,1221,579,370,5.737632709237783e-06
97505,1412,672,411,5.417915076394129e-06
97150,1629,761,460,5.762117862362482e-06
96724,1877,871,528,4.9853641578240945e-06
96304,2125,972,599,5.37350174379212e-06
95801,2383,1142,674,5.593907437759873e-06
95189,2758,1271,782,5.868485471766596e-06
94479,3186,1440,895,5.6376431682055155e-06
93712,3632,1636,1020,5.857304886260271e-06
92814,4145,1897,1144,6.020395806037796e-06
91754,4801,2149,1296,5.877897576554494e-06
90595,5517,2422,1466,5.22739176986132e-06
89448,6126,2748,1678,4.9755270787792816e-06
88225,6771,3089,1915,4.6233946890221255e-06
86965,7351,3520,2164,4.4852161005211085e-06
85592,7999,3985,2424,3.867081234975114e-06
84273,8491,4481,2755,4.011892010576046e-06
82758,9195,4925,3122,3.7023120312996254e-06
81249,9777,5423,3551,3.594988855160071e-06
79665,10376,5968,3991,3.5083238137448556e-06
77997,10998,6523,4482,3.5595342250994526e-06
76186,11654,7146,5014,3.3686907737231746e-06
74352,12331,7710,5607,3.2952238686828343e-06
72463,13006,8281,6250,3.0796607086469605e-06
70615,13681,8786,6918,2.9528222654532737e-06
68783,14123,9475,7619,2.9261080610786315e-06
66876,14572,10196,8356,2.849526398446657e-06
64933,15009,10850,9208,2.8913177503560744e-06
62896,15538,11479,10087,2.7078193001237548e-06
60941,15953,12155,10951,2.578510045230509e-06
59031,16301,12719,11949,2.5785303367736827e-06
57095,16561,13385,12959,2.475737980427865e-06
55203,16692,14023,14082,2.5216000199578442e-06
53251,16929,14646,15174,2.477195739952638e-06
51319,17146,15193,16342,2.293220373436137e-06
49531,17205,15664,17600,2.2646025438737936e-06
47774,17206,16203,18817,2.3188754125495746e-06
45979,17251,16652,20118,2.1576655087351834e-06
44327,17148,17047,21478,2.1571050894844675e-06
42697,17020,17475,22808,2.140377467025438e-06
41100,16998,17760,24142,1.9522259485763134e-06
39675,16748,18029,25548,2.0089456799332225e-06
38238,16561,18252,26949,1.9830353730984195e-06
36854,16226,18478,28442,1.9574494484788526e-06
35521,15935,18616,29928,1.8676496191803448e-06
34286,15625,18648,31441,1.8565285729726026e-06
33099,15269,18628,33004,1.7613624077890286e-06
32013,14839,18574,34574,1.8247271012986336e-06
30928,14446,18591,36035,1.7444010743089674e-06
29925,13983,18512,37580,1.7455768490659087e-06
28958,13540,18403,39099,1.6775687556714819e-06
28064,13073,18282,40581,1.6547577125976577e-06
27215,12584,18073,42128,1.5980264332886634e-06
26429,12141,17844,43586,1.6497063705018794e-06
25651,11716,17621,45012,1.6239072025441555e-06
24917,11299,17369,46415,1.6844454881588068e-06
24188,10851,17118,47843,1.5626125165542735e-06
23541,10467,16774,49218,1.6967320237205974e-06
22871,10094,16426,50609,1.565165814438317e-06
22283,9661,16123,51933,1.4473842064035123e-06
21763,9255,15782,53200,1.5955108334515942e-06
21215,8911,15442,54432,1.4835072908431e-06
20729,8504,15042,55725,1.3822714380983346e-06
20298,8070,14755,56877,1.4624520934250457e-06
19860,7691,14394,58055,1.4727239628350237e-06
19439,7356,13966,59239,1.4696940576556338e-06
19040,7001,13610,60349,1.4741385165381363e-06
18658,6641,13268,61433,1.4784632500732849e-06
18292,6334,12865,62509,1.3768100484016723e-06
17968,6054,12463,63515,1.330742202618772e-06
17670,5737,12068,64525,1.3412019683217475e-06
17384,5449,11666,65501,1.3017639532725123e-06
17120,5162,11264,66454,1.203071898895497e-06
16888,4858,10901,67353,1.1895961634991397e-06
16669,4571,10560,68200,1.2782301386896743e-06
16444,4358,10147,69051,1.1806497994441573e-06
16247,4103,9825,69825,1.3093041565238663e-06
16038,3884,9473,70605,1.3559056609285135e-06
15832,3725,9042,71401,1.222468746433884e-06
15657,3535,8609,72199,1.135089670192129e-06
15504,3314,8311,72871,1.1718712651453883e-06
15353,3103,8018,73526,1.3566167323937996e-06
15186,2956,7724,74134,1.074199348073531e-06
15060,2792,7367,74781,1.1807437459789367e-06
14929,2638,7082,75351,1.1633716356261774e-06
14806,2495,6807,75892,1.141049131372876e-06
14691,2340,6549,76420,9.874093972625416e-07
14596,2217,6254,76933,1.1064445200673104e-06
14495,2090,5949,77466,1.0900983065728695e-06
14401,1966,5673,77960,8.201048282472207e-07
14334,1829,5470,78367,8.417617921261602e-07
14268,1719,5210,78803,9.954762331394575e-07
14194,1624,4959,79223,1.022900962473088e-06
14122,1534,4704,79640,1.0386890912716878e-06
14053,1451,4470,80026,9.869953807024256e-07
13991,1376,4264,80369,1.2404114518539993e-06
13917,1312,4107,80664,9.972511035764416e-07
13860,1240,3915,80985,1.2716104670127658e-06
13791,1179,3721,81309,1.0522969977323585e-06
13737,1082,3538,81643,9.05321740441541e-07
13693,1010,3380,81917,9.074735633505134e-07
13651,959,3213,82177,8.663799724140057e-07
13613,883,3063,82441,1.0792241932133633e-06
13568,841,2930,82661,8.049455856784082e-07
13536,794,2789,82881,7.151957156915847e-07
13509,752,2642,83097,8.685717077952181e-07
13478,707,2500,83315,9.793737943315032e-07
13445,670,2367,83518,9.112529209191149e-07
13416,629,2267,83688,1.216542132207749e-06
13379,609,2140,83872,9.779589019756865e-07
13351,562,2041,84046,6.23867153581524e-07
13334,527,1922,84217,8.974577285703873e-07
13311,506,1817,84366,9.923060311492304e-07
13287,482,1702,84529,8.843893517045765e-07
13267,460,1605,84668,9.862148299941743e-07
13246,440,1517,84797,1.1446099174377937e-06
13223,423,1434,84920,5.273765936134062e-07
13213,393,1366,85028,8.864777678578454e-07
13197,367,1307,85129,9.27618023595008e-07
13181,346,1232,85241,1.354763891748946e-06
13159,336,1180,85325,1.0304219191350638e-06
13143,324,1122,85411,8.815683453491099e-07
13130,309,1053,85508,5.786245948723735e-07
13122,286,995,85597,7.659084938486059e-07
13112,264,948,85676,8.849432220428737e-07
13101,250,886,85763,9.476642918199514e-07
13090,228,842,85840,1.451671145677014e-06
13074,222,804,85900,9.513393716745932e-07
13064,209,767,85960,7.983961817501004e-07
13056,197,728,86019,6.312621202327084e-07
13050,185,687,86078,1.1154054219857562e-06
13040,172,654,86134,1.7588788202847977e-06
13025,175,613,86187,6.262270135546837e-07
13020,162,587,86231,3.925293808241547e-07
13017,147,567,86269,5.419584943796871e-07
13013,137,538,86312,5.713474400920784e-07
13009,134,498,86359,4.630714417358881e-07
13006,126,476,86392,4.845856534217563e-07
13003,109,456,86432,5.059561153903755e-07
13000,103,434,86463,1.0634526763559022e-06
12994,96,406,86504,1.137319156776413e-06
12988,95,372,86545,4.139470346490226e-07
12986,90,347,86577,4.4383865399714436e-07
12984,85,329,86602,4.681937273277188e-07
12982,72,322,86624,4.784455495473426e-07
12980,69,303,86648,2.542627144070339e-07
12979,65,285,86671,8.110267192752665e-07
12976,58,273,86693,5.645813290696151e-07
12974,58,255,86713,6.04527304987048e-07
12972,57,240,86731,9.636139377119952e-07
12969,53,230,86748,1.005742791338543e-06
12966,50,216,86768,0.0
12966,45,205,86784,3.7621847759430854e-07
12965,43,193,86799,3.996411222721996e-07
12964,41,182,86813,1.2714838385927556e-06
12961,39,170,86830,9.077004769966007e-07
12959,39,162,86840,4.7633609894072376e-07
12958,35,154,86853,1.0022390019303124e-06
12956,34,137,86873,0.0
12956,30,130,86884,0.0
12956,23,118,86903,6.541043741267707e-07
12955,23,112,86910,0.0
12955,20,107,86918,0.0
12955,20,105,86920,1.4702909338185294e-06
12953,22,94,86931,0.0
12953,22,88,86937,8.77297642525775e-07
12952,19,86,86943,0.0
12952,17,83,86948,0.0
12952,17,77,86954,1.0027032880646223e-06
12951,14,72,86963,0.0
12951,13,60,86976,0.0
12951,13,58,86978,5.325111361391345e-06
12947,16,52,86985,1.4853455805027597e-06
12946,14,52,86988,1.4854603144422393e-06
12945,13,47,86995,0.0
12945,12,40,87003,0.0
12945,12,36,87007,4.291661302090039e-06
12943,11,37,87009,2.088157848028048e-06
12942,10,37,87011,2.0883191954123804e-06
12941,11,32,87016,0.0
12941,8,32,87019,2.4148056564407696e-06
12940,9,30,87021,0.0
12940,9,27,87024,0.0
12940,9,26,87025,0.0
12940,9,24,87027,0.0
12940,9,21,87030,0.0
12940,8,20,87032,0.0
12940,8,20,87032,0.0
12940,7,20,87033,0.0
12940,6,19,87035,0.0
12940,6,16,87038,0.0
12940,4,17,87039,4.545867806164197e-06
12939,4,15,87042,0.0
12939,4,14,87043,0.0
12939,4,13,87044,0.0
12939,4,13,87044,0.0
12939,3,14,87044,0.0
12939,3,14,87044,0.0
12939,2,14,87045,0.0
12939,2,13,87046,0.0
12939,2,12,87047,6.440477110544349e-06
12938,2,13,87047,5.945515297810861e-06
12937,2,14,87047,0.0
12937,1,13,87049,0.0
12937,1,12,87050,0.0
12937,1,9,87053,0.0
12937,1,9,87053,0.0
12937,1,8,87054,9.662209167504059e-06
12936,1,8,87055,0.0
12936,1,6,87057,0.0
12936,1,5,87058,0.0
12936,1,5,87058,0.0
12936,1,5,87058,0.0
12936,1,5,87058,0.0
12936,1,5,87058,1.5460729746444033e-05
12935,2,5,87058,0.0
12935,2,5,87058,0.0
12935,2,5,87058,0.0
12935,1,5,87059,0.0
12935,1,5,87059,0.0
12935,1,5,87059,0.0
12935,1,5,87059,0.0
12935,1,5,87059,0.0
12935,1,4,87060,0.0
12935,1,4,87060,0.0
12935,0,5,87060,0.0
12935,0,5,87060,0.0
12935,0,5,87060,1.5461925009663704e-05
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,1,4,87061,0.0
12934,0,5,87061,0.0
12934,0,5,87061,0.0
12934,0,5,87061,0.0
12934,0,4,87062,0.0
12934,0,4,87062,
