S,E,I,R,Beta
64895,1703,2739,30663,8.889018661060059e-07
64737,1675,2714,30874,7.512967638267547e-07
64605,1638,2666,31091,7.315504288191853e-07
64479,1618,2583,31320,7.865540943241795e-07
64348,1569,2552,31531,7.002967601909133e-07
64233,1540,2496,31731,8.29562007227693e-07
64100,1518,2456,31926,8.638782033366026e-07
63964,1506,2430,32100,7.334372498110434e-07
63850,1477,2365,32308,6.953400626799399e-07
63745,1429,2343,32483,7.498935335308031e-07
63633,1397,2301,32669,6.624799165286233e-07
63536,1355,2270,32839,7.21086910941329e-07
63432,1333,2200,33035,7.38084591660074e-07
63329,1293,2178,33200,7.322525083309673e-07
63228,1235,2160,33377,7.322119361089437e-07
63128,1211,2129,33532,6.101212629403e-07
63046,1168,2068,33718,7.746638710453716e-07
62945,1172,2016,33867,6.146711603856731e-07
62867,1123,2001,34009,7.392870921022222e-07
62774,1102,1964,34160,6.651086037994767e-07
62692,1078,1920,34310,7.227796210042748e-07
62605,1057,1862,34476,5.919164289493114e-07
62536,1008,1821,34635,7.112871684427069e-07
62455,988,1771,34786,5.786210114195829e-07
62391,953,1742,34914,7.08468634741009e-07
62314,944,1694,35048,7.95756601397826e-07
62230,928,1673,35169,7.78017340949963e-07
62149,935,1618,35298,7.259558307390026e-07
62076,905,1590,35429,6.585556921298744e-07
62011,888,1568,35533,6.582110678849276e-07
61947,863,1522,35668,5.091037616467826e-07
61899,842,1481,35778,6.435959762335932e-07
61840,818,1446,35896,8.61098735146606e-07
61763,805,1412,36020,6.87999576559194e-07
61703,783,1369,36145,6.392695696426603e-07
61649,754,1350,36247,6.848808938056128e-07
61592,750,1312,36346,6.311201328015358e-07
61541,736,1282,36441,7.731740348081936e-07
61480,736,1236,36548,6.316680458085667e-07
61432,695,1222,36651,7.45971381553918e-07
61376,679,1188,36757,5.623009728849145e-07
61335,655,1164,36846,5.742784331555311e-07
61294,639,1122,36945,7.270414699219745e-07
61244,622,1109,37025,6.625481105629662e-07
61199,589,1114,37098,6.307233930876765e-07
61156,578,1081,37185,6.050555171715058e-07
61116,569,1040,37275,8.967814043407996e-07
61059,563,1027,37351,5.740931564699031e-07
61023,527,1030,37420,5.886687002783767e-07
60986,513,992,37509,6.446482164600443e-07
60947,501,966,37586,5.944818294250909e-07
60912,496,921,37671,6.06061124615579e-07
60878,470,911,37741,7.573044994092845e-07
60836,465,873,37826,7.90814084353653e-07
60794,468,841,37897,6.258831553601983e-07
60762,469,815,37954,7.471573188199034e-07
60725,456,793,38026,7.268207768987284e-07
60690,445,771,38094,5.556506573026708e-07
60664,416,765,38155,7.541809637829372e-07
60629,420,738,38213,6.704779314200307e-07
60599,405,723,38273,5.706058946738665e-07
60574,391,711,38324,7.430090855615363e-07
