S,E,I,R,Beta
99500,0,500,0,1.1457286432160804e-06
99443,57,454,46,8.195428271153142e-07
99406,92,420,82,1.0538790894101438e-06
99362,127,408,103,1.2580262072019485e-06
99311,160,396,133,1.01710889035556e-06
99271,185,375,169,6.446998619939357e-07
99247,189,366,198,9.360099032050136e-07
99213,200,357,230,1.4116700675210264e-06
99163,230,349,258,1.5025476707087029e-06
99111,258,343,288,1.4119693168477678e-06
99063,282,338,317,1.6426101924141634e-06
99008,312,338,342,1.3745826050037676e-06
98962,333,336,369,1.38340738773228e-06
98916,346,340,398,1.5164381899793765e-06
98865,358,360,417,1.5172204521316947e-06
98811,373,367,449,1.626974150441667e-06
98752,395,383,470,2.0887305425496092e-06
98673,436,386,505,1.8903701864676905e-06
98601,468,397,534,2.1458900189980243e-06
98517,504,408,571,2.8859356810519616e-06
98401,568,424,607,2.0133251445327774e-06
98317,594,453,636,2.7617113907864055e-06
98194,649,483,674,2.1928112814742742e-06
98090,683,514,713,2.5585968258325455e-06
97961,738,553,748,2.528961547656536e-06
97824,810,576,790,2.5023681986697197e-06
97683,867,620,830,2.410694501271889e-06
97537,920,654,889,2.320142040349841e-06
97389,979,680,952,2.053620018687942e-06
97253,1011,723,1013,2.204399956714118e-06
97098,1060,766,1076,2.1108656770390574e-06
96941,1099,840,1120,2.063110551778917e-06
96773,1169,868,1190,2.404791563857859e-06
96571,1267,895,1267,1.8974663559835474e-06
96407,1312,949,1332,2.1750953268317367e-06
96208,1378,1021,1393,2.209137792048016e-06
95991,1470,1065,1474,1.878110345145327e-06
95799,1506,1126,1569,2.0024163603201396e-06
95583,1561,1194,1662,1.796258668328127e-06
95378,1606,1252,1764,1.9009614811943492e-06
95151,1677,1297,1875,1.628706105550025e-06
94950,1692,1348,2010,1.7735400327831453e-06
94723,1742,1440,2095,1.8035042527510037e-06
94477,1818,1494,2211,1.6082337259251484e-06
94250,1865,1538,2347,1.7729456768064902e-06
93993,1958,1587,2462,1.8100531437636519e-06
93723,2038,1670,2569,1.98061033593643e-06
93413,2147,1729,2711,1.5478814496419957e-06
93163,2203,1766,2868,1.8781242277429728e-06
92854,2331,1811,3004,1.7542963043565886e-06
92559,2396,1900,3145,1.6092154022953212e-06
92276,2417,2030,3277,1.5695043804119875e-06
91982,2467,2101,3450,1.5109634212210735e-06
91690,2512,2176,3622,1.5838214443810025e-06
91374,2590,2240,3796,1.4168613140968517e-06
91084,2602,2351,3963,1.5550684481356467e-06
90751,2697,2403,4149,1.5407567792851195e-06
90415,2760,2472,4353,1.4183072051616717e-06
90098,2788,2553,4561,1.5042157559435848e-06
89752,2845,2642,4761,1.4254098382225622e-06
89414,2909,2731,4946,1.4906447666816192e-06
89050,2998,2791,5161,1.3840911198685273e-06
88706,3052,2868,5374,1.4582828437292155e-06
88335,3111,2967,5587,1.3773897354207923e-06
87974,3198,2986,5842,1.2828791847119296e-06
87637,3245,3057,6061,1.4072083685046776e-06
87260,3284,3148,6308,1.4124783286507978e-06
86872,3318,3256,6554,1.2762712481839472e-06
86511,3334,3352,6803,1.269031716937289e-06
86143,3390,3407,7060,1.2572864648604227e-06
85774,3412,3503,7311,1.2114502469930723e-06
85410,3444,3559,7587,1.292872924507176e-06
85017,3509,3600,7874,1.137027496461492e-06
84669,3503,3672,8156,1.235105686835711e-06
84285,3560,3673,8482,1.1951722599355598e-06
83915,3567,3738,8780,1.18913164283446e-06
83542,3580,3818,9060,1.150602390827616e-06
83175,3579,3868,9378,1.2060142813227242e-06
82787,3613,3887,9713,1.140484476997856e-06
82420,3609,3938,10033,1.1738609451102623e-06
82039,3658,3968,10335,1.1673244314564788e-06
81659,3641,4068,10632,1.122855395864446e-06
81286,3629,4134,10951,1.136781867664997e-06
80904,3673,4157,11266,1.0674423517499786e-06
80545,3644,4221,11590,1.1206526893039393e-06
80164,3653,4266,11917,1.190129386188225e-06
79757,3721,4276,12246,1.017473175331341e-06
79410,3739,4258,12593,1.0558138701292155e-06
79053,3731,4262,12954,1.2079879667540104e-06
78646,3769,4309,13276,1.1242731596154447e-06
78265,3792,4325,13618,9.896715952065922e-07
77930,3725,4378,13967,1.0287898787241388e-06
77579,3706,4392,14323,9.71452309580614e-07
77248,3680,4379,14693,9.7555498081243e-07
76918,3629,4375,15078,1.0370970198318802e-06
76569,3618,4407,15406,9.98697298650941e-07
76232,3589,4411,15768,9.903070294383961e-07
75899,3564,4422,16115,9.415259414620309e-07
75583,3519,4454,16444,1.0129314151386764e-06
75242,3492,4444,16822,1.022802367953762e-06
74900,3468,4438,17194,1.0168282059720907e-06
74562,3433,4469,17536,9.96345997089025e-07
74230,3440,4420,17910,1.00275345736591e-06
73901,3415,4408,18276,9.884710871961413e-07
73579,3383,4417,18621,9.600045991604951e-07
73267,3353,4420,18960,9.449106586972202e-07
72961,3322,4412,19305,8.760377614772348e-07
72679,3271,4424,19626,8.894918468679698e-07
72393,3251,4376,19980,8.428249309811611e-07
72126,3212,4359,20303,9.033158351513996e-07
71842,3153,4314,20691,8.71174609372081e-07
71572,3099,4276,21053,9.083724334296322e-07
71294,3071,4232,21403,8.716800524020904e-07
71031,3040,4209,21720,8.897229272022112e-07
70765,2988,4160,22087,8.628233209594052e-07
70511,2944,4160,22385,8.113845848383722e-07
70273,2878,4143,22706,8.964727229677846e-07
70012,2837,4106,23045,8.974872277827315e-07
69754,2795,4096,23355,8.085053814118186e-07
