S,E,I,R,Beta
9940,0,60,0,6.706908115358819e-06
9936,4,58,2,1.561719140429785e-05
9927,13,53,7,5.702001972892683e-06
9924,16,52,8,3.8756084705298736e-06
9922,16,51,11,9.88099331649612e-06
9917,18,49,16,6.173690611668687e-06
9914,20,46,20,1.315662523791564e-05
9908,23,45,24,1.7942852016327996e-05
9900,27,46,27,1.0979358805445764e-05
9895,29,47,29,1.2901422381817596e-05
9889,32,45,34,1.797732609745958e-05
9881,38,44,37,9.200393776853649e-06
9877,39,42,42,9.642411181340006e-06
9873,41,42,44,7.234738319514983e-06
9870,41,40,49,1.0131712259371834e-05
9866,43,38,53,2.4005889444877144e-05
9857,46,40,57,1.2681343207872578e-05
9852,49,40,59,7.612667478684531e-06
9849,47,42,62,1.4504735796237472e-05
9843,46,48,63,2.116563378373802e-05
9833,48,55,64,9.24530569603284e-06
9828,47,57,68,3.034652157459175e-05
9811,62,57,70,1.072909569816908e-05
9805,64,56,75,1.2748597654258032e-05
9798,62,64,76,1.435241886099204e-05
9789,59,70,82,2.334982414663689e-05
9773,71,65,91,1.731615361002448e-05
9762,75,66,97,2.328136931701775e-05
9747,79,71,103,2.023013220391395e-05
9733,78,80,109,2.5685811157916368e-05
9713,89,81,117,1.906570422991714e-05
9698,96,83,123,1.1181040930063833e-05
9689,101,82,128,2.265581537020861e-05
9671,107,86,136,2.4046958901342545e-05
9651,120,86,143,1.2048395997040916e-05
9641,122,85,152,1.95244574336321e-05
9625,131,88,156,1.53482880755608e-05
9612,128,99,161,1.261049950188527e-05
9600,126,106,168,1.768867924528302e-05
9582,136,105,177,1.7890687896949638e-05
9564,144,103,189,2.030267223771993e-05
9544,153,108,195,1.843314395703331e-05
9525,158,113,204,1.579448586625787e-05
9508,157,124,211,2.4597283102853963e-05
9479,172,126,223,1.9257272132047957e-05
9456,179,129,236,1.721559831582261e-05
9435,184,137,244,1.7793663135011354e-05
9412,192,139,257,1.834486511937921e-05
9388,192,153,267,1.879746359557884e-05
9361,199,163,277,1.6384385549496247e-05
9336,201,174,289,1.2927340956770972e-05
9315,199,183,303,1.1732648146681568e-05
9295,199,189,317,1.4230783461552693e-05
9270,202,195,333,1.659613310098747e-05
9240,213,192,355,1.4655483405483404e-05
9214,227,195,364,1.8366699504099114e-05
9181,233,205,381,1.1689039665693464e-05
9159,233,212,396,1.5450314877417203e-05
9129,237,220,414,1.792489469124369e-05
9093,244,233,430,1.6519805594927757e-05
9058,252,243,447,1.7718461819440696e-05
9019,266,250,465,1.8627342277414348e-05
8977,277,261,485,1.1096898544897838e-05
8951,267,282,500,1.4658214027356187e-05
8914,268,292,526,1.5367545587823987e-05
8874,288,286,552,1.37905817419002e-05
8839,301,283,577,1.1193565938298664e-05
8811,293,305,591,1.1907619201780188e-05
8779,292,315,614,1.3741305460180048e-05
8741,299,320,640,9.652785722457383e-06
8714,287,335,664,1.7813160500001714e-05
8662,303,343,692,1.211686310570011e-05
8626,315,341,718,1.1218895611915964e-05
8593,314,353,740,1.1868148822630186e-05
8557,311,359,773,1.1718891145498825e-05
8521,322,365,792,1.0931895896198432e-05
8487,319,363,831,9.737790514807772e-06
8457,302,380,861,1.2758039120504347e-05
8416,314,382,888,1.2753070690581887e-05
8375,316,396,913,9.648726066636516e-06
8343,311,400,946,1.0787486515641855e-05
8307,318,403,972,1.1948427004520387e-05
8267,321,420,992,1.2672300080065897e-05
8223,334,421,1022,1.0976685231707714e-05
8185,341,417,1057,1.1133426795521432e-05
8147,351,411,1091,9.85540331446173e-06
8114,348,425,1113,9.279531383665123e-06
8082,343,437,1138,8.211031435792283e-06
8053,339,441,1167,9.855343271461488e-06
8018,344,442,1196,9.311628022469804e-06
7985,353,442,1220,1.161680413218223e-05
7944,363,428,1265,7.352871972969666e-06
7919,359,434,1288,9.019897894755832e-06
7888,349,434,1329,7.010590665632215e-06
7864,343,424,1369,9.597113188352943e-06
7832,337,432,1399,9.753433208489388e-06
7799,334,430,1437,7.752931950130756e-06
7773,311,443,1473,1.1035479356538625e-05
7735,319,430,1516,1.2026277416154298e-05
7695,320,449,1536,8.68292979417115e-06
7665,322,430,1583,1.0315690468605407e-05
7631,320,440,1609,8.041362385485043e-06
7604,319,424,1653,1.1786249540956595e-05
7566,330,413,1691,9.920768264294387e-06
7535,332,399,1734,1.0976345974425114e-05
7502,335,397,1766,8.394067207602742e-06
7477,333,398,1792,6.384738995230264e-06
7458,327,393,1822,9.894254304171212e-06
7429,319,400,1852,1.245120473818818e-05
7392,326,401,1881,5.7351210717794256e-06
7375,303,410,1912,6.9450186027284e-06
7354,295,396,1955,9.614777088260906e-06
7326,289,398,1987,6.859303341715402e-06
7306,275,398,2021,9.629312728438249e-06
7278,275,373,2074,6.6305815683093565e-06
7260,264,371,2105,8.539202364245247e-06
7237,259,369,2135,1.1608517356418556e-05
7206,265,365,2164,9.12481607792593e-06
7182,259,360,2199,6.57507967449488e-06
7165,257,357,2221,5.864174001770981e-06
7150,243,351,2256,1.1555396170780784e-05
7121,247,351,2281,8.401777816185905e-06
7100,242,351,2307,9.229164158741624e-06
7077,240,347,2336,8.95867971864859e-06
7055,243,338,2364,1.0064623268570278e-05
7031,249,329,2391,6.052224646474428e-06
7017,237,335,2411,8.933528169328646e-06
6996,237,332,2435,1.205508138902092e-05
6968,237,333,2462,9.050382184710543e-06
6947,241,316,2496,1.5032442744614286e-05
6914,239,330,2517,7.450846328485901e-06
6897,229,327,2547,1.108490639239948e-05
6872,227,326,2575,8.034738638879564e-06
6854,225,314,2607,1.02223073048608e-05
6832,221,312,2635,6.567885666246322e-06
6818,204,323,2655,9.081769528301973e-06
6798,201,320,2681,8.734186525448661e-06
6779,199,316,2706,8.402717999182135e-06
6761,193,315,2731,7.0431959205809225e-06
6746,193,298,2763,6.466670778806034e-06
6733,184,301,2782,7.894867990405762e-06
6717,180,294,2809,7.595713586908636e-06
6702,171,297,2830,1.1554920537313852e-05
6679,179,295,2847,6.5979632594953576e-06
6666,180,282,2872,9.57542562766915e-06
6648,183,272,2897,8.29528562327458e-06
6633,175,275,2917,1.0964461439359676e-05
6613,179,271,2937,6.1379715566398064e-06
6602,175,263,2960,9.214859421560236e-06
6586,168,269,2977,9.031210735400202e-06
6570,168,265,2997,5.169294391315585e-06
6561,165,255,3019,4.183962870318071e-06
6554,160,248,3038,7.382834417789677e-06
6542,158,244,3056,9.397036049536162e-06
6527,152,246,3075,8.719253731529195e-06
6513,153,235,3099,4.573504382397235e-06
6506,146,229,3119,6.040779287375979e-06
6497,135,232,3136,7.96123409743489e-06
6485,131,230,3154,6.0339914853675705e-06
6476,128,216,3180,5.004232150618809e-06
6469,125,212,3194,5.833335763889901e-06
6461,121,213,3205,1.0172991724271232e-05
6447,126,202,3225,6.143006110755329e-06
6439,121,201,3239,1.0817167462887458e-05
6425,126,194,3255,6.418227766857877e-06
6417,127,182,3274,9.418662995100582e-06
6406,127,174,3293,5.382884580188832e-06
6400,113,177,3310,7.944915254237288e-06
6391,111,169,3329,1.11102984133568e-05
6379,113,166,3342,9.443637538081468e-06
6369,117,163,3351,7.706037776923691e-06
6361,113,159,3367,5.9323768364414045e-06
6355,106,164,3375,9.59490318742684e-06
6345,106,159,3390,9.912227227896973e-06
6335,101,161,3403,8.82409173133582e-06
6326,99,156,3419,6.079914394805321e-06
6320,98,149,3433,9.557386798063036e-06
6311,103,143,3443,4.43226556362351e-06
6307,96,140,3457,1.1325284830913498e-05
6297,99,135,3469,2.352678230080168e-06
6295,92,139,3474,1.1428506122822156e-05
6285,95,139,3481,1.1446689903447173e-05
6275,95,143,3487,2.2288468503607946e-06
6273,86,136,3505,7.032942301741356e-06
6267,81,132,3520,7.252999115134108e-06
6261,84,121,3534,1.1879917790968886e-05
6252,82,127,3539,8.816076493317414e-06
6245,81,128,3546,1.1259007205764612e-05
6236,82,131,3551,2.448232131577788e-06
6234,80,124,3562,6.4681714220662965e-06
6229,77,121,3573,1.0614176028148796e-05
6221,74,125,3580,5.143867545410705e-06
6217,72,118,3593,8.178777163763655e-06
6211,72,111,3606,1.0153447603133644e-05
6204,74,107,3615,7.532071560705484e-06
6199,74,107,3620,4.522888075104064e-06
6196,67,106,3631,6.090356529471235e-06
6192,66,106,3636,1.3712154453707768e-05
6183,66,104,3647,1.2441060475994972e-05
6175,68,100,3657,8.097165991902834e-06
6170,67,101,3662,4.814095672127991e-06
6167,65,95,3673,3.413755728708832e-06
6165,59,93,3683,1.0464903330455485e-05
6159,56,92,3693,7.059305223179935e-06
6155,52,94,3699,6.913597317524241e-06
6151,52,87,3710,1.8686803566189597e-06
6150,50,79,3721,0.0
6150,49,74,3727,2.197319270490002e-06
6149,43,77,3731,1.2672317112063411e-05
6143,46,71,3740,1.1463867037484552e-05
6138,45,74,3743,6.604845314522734e-06
6135,45,70,3750,9.31423914309e-06
6131,43,68,3758,7.195832174004816e-06
6128,45,64,3763,2.549771540469974e-06
6127,45,61,3767,2.675606760723163e-06
6126,40,66,3768,4.946625906469198e-06
6124,36,66,3774,7.4223620925123215e-06
6121,34,64,3781,1.53161248162065e-05
6115,35,60,3790,1.0902153175252111e-05
6111,35,61,3793,5.365224226133471e-06
6109,37,57,3797,2.8718054753843194e-06
6108,35,56,3801,2.9235662830947703e-06
6107,33,53,3807,0.0
6107,28,52,3813,6.297943091786223e-06
6105,29,46,3820,7.121746252181035e-06
6103,27,49,3821,6.687911933575659e-06
6101,26,51,3822,9.641620949314e-06
6098,26,51,3825,0.0
6098,23,50,3829,1.639881928501148e-05
6093,28,47,3832,1.047592109536231e-05
6090,29,47,3834,6.987387765084024e-06
6088,27,44,3841,3.733126269262932e-06
6087,25,42,3846,3.9115366863025805e-06
6086,24,42,3848,1.5648717587593696e-05
6082,24,43,3851,1.147113480112876e-05
6079,24,43,3854,1.1476795831627754e-05
6076,22,46,3856,7.15573747030369e-06
6074,21,44,3861,1.1225192324961834e-05
6071,23,37,3869,4.451824580304237e-06
6070,24,33,3873,1.497678598172832e-05
6067,25,32,3876,5.150815889236855e-06
6066,21,37,3876,4.455494069737393e-06
6065,20,36,3879,4.580012824035908e-06
6064,18,34,3884,4.850225050442341e-06
6063,16,34,3887,9.702050043174125e-06
6061,16,33,3890,1.9998700084494507e-05
6057,17,34,3892,4.855830395555944e-06
6056,15,34,3895,0.0
6056,14,33,3897,1.5011408670589649e-05
6053,17,30,3900,1.1013822347045544e-05
6051,19,27,3903,0.0
