S,E,I,R,Beta
9950,0,50,0,4.422110552763819e-05
9928,22,48,2,5.246105291431641e-05
9903,46,45,6,4.039180046450571e-05
9885,61,48,6,4.6366548642724665e-05
9863,76,48,13,5.069451485349285e-05
9839,91,53,17,4.602400535412596e-05
9815,106,56,23,5.458118040899498e-05
9785,117,69,29,4.44335829019573e-05
9755,135,75,35,5.057235605672305e-05
9718,162,79,41,5.07996384107789e-05
9679,189,84,48,7.379747022272077e-05
9619,226,100,55,7.069341927435285e-05
9551,265,125,59,9.800020940215684e-05
9434,357,142,67,6.643635397289396e-05
9345,415,157,83,7.770087209005122e-05
9231,495,179,95,7.928107197692498e-05
9100,580,207,113,8.228486489356055e-05
8945,683,243,129,6.026770823988388e-05
8814,747,287,152,5.969280737249656e-05
8663,818,346,173,5.805034900270168e-05
8489,923,385,203,6.303038462303393e-05
8283,1027,465,225,5.867698966272415e-05
8057,1149,525,269,4.8937037890742745e-05
7850,1237,602,311,5.057451806081639e-05
7611,1358,677,354,4.075575136429877e-05
7401,1431,757,411,4.087419369405791e-05
7172,1504,859,465,4.074180602744991e-05
6921,1603,941,535,4.2378990707485e-05
6645,1713,1036,606,3.762227238525207e-05
6386,1781,1147,686,3.97283617634587e-05
6095,1885,1240,780,3.360766360581122e-05
5841,1944,1330,885,3.3725814278891886e-05
5579,2016,1407,998,3.057459992180546e-05
5339,2091,1426,1144,3.4675639601366745e-05
5075,2178,1496,1251,3.16113906377598e-05
4835,2210,1586,1369,3.051519826402428e-05
4601,2231,1644,1524,3.15968548041233e-05
4362,2214,1754,1670,2.797039007453717e-05
4148,2171,1870,1811,3.081183380689876e-05
3909,2198,1939,1954,2.651872122768222e-05
3708,2174,2009,2109,2.550550569900389e-05
3518,2155,2053,2274,3.032210381679136e-05
3299,2156,2115,2430,2.6084270826391264e-05
3117,2126,2164,2593,2.1793313989172725e-05
2970,2051,2203,2776,2.4148276531390468e-05
2812,2006,2231,2951,2.5503811863480645e-05
2652,1958,2261,3129,2.3681775639524684e-05
