S,E,I,R,Beta
99000,0,1000,0,4.565656565656566e-06
98548,452,939,61,4.311808740872744e-06
98149,805,918,128,5.149788822032644e-06
97685,1191,934,190,5.1952157105076746e-06
97211,1554,947,288,4.93162974275457e-06
96757,1836,1053,354,6.2128797000692575e-06
96124,2263,1178,435,6.385003976541619e-06
95401,2746,1320,533,7.964785325609635e-06
94398,3486,1477,639,7.688674881700199e-06
93326,4224,1690,760,8.01415462017916e-06
92062,5046,1986,906,7.793906917189198e-06
90637,5994,2319,1050,7.298255926646495e-06
89103,6919,2742,1236,6.958075621561007e-06
87403,7969,3171,1457,7.046600685732747e-06
85450,9124,3722,1704,6.709744441743917e-06
83316,10324,4354,2006,6.541553569187407e-06
80943,11637,5080,2340,6.257441199265236e-06
78370,13119,5775,2736,5.729288362949202e-06
75777,14374,6643,3206,5.677544729134641e-06
72919,15783,7590,3708,5.528902691150021e-06
69859,17284,8561,4296,5.225202909635764e-06
66734,18677,9580,5009,4.8442722119969896e-06
63637,19903,10697,5763,4.658268832848738e-06
60466,21097,11825,6612,4.539793789027839e-06
57220,22228,12957,7595,4.33504450245545e-06
54006,23216,14088,8690,4.0074311468915175e-06
50957,23924,15307,9812,3.906416271289669e-06
47910,24577,16448,11065,3.899629006072508e-06
44837,25158,17654,12351,3.7811773516982e-06
41844,25599,18752,13805,3.596468175472493e-06
39022,25834,19858,15286,3.552721632803091e-06
36269,25993,20903,16835,3.4426772156381696e-06
33659,26030,21788,18523,3.2371448953636683e-06
31285,25824,22594,20297,3.198683562751756e-06
29024,25443,23390,22143,3.147871785311432e-06
26887,25052,24106,23955,2.9931896203429336e-06
24947,24434,24652,25967,2.910600133161745e-06
23157,23740,25163,27940,2.7509887165855244e-06
21554,22999,25518,29929,2.792651251682654e-06
20018,22213,25847,31922,2.7077421630935684e-06
18617,21379,25975,34029,2.5580229977020702e-06
17380,20443,26091,36086,2.5625103674714844e-06
16218,19630,25939,38213,2.6623643998977637e-06
15098,18789,25851,40262,2.572390778811242e-06
14094,17856,25659,42391,2.477616107243348e-06
13198,16951,25461,44390,2.3658300716571538e-06
12403,15972,25237,46388,2.3257707691385598e-06
11675,15137,24783,48405,2.322514889627405e-06
11003,14302,24307,50388,2.164891273233915e-06
10424,13427,23744,52405,2.262558102492072e-06
9864,12671,23157,54308,2.210833409421026e-06
9359,11926,22586,56129,2.0957281897117874e-06
8916,11236,21911,57937,2.1959630766161382e-06
8487,10526,21262,59725,1.978380852545157e-06
8130,9899,20504,61467,2.165599104293813e-06
7769,9262,19764,63205,2.0059067963482807e-06
7461,8664,19115,64760,1.6828286582775555e-06
7221,8006,18463,66310,1.8301648566748767e-06
6977,7419,17872,67732,1.980865894063741e-06
6730,6903,17182,69185,1.7728217943966031e-06
6525,6438,16463,70574,1.684958002887236e-06
6344,5981,15775,71900,1.7786375636262625e-06
6166,5533,15159,73142,1.818757712736292e-06
5996,5140,14477,74387,1.797150300241606e-06
5840,4740,13892,75528,1.540750762240217e-06
5715,4384,13262,76639,1.87354050205344e-06
5573,4068,12653,77706,1.4039532401886463e-06
5474,3778,12062,78686,1.075311354130804e-06
5403,3479,11426,79692,1.781818640084265e-06
5293,3197,10887,80623,1.6138859160705397e-06
5200,2971,10339,81490,1.2462148548810702e-06
5133,2722,9825,82320,1.5466454895207333e-06
5055,2535,9283,83127,1.2360000353751737e-06
4997,2324,8792,83887,1.1836037018025192e-06
4945,2136,8326,84593,1.2387038106172462e-06
4894,1984,7889,85233,1.3986461002146508e-06
4840,1840,7416,85904,1.5044531814169944e-06
4786,1722,6972,86520,1.1687847443741896e-06
4747,1584,6587,87082,1.343205295273462e-06
4705,1471,6236,87588,8.520680372919505e-07
4680,1344,5866,88110,1.202059674613374e-06
4647,1217,5564,88572,1.6243869679610556e-06
4605,1136,5216,89043,1.2489758398113546e-06
4575,1046,4917,89462,1.333613392145684e-06
4545,976,4625,89854,1.094163470401094e-06
4522,903,4330,90245,1.2767961201740938e-06
4497,847,4079,90577,1.4174141209227606e-06
4471,784,3805,90940,1.293193014053775e-06
4449,729,3626,91196,1.1777778852241814e-06
4430,677,3401,91492,1.4601999279192218e-06
4408,628,3213,91751,8.472838621231917e-07
4396,578,3017,92009,1.5079849310081814e-06
4376,552,2831,92241,1.130084330121526e-06
4362,517,2674,92447,1.1145416130400682e-06
4349,475,2529,92647,1.0001253793543755e-06
4338,454,2376,92832,1.7463710409768502e-06
4320,420,2260,93000,1.4339560799737791e-06
4306,402,2112,93180,9.896339146223028e-07
4297,364,1995,93344,8.165631672852133e-07
